ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΒΡΗΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΓΚΙΟΛΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΑΡΑΣΤΑΜΑΤΗ ΜΑΡΙΑ του Στέφανου,ΝΙΚΟΛΑΡΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ του Πέτρου,ΣΚΟΥΡΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,Νέα Δημοκρατία,ΑΝΔΡΙΑΝΟΣ ΙΩΑΝΝΗΣ του Σωτηρίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΠΡΟΣΙΛΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΡΟΜΠΟΤΗΣ ΣΠΥΡΙΔΩΝ του Βασιλείου,ΤΑΝΤΑΡΟΥ-ΚΡΙΓΓΟΥ ΘΕΟΔΟΣΙΑ (ΣΟΝΙΑ) του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΑΛΑΘΑ ΔΙΟΝΥΣΙΑ του Βασιλείου,ΜΟΥΛΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΟΥΛΗΣ ΑΝΔΡΕΑΣ του Αθανασίου,ΡΕΝΤΕΤΑΚΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου,ΤΣΙΡΙΚΟΣ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,Κίνημα Αλλαγής,ΚΑΡΟΥΣΗ-ΤΑΣΑΙΝΑ ΣΤΑΜΑΤΙΑ του Παναγιώτη,ΜΑΝΙΑΤΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΝΙΚΟΛΑΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΠΟΥΛΑΣ ΑΝΔΡΕΑΣ του Θεοδοσίου,ΣΤΕΦΑΝΟΥ ΙΩΑΝΝΗΣ του Μιλτιάδη,Κ.Κ.Ε.,ΑΓΓΕΛΟΥ ΑΝΑΣΤΑΣΙΟΣ του Νικολάου,ΑΝΤΩΝΙΟΥ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΓΚΟΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΚΑΛΑΪΤΖΗ ΜΑΡΙΑΝΘΗ του Αναστασίου,ΜΠΑΒΕΛΗ ΝΑΥΣΙΚΑ του Χρήστου,Ένωση Κεντρώων,ΖΕΡΒΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ του Χαράλαμπου,ΝΤΟΥΒΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ζαχαρία,Ο.Κ.Δ.Ε.,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Ιακώβου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΕΡΔΕ ΕΛΕΝΗ του Παναγιώτη,ΝΕΖΟΥ ΓΑΡΥΦΑΛΙΑ του Δημητρίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Ελλήνων Συνέλευσις,ΓΙΑΝΝΑΚΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Μιχαήλ,ΔΑΡΑΣ ΙΩΑΝΝΗΣ του Λουκά,ΚΑΡΑΜΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αναστασίου,ΚΑΡΑΜΠΗ ΙΩΑΝΝΑ του Δημητρίου,ΚΩΤΣΙΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΥΜΝΙΑΤΗΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΣΑΛΑΠΑΤΑΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΤΣΑΠΡΑΛΗ ΓΕΩΡΓΙΑ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΜΑΥΡΟΓΙΑΝΝΗΣ ΣΕΡΓΙΟΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΣΑΛΑΠΑΤΑΣ ΛΕΩΝΙΔΑΣ του Ανδρέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Παύλου,ΚΑΣΙΔΗ ΑΓΓΕΛΙΚΗ του Ευθυμίου,ΚΟΥΤΡΑ-ΞΥΛΙΝΑ ΜΑΡΙΝΑ του Θεοδώρου,ΠΑΤΡΙΝΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,Λαϊκή Ενότητα,ΒΑΣΙΛΕΙΟΥ ΔΗΜΗΤΡΙΟΣ του Σπήλιου,ΚΑΨΟΥΡΟΣ ΓΕΩΡΓΙΟΣ του Λεωνίδα,ΚΥΡΙΑΚΟΥ ΕΥΣΤΑΘΙΑ του Γεωργίου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Διαμαντή,ΤΖΩΡΤΖΗ ΕΥΓΕΝΙΑ του Νικολάου,ΜέΡΑ25,ΓΕΩΡΓΟΠΟΥΛΟΣ - ΖΟΥΤΑΣ ΔΗΜΗΤΡΙΟΣ του Ανδριανού,ΛΑΜΠΡΟΥ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΚΡΙΝΙΩ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΥΑΛΙΣΤΡΑ ΑΛΕΞΑΝΔΡΑ του Διονυσίου,ΚΑΛΥΒΑΣ ΚΥΡΙΑΚΟΣ του Αθανασίου,ΚΟΡΙΛΗΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Περικλή
44 - Αργολίδος,1 E.T. Δήμου Άργους - Μυκηνών,56,11,0,0,0,11,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,2 E.T. Δήμου Άργους - Μυκηνών,93,31,0,0,0,31,6,2,3,0,0,1,16,16,0,0,0,0,1,1,0,0,0,0,8,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,3 E.T. Δήμου Άργους - Μυκηνών,192,67,1,0,1,66,14,5,0,2,1,2,43,17,8,0,7,8,2,1,0,0,0,1,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
44 - Αργολίδος,4 E.T. Δήμου Άργους - Μυκηνών,360,73,1,0,1,72,4,0,3,1,0,0,32,15,8,0,1,6,6,0,0,1,0,4,23,0,16,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
44 - Αργολίδος,5 E.T. Δήμου Άργους - Μυκηνών,335,119,0,3,3,116,29,2,9,2,2,1,51,17,18,0,3,6,1,0,1,0,0,0,21,1,8,4,7,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,6 E.T. Δήμου Άργους - Μυκηνών,282,97,1,1,2,95,23,6,2,0,1,4,44,29,7,0,3,5,1,0,0,0,0,0,20,1,3,7,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1
44 - Αργολίδος,7 E.T. Δήμου Άργους - Μυκηνών,157,78,1,0,1,77,13,1,0,0,2,1,33,5,11,2,0,13,6,1,0,5,0,0,14,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3
44 - Αργολίδος,8 E.T. Δήμου Άργους - Μυκηνών,510,313,8,1,9,304,89,11,16,3,36,2,107,34,32,1,6,30,16,2,0,6,2,1,43,0,20,1,17,3,9,1,1,1,1,2,3,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,2,1,1,0,0,3,0,1,0,0,0,13,4,2,2,2,0,0,0,6,0
44 - Αργολίδος,9 E.T. Δήμου Άργους - Μυκηνών,494,313,8,1,9,304,97,20,14,5,24,6,114,30,42,0,3,28,8,0,1,2,1,0,42,0,19,0,17,5,10,2,0,5,0,3,1,0,1,0,0,0,0,0,0,0,6,1,0,0,0,5,7,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,2,0,2,4,0,1,2,3,3
44 - Αργολίδος,10 E.T. Δήμου Άργους - Μυκηνών,500,315,2,3,5,310,60,17,7,0,16,5,169,46,70,0,4,38,3,1,0,0,0,0,53,2,18,4,19,5,3,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,2,1,1,0,2,1
44 - Αργολίδος,11 E.T. Δήμου Άργους - Μυκηνών,495,301,2,3,5,296,80,10,17,3,27,3,129,36,43,1,1,38,8,0,1,4,0,0,35,3,16,1,12,3,14,2,1,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1,2,1,0,0,0,3,2
44 - Αργολίδος,12 E.T. Δήμου Άργους - Μυκηνών,500,309,1,4,5,304,91,14,14,4,30,2,131,41,43,0,3,34,9,2,1,3,0,0,36,1,17,0,12,4,9,0,0,0,4,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,13,6,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1,1,1,2,1,1,0,3,1
44 - Αργολίδος,13 E.T. Δήμου Άργους - Μυκηνών,488,300,8,0,8,292,86,24,24,6,17,4,130,34,43,2,5,35,8,1,0,4,0,0,36,0,13,0,18,2,5,1,0,1,0,1,6,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,8,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,2,2,1,1,0,0,1,1
44 - Αργολίδος,14 E.T. Δήμου Άργους - Μυκηνών,474,291,4,2,6,285,98,14,6,5,30,6,111,39,36,0,2,22,5,1,1,2,1,0,26,1,7,1,14,2,9,2,0,2,3,0,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2,6,1,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,5,1,1,0,1,0,1,0,6,3
44 - Αργολίδος,15 E.T. Δήμου Άργους - Μυκηνών,473,300,4,2,6,294,73,7,14,1,30,3,116,27,45,1,6,31,9,1,0,4,1,1,47,0,27,0,11,7,15,2,1,4,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,1,1,19,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,2,0,0,0,0,2,1
44 - Αργολίδος,16 E.T. Δήμου Άργους - Μυκηνών,473,297,3,2,5,292,69,14,18,3,28,3,119,36,50,0,2,24,8,1,0,2,1,0,47,0,16,1,9,4,12,2,0,3,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,2,0,0,10,0,5,1,2,1,0,0,4,2,1,0,0,0,0,0,0,0,0,9,1,1,0,3,1,0,0,4,2
