ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΜΗΤΡΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παντελή,ΠΑΠΑΗΛΙΟΥ ΓΕΩΡΓΙΟΣ του Ηλία,ΡΟΥΣΙΑΣ ΜΑΡΙΝΟΣ του Ιωάννη,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΜΑΥΡΑ του Σπυρίδωνος,ΣΤΑΪΚΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Νέα Δημοκρατία,ΒΛΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΤΣΙΡΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΛΥΤΡΙΒΗ ΙΩΑΝΝΑ του Δημητρίου,ΠΑΠΑΗΛΙΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΛΥ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΗ ΔΕΣΠΟΙΝΑ του Αγγελου,ΗΛΙΟΠΟΥΛΟΥ ΔΑΦΝΗ του Γαβριήλ,ΚΟΛΟΚΟΤΡΩΝΗΣ ΒΑΣΙΛΕΙΟΣ του Θεοδώρου,ΣΚΑΝΤΖΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΧΑΡΜΠΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Κίνημα Αλλαγής,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΒΟΓΙΑΤΖΟΓΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ ΟΔΥΣΣΕΑΣ του Κωνσταντίνου,ΠΡΑΧΑΛΙΑΣ ΓΕΩΡΓΙΟΣ του Θεοδώρου,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΑΔΑΜΑΝΤΙΑ του Αριστείδη,Κ.Κ.Ε.,ΔΙΑΜΑΝΤΑΚΟΣ ΗΛΙΑΣ του Κωνσταντίνου,ΜΠΟΥΡΣΙΑΝΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΝΟΥΣΗ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΡΟΥΣΑΛΗΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΦΡΑΓΚΟΥ ΣΤΑΥΡΟΥΛΑ του Ιωάννη,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αγγελή,ΞΑΝΘΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Γεωργίου,ΡΩΣΣΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΠΡΙΦΤΗ ΕΥΓΕΝΙΑ του Γιοσήφ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΣΣΕΛΟΥΡΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΑΡΑΛΕΚΑ ΠΑΡΑΣΚΕΥΗ του Ιωάννη,ΛΙΑΜΠΟΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σαράντη,ΣΚΑΝΤΖΟΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΛΕΞΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΝΙΚΟΛΑΟΥ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΠΟΛΙΤΗ ΖΑΧΑΡΕΝΙΑ του Ηλία,Κ.Κ.Ε. (μ-λ),ΚΑΤΡΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΒΑΡΕΛΑ ΜΑΛΑΜΩ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΑΝΙΑΔΟΥ ΙΩΑΝΝΑ του Ιωάννη,ΔΡΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Κανέλλου,ΜΑΡΝΕΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΠΕΠΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΤΡΕΜΠΑ ΦΩΤΕΙΝΗ του Δημητρίου,Λαϊκή Ενότητα,ΑΛΕΞΑΝΔΡΗΣ ΣΑΡΑΝΤΟΣ του Νικολάου,ΓΕΩΡΓΙΟΠΟΥΛΟΥ ΙΟΥΛΙΑ (ΗΛΙΑΝΑ) του Δημητρίου,ΠΑΝΑΓΟΠΟΥΛΟΥ ΕΛΕΝΗ του Γεωργίου,ΣΤΑΘΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΟΥΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΜέΡΑ25,ΓΑΒΡΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΓΚΑΡΤΖΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΚΟΥΤΡΗ ΕΛΕΝΗ του Χρήστου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΡΤΑΓΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΔΑΣΚΑΛΟΠΟΥΛΟΥ ΣΠΥΡΙΔΟΥΛΑ του Γεωργίου,ΣΤΑΘΗΣ ΔΙΟΝΥΣΙΟΣ του Γρηγορίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΕΟΔΟΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου
45 - Αρκαδίας,1 E.T. Δήμου Βόρειας Κυνουρίας,535,321,8,3,11,310,75,6,15,2,3,16,146,42,4,13,69,2,6,0,0,1,4,0,32,1,0,16,10,1,18,0,1,6,3,2,1,0,0,0,0,0,4,1,5,0,0,5,9,3,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,4,2
45 - Αρκαδίας,2 E.T. Δήμου Βόρειας Κυνουρίας,513,305,5,3,8,297,53,8,8,0,3,2,171,41,2,47,55,2,7,0,1,1,0,3,26,1,0,9,9,2,12,2,0,5,0,1,4,0,1,1,1,0,1,1,0,0,0,1,8,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,2,0,0,0,4,3
45 - Αρκαδίας,3 E.T. Δήμου Βόρειας Κυνουρίας,517,330,2,0,2,328,78,8,24,7,3,13,150,55,6,20,48,3,5,0,0,0,4,1,39,1,2,24,6,1,25,2,1,6,10,2,1,1,0,0,0,0,1,0,4,0,0,4,9,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,6,1,0,2,1,1,0,0,7,4
45 - Αρκαδίας,4 E.T. Δήμου Βόρειας Κυνουρίας,545,349,3,3,6,343,92,7,26,4,7,21,155,41,3,21,70,4,9,1,0,0,4,0,27,1,0,13,9,0,12,3,0,1,1,0,3,0,0,1,0,0,9,6,2,0,0,2,11,7,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,2,0,5,3,1,0,0,3,0
45 - Αρκαδίας,5 E.T. Δήμου Βόρειας Κυνουρίας,518,330,2,1,3,327,95,5,22,9,3,29,155,64,6,21,48,3,7,0,0,0,5,2,31,0,0,19,4,2,6,1,0,1,0,1,6,4,0,0,0,0,0,0,0,0,0,0,16,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,2,0,0,0,0,1,1
45 - Αρκαδίας,6 E.T. Δήμου Βόρειας Κυνουρίας,141,56,0,0,0,56,10,0,4,0,1,3,22,13,3,1,0,0,10,0,0,0,5,2,8,0,0,7,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
45 - Αρκαδίας,7 E.T. Δήμου Βόρειας Κυνουρίας,446,281,3,3,6,275,82,10,11,7,2,29,116,28,0,8,63,0,3,0,0,0,1,0,35,1,0,16,14,0,12,2,0,1,5,0,1,1,0,0,0,0,0,0,7,0,0,7,8,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,2,0,1,0,2,2
45 - Αρκαδίας,8 E.T. Δήμου Βόρειας Κυνουρίας,459,286,3,2,5,281,62,7,14,6,3,21,142,62,1,6,64,1,11,0,1,0,7,0,22,0,2,9,8,1,15,0,0,1,5,0,1,0,0,0,0,0,0,0,9,0,0,2,7,3,1,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,3,2
45 - Αρκαδίας,9 E.T. Δήμου Βόρειας Κυνουρίας,142,41,2,0,2,39,5,0,0,0,0,2,22,6,0,6,4,2,0,0,0,0,0,0,8,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,10 E.T. Δήμου Βόρειας Κυνουρίας,582,269,6,0,6,263,64,6,24,17,3,4,125,45,6,34,24,1,5,0,0,2,0,1,38,0,1,18,12,4,17,1,3,0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,1,1,0,1,0,1,0,0,0
45 - Αρκαδίας,11 E.T. Δήμου Βόρειας Κυνουρίας,566,278,11,0,11,267,67,4,15,16,2,4,132,70,7,15,32,1,9,1,0,1,2,4,33,1,1,20,6,1,10,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,2,2,1,0,1,4,0
45 - Αρκαδίας,12 E.T. Δήμου Βόρειας Κυνουρίας,474,274,1,1,2,272,82,11,27,3,3,23,122,68,1,16,20,1,11,0,1,1,4,5,29,1,0,11,5,2,11,1,0,3,0,0,4,0,1,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,5,0
45 - Αρκαδίας,13 E.T. Δήμου Βόρειας Κυνουρίας,406,225,2,1,3,222,54,4,12,9,2,12,123,60,1,10,37,2,3,0,0,0,2,0,16,0,1,9,3,1,7,1,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,1,1,2,0,0,0,0,2,1
45 - Αρκαδίας,14 E.T. Δήμου Βόρειας Κυνουρίας,590,344,4,3,7,337,103,4,38,5,2,27,134,67,9,23,25,2,8,0,0,0,5,2,56,2,3,31,9,3,8,0,0,2,2,1,2,0,0,1,0,0,1,0,1,0,0,1,5,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,12,0,1,4,1,0,1,0,1,1
45 - Αρκαδίας,15 E.T. Δήμου Βόρειας Κυνουρίας,582,328,7,7,14,314,86,4,28,9,1,26,113,55,9,23,20,0,9,1,0,1,4,1,62,4,1,35,14,1,15,0,0,0,2,3,4,0,1,0,0,0,1,0,0,0,0,0,9,4,1,2,1,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,7,2,2,1,1,1,0,0,0,0
45 - Αρκαδίας,16 E.T. Δήμου Βόρειας Κυνουρίας,164,36,0,0,0,36,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
