ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ (ΣΙΑ) του Πέτρου,ΚΑΡΑΓΙΩΡΓΟΥ- ΛΑΖΑΡΗ ΜΑΡΓΑΡΙΤΤΑ του Αγγελου,ΚΥΡΙΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αγγελου,ΜΑΡΚΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Αντωνίου,ΠΑΝΑΓΟΠΟΥΛΟΥ-ΣΤΑΥΡΟΥΛΙΑ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Νικολάου,ΠΑΠΑΝΙΚΟΥ ΓΕΩΡΓΙΑ του Χρήστου,ΡΙΖΟΥΛΗΣ ΑΝΔΡΕΑΣ του Κωνσταντίνου,ΣΠΑΡΤΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΤΣΟΝΑΚΑ ΑΓΓΕΛΙΚΗ του Βασιλείου,Νέα Δημοκρατία,ΜΗΤΣΟΤΑΚΗΣ ΚΥΡΙΑΚΟΣ του Κωνσταντίνου,ΑΛΕΞΟΠΟΥΛΟΥ ΧΡΙΣΤΙΝΑ του Μιχαήλ,ΓΙΑΝΝΙΑ ΕΥΣΤΑΘΙΑ (ΕΦΗ) του Νικολάου,ΚΑΤΣΑΝΙΩΤΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΚΟΝΙΔΑΡΗ - ΑΝΤΩΝΟΠΟΥΛΟΥ ΕΛΕΝΗ (ΕΛΕΝΑ) του Θωμά,ΚΟΥΤΡΟΥΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΝΤΑΒΛΟΥΡΟΣ ΑΘΑΝΑΣΙΟΣ του Περικλή,ΡΗΓΟΠΟΥΛΟΥ ΑΣΠΑΣΙΑ του Γερασίμου,ΤΑΠΕΙΝΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΤΡΑΧΗΛΗ ΑΘΗΝΑ του Ευάγγελου,ΤΣΙΓΚΡΗΣ ΑΓΓΕΛΟΣ του Αντωνίου,ΦΩΤΗΛΑΣ ΙΑΣΩΝ του Ασημάκη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΡΒΑΝΙΤΗΣ - ΑΒΡΑΜΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου,ΓΙΑΧΑΛΗΣ ΑΝΑΣΤΑΣΙΟΣ του Φιλίππου,ΖΑΓΚΛΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΑΥΚΟΠΟΥΛΟΥ ΣΟΦΙΑ του Βασιλείου,ΜΠΙΤΣΙΚΟΛΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Αναστασίου,ΠΑΛΑΙΟΛΟΓΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΙΝΟΥ ΠΑΝΑΓΙΩΤΑ του Φωτίου,ΤΑΧΛΙΑΜΠΟΥΡΗ ΑΝΤΩΝΙΑ του Μιχαήλ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΑΝΤΩΝΗΣ του Πέτρου,ΧΡΥΣΑΝΘΟΠΟΥΛΟΥ ΑΝΔΡΙΑΝΑ του Ιωάννη,Κίνημα Αλλαγής,ΑΝΑΡΓΥΡΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΒΟΥΛΔΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΛΟΗ ΟΛΥΜΠΙΑ του Ευαγγέλου,ΛΟΥΚΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΛΕΜΟΝΙΑ του Ιωάννη,ΟΙΚΟΝΟΜΟΥ ΧΡΗΣΤΟΣ του Βασιλείου,ΠΑΠΑΝΔΡΕΟΥ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΣΚΑΝΔΑΜΗΣ ΜΑΡΙΝΟΣ του Μιχαήλ,ΣΟΛΩΜΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γρηγορίου,ΤΑΠΕΙΝΟΣ ΙΩΑΝΝΗΣ του Ηλία,ΤΖΟΥΡΑΜΑΝΗΣ ΑΝΔΡΕΑΣ του Αχιλλέα,ΦΙΛΙΠΠΑΤΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΓΓΕΛΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΑΣΠΡΟΥΛΙΑΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη - Πανάγου,ΓΚΕΣΤΑ ΕΙΡΗΝΗ (ΡΕΝΑ) του Διονυσίου,ΖΑΜΠΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Σπυρίδωνος,ΖΑΡΝΑΒΑΛΟΥ ΣΤΑΥΡΟΥΛΑ του Φώτιου,ΚΑΡΑΘΑΝΑΣΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΙΑ) του Ιωάννη,ΜΑΖΗΣ ΑΝΔΡΕΑΣ του Νικολάου,ΠΑΡΙΣΗΣ ΣΩΤΗΡΙΟΣ του Νικολάου,ΣΚΙΑΔΑΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Βασιλείου,ΣΥΜΕΩΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Θεοδώρου,ΤΖΑΜΑΛΟΥΚΑ ΠΑΝΑΓΙΩΤΑ (ΤΕΤΗ) του Βασιλείου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Αναστασίου,ΚΑΡΑΠΑΝΟΥ ΧΑΡΟΥΛΑ του Στεφάνου,ΛΑΪΝΙΩΤΗΣ ΙΩΑΝΝΗΣ του Συμεών,ΜΑΡΙΝΕΣΚΟΥ ΛΑΟΥΡΕΝΤΣΙΑ του Ιωάννη,ΜΕΤΣΟΒΙΤΗΣ ΣΠΥΡΙΔΩΝ του Θεοφάνη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΡΙΤΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΣΙΩΡΟΥ ΑΝΔΡΟΜΑΧΗ του Ευθυμίου,ΣΥΜΙΑΝΑΚΗΣ ΕΜΜΑΝΟΥΗΛ (ΜΑΝΟΣ) του Νικολάου,Ο.Κ.Δ.Ε.,ΦΡΑΓΚΙΣΚΑΤΟΥ ΓΕΩΡΓΙΑ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΓΓΕΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΘΕΟΧΑΡΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΚΑΛΟΥΔΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γρηγορίου,ΚΑΝΙΣΤΡΑ ΙΩΑΝΝΑ του Παναγιώτη,ΜΑΣΟΥΡΑΣ ΙΑΣΩΝ του Θεοδώρου,ΜΠΕΛΙΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΝΤΡΕΝΟΓΙΑΝΝΗ ΑΝΤΩΝΙΑ του Νικολάου,ΠΑΝΑΓΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ του Βασιλείου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Λεωνίδα,ΧΑΪΝΤΑΡ ΑΧΜΑΝΤ ΝΕΚΤΑΡΙΟΣ ΝΕΜΕΡ του Χάελ,Ελλήνων Συνέλευσις,ΒΑΓΕΝΑ ΓΕΩΡΓΙΑ του Βασιλείου,ΓΚΙΤΣΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΚΑΡΑΓΙΑΝΝΙΔΟΥ ΑΝΝΑ του Παναγιώτη,ΜΙΧΑΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Γεωργίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΤΖΙΡΗΣ-ΓΕΩΡΓΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΛΟΠΟΥΛΟΣ ΚΥΡΙΑΚΟΣ του Ιωσήφ,ΑΘΑΝΑΣΙΟΥ ΒΑΛΕΝΤΙΝΗ - ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΔΟΥΛΑΒΕΡΗΣ ΦΩΤΙΟΣ του Αθανασίου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΝΤΟΤΣΙΚΑΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΠΑΠΑΛΕΞΟΠΟΥΛΟΣ ΑΛΕΞΙΟΣ του Νικολάου,ΣΕΡΕΤΗ ΝΙΚΟΛΕΤΑ του Πασχάλη,ΣΙΔΕΡΗΣ ΜΙΧΑΗΛ του Χρήστου,ΤΣΑΠΑΡΑ ΚΑΛΛΙΟΠΗ του Αλεξάνδρου,ΦΡΑΓΚΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΜΑΧΑΙΡΑΣ ΑΛΕΞΙΟΣ του Λεωνίδα,ΤΣΑΚΙΡΟΠΟΥΛΟΥ ΕΛΕΥΘΕΡΙΑ του Εμμανουήλ,ΦΩΤΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΠΑΝΑΓΙΩΤΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΠΟΓΔΑΝΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αθανασίου,ΞΗΡΟΥ ΔΙΑΜΑΝΤΩ του Φωτίου,ΣΙΟΒΑ ΙΩΑΝΝΑ του Κωνσταντίνου,Λαϊκή Ενότητα,ΒΡΕΤΤΟΣ ΕΥΣΤΑΘΙΟΣ του Κωνσταντίνου,ΓΚΟΥΛΕΜΑΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΕΛΕΖΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Θρασύβουλου,ΚΑΝΤΖΑΡΗ ΖΑΦΕΙΡΩ του Χρήστου,ΛΕΦΑ ΑΝΔΡΟΝΙΚΗ του Γεωργίου,ΠΕΤΡΑΚΟΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΗΛΙΟΥ - ΓΕΩΡΓΙΤΣΟΠΟΥΛΟΥ ΦΩΤΕΙΝΗ του Δονάτου,ΜέΡΑ25,ΑΠΟΣΤΟΛΟΠΟΥΛΟΥ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Ανδρέα,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΛΙΝΑΡΔΟΥ ΒΕΝΕΤΙΑ του Θεοδώρου,ΜΑΓΔΑΛΗΝΟΣ ΝΙΚΟΛΑΟΣ του Χαραλάμπους,ΜΕΓΑΡΗ ΕΥΑΝΘΙΑ του Γεωργίου,ΜΟΥΣΤΡΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΠΑΝΑΓΟΠΟΥΛΟΣ ΑΡΙΣΤΟΤΕΛΗΣ (ΑΡΗΣ) του Παναγιώτη,ΠΑΠΑΝΤΩΝΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Θεμιστοκλή,ΠΕΤΤΑΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΣΚΛΑΒΕΝΙΤΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΤΣΑΡΤΟΛΙΑΣ ΧΡΗΣΤΟΣ του Ευσταθίου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΙΣΑΡΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΖΩΗ του Νικολάου,ΑΘΑΝΑΣΟΥΛΗ ΝΑΤΑΛΙΑ του Θεοδώρου,ΣΟΦΟΥΛΗΣ ΕΜΜΑΝΟΥΗΛ του Αγγελου
31 - Αχαΐας,1 E.T. Δήμου Αιγιαλείας,535,368,3,4,7,361,105,0,31,9,10,33,11,5,10,2,6,9,14,162,0,42,18,52,6,24,42,7,6,13,67,52,3,1,0,0,0,1,0,0,0,0,0,0,23,1,3,2,0,0,1,23,7,5,0,2,1,26,8,2,1,22,0,7,0,1,0,0,1,0,5,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,3,2,0,0,2,1,1,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,1,3,0,17,0,4,5
31 - Αχαΐας,2 E.T. Δήμου Αιγιαλείας,573,365,9,3,12,353,107,0,23,15,10,32,4,2,12,3,4,13,16,145,0,43,17,64,5,17,28,9,6,9,59,34,3,1,1,0,0,0,0,0,0,0,0,0,40,3,2,4,1,0,2,9,7,14,1,2,9,23,3,1,0,20,0,7,0,0,0,0,0,0,6,3,0,1,0,1,0,0,0,0,0,0,5,0,1,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,1,1,0,0,14,0,5,4
31 - Αχαΐας,3 E.T. Δήμου Αιγιαλείας,399,246,3,0,3,243,100,0,34,8,14,20,13,8,9,1,35,9,11,76,0,14,12,33,3,7,23,2,3,8,31,23,6,5,0,0,2,1,1,1,0,0,1,3,13,1,0,5,0,0,1,0,5,6,1,1,3,11,2,0,1,7,0,3,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,1,0,1,3,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,2,1,3,3,0,0,1,1,0,1,2,1,0,14,0,6,2
31 - Αχαΐας,4 E.T. Δήμου Αιγιαλείας,312,205,8,1,9,196,79,0,7,7,6,26,2,14,4,4,7,8,11,55,0,17,6,27,3,8,12,4,3,0,19,7,6,4,1,1,0,0,2,0,0,0,1,0,17,2,1,4,4,1,1,0,6,7,0,0,6,7,1,1,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,3,4
31 - Αχαΐας,5 E.T. Δήμου Αιγιαλείας,111,64,0,0,0,64,18,0,5,2,4,2,1,3,1,1,3,2,5,29,0,6,3,11,2,4,11,0,0,0,12,7,3,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
31 - Αχαΐας,6 E.T. Δήμου Αιγιαλείας,65,39,0,0,0,39,8,0,0,0,5,0,0,1,0,0,0,3,0,27,0,4,2,8,0,8,17,0,2,0,2,18,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 - Αχαΐας,7 E.T. Δήμου Αιγιαλείας,180,96,2,2,4,92,10,0,0,1,0,0,1,0,0,0,1,0,0,57,0,13,7,23,1,8,31,0,0,0,31,6,8,2,0,0,0,0,1,0,1,0,1,0,7,1,0,0,0,0,0,3,2,4,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
31 - Αχαΐας,8 E.T. Δήμου Αιγιαλείας,77,49,0,0,0,49,15,0,1,1,1,1,2,0,3,0,0,0,0,22,0,7,3,6,3,4,5,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0,0,9,5,0,1,0,2,0,9,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 - Αχαΐας,9 E.T. Δήμου Αιγιαλείας,112,55,1,0,1,54,28,0,3,7,2,6,2,1,0,1,3,1,3,13,0,0,0,2,1,1,5,3,1,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,1,0,2,5,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 - Αχαΐας,10 E.T. Δήμου Αιγιαλείας,79,50,2,0,2,48,18,0,7,8,2,2,6,1,3,1,1,1,6,17,0,4,0,6,0,7,8,0,1,3,8,3,2,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
31 - Αχαΐας,11 E.T. Δήμου Αιγιαλείας,46,31,0,0,0,31,10,0,2,1,2,0,2,0,0,0,1,0,1,9,0,3,1,3,0,2,5,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 - Αχαΐας,12 E.T. Δήμου Αιγιαλείας,254,149,1,0,1,148,52,0,25,3,11,15,1,6,3,9,4,2,2,74,0,37,2,19,6,10,32,20,2,3,23,27,1,0,0,0,1,0,0,0,1,1,0,0,11,3,0,0,0,0,0,2,9,9,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
31 - Αχαΐας,13 E.T. Δήμου Αιγιαλείας,518,326,6,1,7,319,136,0,35,15,17,26,11,12,10,8,12,15,15,97,0,16,4,26,2,20,30,7,2,11,66,29,9,2,1,0,1,0,2,4,0,2,0,0,14,1,0,0,0,1,0,14,3,1,0,2,5,22,10,1,0,14,0,17,1,3,0,0,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,2,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9,1,1,2,0,2,0,0,0,1,2,0,8,0,6,0,1,1
31 - Αχαΐας,14 E.T. Δήμου Αιγιαλείας,504,302,6,1,7,295,134,0,34,12,18,18,8,10,5,3,15,12,9,96,0,31,8,22,1,12,30,3,3,5,43,31,13,6,1,0,0,1,2,6,1,0,2,0,14,1,1,0,2,1,0,0,1,3,0,1,5,14,9,2,0,6,0,10,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,0,0,1,3,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,8,1,1,1,0,1,0,2,0,1,1,0,1,1,2,0,1,0
31 - Αχαΐας,15 E.T. Δήμου Αιγιαλείας,530,306,2,3,5,301,103,0,23,9,7,17,6,5,6,1,8,4,11,100,0,28,6,31,7,17,12,4,2,6,69,27,13,3,0,0,2,0,7,4,0,0,0,0,32,6,1,0,1,0,2,32,2,6,0,2,13,16,3,0,0,4,0,4,1,0,1,0,0,0,8,4,2,5,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,1,0,2,0,0,0,0,0,0,9,0,1,4
31 - Αχαΐας,16 E.T. Δήμου Αιγιαλείας,512,273,2,3,5,268,119,0,27,10,16,16,6,5,6,5,7,6,15,77,0,14,2,23,4,13,21,3,3,4,49,12,5,3,2,0,0,1,1,3,0,0,0,1,19,8,0,4,2,1,3,0,4,6,0,2,6,14,7,0,0,6,0,8,0,1,0,0,0,0,10,1,1,7,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,4,2,0,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,1,0
31 - Αχαΐας,17 E.T. Δήμου Αιγιαλείας,496,283,5,2,7,276,97,0,35,10,7,20,4,7,6,2,7,6,13,107,0,14,7,24,1,13,30,9,0,4,61,36,3,1,0,0,1,0,0,1,1,2,0,1,15,5,1,1,1,1,0,0,3,4,0,1,7,15,6,2,1,4,0,6,0,0,0,0,0,0,11,2,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,1,1,0,1,2,5,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,1,5,0,1,1,2,0,0,1,1,4,0,1,1
31 - Αχαΐας,18 E.T. Δήμου Αιγιαλείας,500,304,2,1,3,301,115,0,35,11,7,18,10,6,5,7,8,11,10,111,0,21,8,24,4,15,24,2,2,4,62,27,5,2,2,2,0,0,1,2,0,0,0,1,17,1,2,2,1,2,1,5,3,1,1,0,6,18,13,0,0,11,0,14,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,0,5,2,0,5,2,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,1,0,9,1,0,0,0,3,0,1,1,0,0,0,3,1,3,0,0,0
31 - Αχαΐας,19 E.T. Δήμου Αιγιαλείας,504,342,7,4,11,331,101,0,16,16,13,16,6,4,3,3,6,4,9,136,0,20,11,29,6,15,31,10,6,6,69,36,9,3,1,1,1,0,1,4,3,1,1,1,20,3,3,0,1,2,2,0,4,3,1,1,13,11,6,0,0,8,0,8,0,1,0,0,0,0,6,1,3,2,1,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,2,1,0,3,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,2,0,2,0,1,0,1,1,0,2,0,2,0,11,0,2,2
31 - Αχαΐας,20 E.T. Δήμου Αιγιαλείας,528,302,3,4,7,295,109,0,28,15,14,8,4,6,3,1,3,5,8,77,0,13,2,23,2,17,14,8,2,8,34,8,10,3,1,1,0,0,1,1,1,0,0,0,34,6,2,0,0,0,3,12,9,9,1,2,10,21,5,1,0,3,0,11,1,3,0,1,3,1,7,2,1,2,1,1,0,1,0,1,0,0,2,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,10,0,1,1,3,0,0,3,2,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,1,1,13,0,2,2,0,4,1,1,0,0,0,0,1,0,5,0,1,1
