ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΟΥΖΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΜΑΛΤΕΖΟΣ ΓΡΗΓΟΡΙΟΣ του Θεμιστοκλή,ΜΠΑΪΡΑΜΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΠΕΝΕΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΡΕΠΟΥΣΗ ΜΑΡΙΑ του Βασιλείου,ΣΤΑΜΑΤΑΚΗ ΕΛΕΝΗ του Παναγιώτη,Νέα Δημοκρατία,ΑΒΡΑΝΤΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Ιωάννη,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου ,ΚΑΛΑΓΙΑ ΜΑΡΙΑ του Ηλία,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ  του Πέτρου ,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΠΟΥΤΣΙΚΑΚΗΣ ΧΡΙΣΤΟΦΟΡΟΣ-ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΡΟΥΣΣΟΥ ΖΩΗ του Ευαγγέλου-Αντωνίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΤΖΟΓΛΟΥ ΣΤΥΛΙΑΝΟΣ του Μιχαήλ,ΚΑΤΣΟΥΛΗ ΠΑΓΩΝΑ του Γεωργίου,ΚΟΥΖΗΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΜΑΥΡΟΜΜΑΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΝΙΑΟΥΡΗ ΜΑΡΙΑ του Χρήστου,ΞΗΡΑΚΙΑ ΑΝΔΡΙΑΝΗ του Λάμπρου,ΠΟΤΟΥΡΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ανδρέα,Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΑΝΑΓΝΩΣΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σταματίου,ΑΡΚΑΛΑΚΗ ΑΡΓΥΡΩ (ΡΟΥΛΑ) του Ευτυχίου ,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΜΑΝΟΥΣΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωάννη,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ του Ηλία,ΧΡΥΣΟΦΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ιακώβου,Κ.Κ.Ε.,ΔΙΓΕΝΗ ΑΣΗΜΙΝΑ (ΣΕΜΙΝΑ) του Αναστασίου ,ΚΑΡΠΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΑΝΟΥΣΟΓΙΑΝΝΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,ΜΑΡΟΥΠΑΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου ,ΜΟΦΟΡΗΣ ΓΡΗΓΟΡΙΟΣ του Σταύρου,ΞΕΚΑΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου ,ΠΑΝΤΕΛΑΚΗ ΕΛΠΙΔΑ του Αντωνίου,ΧΑΤΖΗΔΑΚΗ ΕΥΤΥΧΙΑ του Γεωργίου ,Ένωση Κεντρώων,ΒΕΡΥΚΑΚΗ ΕΛΛΑΣ (ΕΛΙΝΑ) του Γεωργίου ,ΚΑΡΑΚΑΤΣΑΝΗΣ ΑΠΟΣΤΟΛΟΣ του Μιχαήλ,ΜΠΑΛΑΣΚΑΣ ΑΡΙΣΤΟΜΕΝΗΣ του Παναγιώτη ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΙΜΟΣ ΙΩΑΝΝΗΣ του Ευγενίου ,ΤΡΑΚΑΚΗ ΑΓΓΕΛΙΚΗ του Δημητρίου ,ΨΩΜΑ ΣΤΥΛΙΑΝΗ (ΣΤΕΛΛΑ) του Φωτίου ,Ο.Κ.Δ.Ε.,ΤΣΟΛΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΑΝΑΣΤΑΣΙΑΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου ,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ (ΦΥΛΛΙΑ) του Γεωργίου ,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού ,ΜΑΚΡΗΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου ,ΜΠΕΣΗΣ ΠΑΥΛΟΣ ΑΝΔΡΕΑΣ του Σπύρου Νεκταρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΓΑ του Γεωργίου,ΠΥΛΑΡΙΝΟΥ ΔΙΟΝΥΣΙΑ του Γεωργίου ,Ελλήνων Συνέλευσις,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΚΟΥΡΤΕΣΗΣ ΑΛΕΞΑΝΔΡΟΣ του Δημοσθένη ,ΜΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου ,ΜΠΟΥΜΠΟΥΛΗ ΜΑΡΙΑ του Χρύσανθου,ΤΣΙΑΜΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου ,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΕΥΣΤΑΘΙΟΥ - ΓΕΩΡΓΙΟΥ ΜΑΡΙΑ του Χρήστου ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΜΟΛΕΓΚΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου ,ΚΙΣΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου ,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου ,ΠΑΝΤΕΛΑΡΟΣ ΘΕΟΔΟΣΙΟΣ του Ισιδώρου,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου ,ΦΡΑΓΚΙΑΔΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,ΨΩΜΑΤΑΚΗ ΝΙΚΗ του Θεοδώρου ,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΟΥ ΒΑΣΙΛΙΚΗ του Χρήστου ,ΜΠΕΛΕΣΗ ΧΡΥΣΟΥΛΑ - ΧΡΥΣΑΦΩ του Γεωργίου ,ΤΣΟΥΓΚΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Προδρόμου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου ,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΙΩΑΝΝΙΔΟΥ ΠΟΛΥΞΕΝΗ (ΞΕΝΙΑ) του Ιωάννου,ΚΡΕΜΑΣΤΙΩΤΟΥ ΕΛΕΝΗ του Παύλου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου ,ΣΤΕΡΓΙΟΥΛΗ ΧΑΡΙΚΛΕΙΑ του Μιχαήλ ,ΣΤΕΦΑΝΟΥ ΓΕΩΡΓΙΟΣ του Χαράλαμπου ,ΦΟΥΝΤΟΥΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου ,Λαϊκή Ενότητα,ΑΜΙΡΑΛΗΣ ΕΛΕΥΘΕΡΙΟΣ του Εμμανουήλ,ΚΑΛΛΙΜΑΓΕΙΡΟΥ ΕΛΕΥΘΕΡΙΑ του Αναστασίου ,ΚΑΝΤΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Βασιλείου ,ΜΠΑΔΟΓΙΑΝΝΗΣ ΠΡΟΚΟΠΙΟΣ (ΑΚΗΣ) του Γεωργίου ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ευστρατίου ,ΠΕΤΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου ,ΜέΡΑ25,ΖΟΥΓΑΝΕΛΗ ΠΑΝΑΓΙΩΤΑ (ΠΟΛΑ) του Νικολάου ,ΚΑΝΑΡΕΛΗΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου ,ΚΥΡΙΑΚΙΔΗΣ ΙΩΑΝΝΗΣ  του Ευσταθίου ,ΠΑΡΤΑΚΤΖΟΓΛΟΥ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΣΤΡΑΤΟΥ ΔΑΝΑΗ του Φαίδωνα,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου ,Δημιουργία ξανά - Θ. Τζήμερος,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ του Γεωργίου ,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΓΡΙΒΑ ΒΑΣΙΛΙΚΗ του Λεωνίδα,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΜΠΙΜΠΙΛΑΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου 
40 - Α' Πειραιώς,1 E.T. Δήμου Πειραιώς,557,417,8,2,10,407,105,18,25,49,5,8,13,22,14,197,17,40,13,91,66,30,21,31,19,5,4,5,1,3,2,1,11,5,1,2,1,4,3,1,0,19,8,1,5,0,2,1,7,4,4,0,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,15,9,5,0,2,6,3,0,2,3,1,1,0,1,1,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,15,4,1,3,1,1,3,3,1,0,0,11,8
40 - Α' Πειραιώς,2 E.T. Δήμου Πειραιώς,537,336,2,2,4,332,88,10,16,38,6,4,9,25,14,175,23,38,17,91,32,31,21,18,9,4,0,4,1,1,0,1,18,1,6,5,0,3,3,4,1,7,2,0,0,0,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,0,1,2,2,0,0,0,9,4
40 - Α' Πειραιώς,3 E.T. Δήμου Πειραιώς,531,299,6,1,7,292,74,7,16,28,2,6,12,19,10,154,17,31,21,68,22,29,26,15,6,2,1,3,0,1,0,0,20,3,4,0,0,8,6,1,1,11,6,1,2,3,0,0,2,2,7,3,1,1,0,1,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,2,1,2,7,0,1,0,0,0,1,0
40 - Α' Πειραιώς,4 E.T. Δήμου Πειραιώς,531,309,3,0,3,306,95,20,23,36,4,8,7,25,15,133,20,28,11,61,25,33,13,20,4,2,0,2,0,1,1,0,19,5,2,2,1,5,8,1,3,10,6,1,1,2,1,1,1,1,5,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,12,1,0,0,1,6,5,0,1,0,0,0,0,0,0,0,6,2,2,1,1,0,2,0,0,0,0,0,0,0,13,2,2,1,1,6,1,0,0,0,0,6,2
40 - Α' Πειραιώς,5 E.T. Δήμου Πειραιώς,531,293,2,3,5,288,84,9,11,23,2,3,8,18,18,137,16,31,9,60,30,34,20,14,6,0,2,1,1,0,0,0,12,0,1,0,2,2,2,1,1,16,12,0,1,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,6,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,2,2,1,3,2,0,0,5,3
40 - Α' Πειραιώς,6 E.T. Δήμου Πειραιώς,531,313,3,1,4,309,88,16,16,34,5,6,10,17,21,145,18,20,15,74,32,28,20,11,10,6,1,4,1,1,0,1,15,3,2,3,2,6,4,3,1,16,11,0,4,2,0,0,6,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,2,0,4,2,1,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,2,5,2,2,2,0,0,3,1
40 - Α' Πειραιώς,7 E.T. Δήμου Πειραιώς,530,301,4,4,8,293,90,18,26,28,4,10,4,11,17,131,13,29,12,56,29,20,10,15,15,7,4,6,1,4,1,0,7,1,2,1,1,0,2,1,1,10,3,0,0,0,0,1,4,1,8,0,0,1,1,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,1,5,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,15,6,0,1,0,2,1,1,1,0,0,4,2
40 - Α' Πειραιώς,8 E.T. Δήμου Πειραιώς,530,330,3,1,4,326,102,21,22,37,2,8,10,25,20,147,18,40,10,70,23,29,8,22,9,3,2,3,1,2,1,0,14,1,1,1,0,3,3,5,3,17,11,2,1,4,0,1,6,2,5,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,6,1,1,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,19,5,0,3,1,6,3,0,0,0,0,3,1
40 - Α' Πειραιώς,9 E.T. Δήμου Πειραιώς,535,300,1,2,3,297,76,15,16,28,6,1,8,16,10,154,21,18,19,69,30,26,22,11,5,3,1,1,0,1,0,0,14,2,3,7,1,1,5,1,1,15,7,0,0,1,0,0,6,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,8,2,0,2,1,4,2,0,2,1,0,0,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,0,7,1,0,0,1,1,0,2,1,0,0,5,1
40 - Α' Πειραιώς,10 E.T. Δήμου Πειραιώς,532,331,4,3,7,324,90,17,19,35,6,3,9,17,18,153,22,29,10,76,27,35,19,17,8,3,2,2,2,1,0,0,16,5,1,2,2,2,2,5,0,19,10,1,1,5,1,0,5,1,5,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,1,4,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,10,4,2,0,1,5,0,4,1,0,0,4,1
40 - Α' Πειραιώς,11 E.T. Δήμου Πειραιώς,531,302,4,1,5,297,70,8,8,30,3,4,12,13,8,142,10,34,13,59,23,22,18,12,11,3,2,3,2,0,0,0,17,0,2,1,1,3,3,0,2,17,7,1,5,0,0,0,5,2,6,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1,1,1,2,1,4,2,0,0,5,5
40 - Α' Πειραιώς,12 E.T. Δήμου Πειραιώς,531,310,5,2,7,303,111,11,22,46,5,5,10,38,25,119,10,22,9,46,21,26,18,23,6,2,2,2,1,0,0,0,16,1,3,1,1,4,4,5,0,13,5,0,2,1,1,1,4,1,9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2,3,0,5,2,0,0,0,0,7,3
40 - Α' Πειραιώς,13 E.T. Δήμου Πειραιώς,540,273,7,1,8,265,79,9,16,23,4,3,4,14,15,119,17,17,18,54,19,30,9,15,9,8,2,4,0,0,0,0,11,0,4,2,1,5,5,0,1,13,8,0,1,2,0,0,6,0,8,2,0,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,3,1,2,3,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,3,1,2,0,0,0,3,1
40 - Α' Πειραιώς,14 E.T. Δήμου Πειραιώς,551,326,3,1,4,322,110,22,29,46,6,7,10,29,11,142,12,31,14,73,25,25,30,14,9,5,1,2,0,0,0,0,17,1,3,4,1,4,1,0,4,15,8,0,1,2,1,0,6,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8,2,0,0,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,2,1,3,2,2,1,0,0,3,1
40 - Α' Πειραιώς,15 E.T. Δήμου Πειραιώς,531,306,3,2,5,301,63,2,12,27,2,3,7,17,12,160,23,31,20,74,26,31,26,18,9,3,0,5,3,1,1,1,16,4,2,2,1,6,2,5,1,18,13,0,1,3,2,1,9,1,5,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,3,1,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,1,2,1,3,2,0,0,5,3
40 - Α' Πειραιώς,16 E.T. Δήμου Πειραιώς,532,314,5,1,6,308,79,19,23,32,6,3,6,18,17,138,18,33,13,57,20,26,28,12,8,0,3,3,0,1,1,0,18,0,1,2,4,6,7,5,0,28,13,0,2,4,2,2,7,2,6,0,2,1,2,3,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,1,1,2,3,0,1,0,0,0,0,0,0,0,5,3,0,0,1,0,2,1,0,0,0,0,0,0,11,2,2,1,2,2,0,1,1,0,0,3,2
40 - Α' Πειραιώς,17 E.T. Δήμου Πειραιώς,529,290,5,1,6,284,72,8,17,26,9,4,8,19,15,152,20,20,22,66,23,26,19,19,3,1,1,1,1,0,0,0,8,0,2,1,2,2,1,4,0,13,7,0,2,1,0,0,6,3,8,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,13,5,1,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,8,0,0,0,6,4
40 - Α' Πειραιώς,18 E.T. Δήμου Πειραιώς,538,275,3,0,3,272,80,7,20,31,3,6,6,17,14,129,9,20,14,60,17,38,32,15,10,4,4,0,2,3,2,1,12,1,2,0,2,4,1,2,2,10,4,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,13,6,2,0,1,4,0,1,0,0,0,5,2
40 - Α' Πειραιώς,19 E.T. Δήμου Πειραιώς,546,311,5,4,9,302,97,21,15,38,4,10,11,19,21,131,14,21,13,74,30,27,26,7,10,5,1,3,1,0,0,2,13,2,1,2,1,3,4,1,4,12,8,0,2,3,1,0,4,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,4,3,1,1,4,1,3,0,0,0,3,1
