ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΖΑΝΝΙΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΘΗΒΑΙΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΤΣΙΦΗ-ΖΩΤΑ ΒΕΝΕΤΙΑ του Γεωργίου,ΠΟΥΛΟΥ ΠΑΝΑΓΙΟΥ (ΓΙΩΤΑ) του Λεωνίδα,ΧΑΛΒΑΤΖΗΣ ΣΤΑΜΑΤΗΣ του Ηλία,Νέα Δημοκρατία,ΘΕΟΔΩΡΟΥ - ΜΑΓΟΥΛΑ ΛΟΥΚΙΑ του Αναστασίου,ΚΑΡΑΜΠΕΛΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΤΣΟΥΜΠΑΣ ΑΝΔΡΕΑΣ του Βασιλείου,ΚΤΙΣΤΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Νικολάου,ΤΖΟΥΒΕΛΕΚΗ - ΡΕΠΟΥΣΚΟΥ ΕΥΑΓΓΕΛΙΑ του Ευαγγέλου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΚΑΡΑΚΩΣΤΑΣ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΣΠΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ - ΝΙΚΟΛΕΤΤΑ του Μιχαήλ,Κίνημα Αλλαγής,ΑΓΓΕΛΟΥ ΔΗΜΗΤΡΙΟΣ (ΜΙΜΗΣ) του Κωνσταντίνου,ΚΑΡΒΟΥΝΗΣ ΑΡΗΣ του Αλεξάνδρου,ΚΟΣΚΟΒΟΛΗ - ΓΙΑΧΡΙΤΣΗ ΑΙΚΑΤΕΡΙΝΗ του Λουκά,ΜΟΥΛΚΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΤΑΝΤΟΥΜΗ ΙΩΑΝΝΑ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΑΡΚΟΥΜΑΝΗΣ ΠΕΤΡΟΣ του Ιωάννη,ΔΑΝΑΣΗ - ΔΙΑΜΑΝΤΑΡΗ ΜΑΡΙΑ του Νικολάου,ΤΑΤΣΗ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Αποστόλου,ΤΟΥΛΟΥΜΑΚΟΣ ΑΝΤΩΝΙΟΣ του Σπύρου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΕΥΣΤΑΘΙΑ του Νικολάου,ΛΥΓΓΟΥ ΑΓΛΑΪΑ του Μιχαήλ,ΣΤΙΓΚΑΣ ΒΑΣΙΛΕΙΟΣ του Αθανασίου,ΤΖΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΚΙΤΣΩΝΗ ΧΡΙΣΤΙΝΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΛΛΙΑΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΚΟΥΝΟΥΚΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΡΟΔΗ ΕΛΕΝΗ του Χρήστου,Ελλήνων Συνέλευσις,ΒΑΡΘΑΛΙΤΟΥ ΜΑΡΙΑΝΝΑ του Ιωσήφ,ΜΕΛΙΤΖΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΜΕΛΙΤΖΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΞΗΝΤΑΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Ευαγγέλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΥΘΕΡΙΑ του Μιχαήλ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΣΩΤΗΡΗΣ του Στυλιανού,Ελληνική Λύση - Κ. Βελόπουλος,ΚΥΡΙΑΚΙΔΟΥ ΜΑΡΙΑΝΘΗ του Παντελή,ΣΤΑΜΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Λουκά,ΣΩΤΗΡΙΟΥ ΓΕΩΡΓΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΣΑΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Σεραφείμ,Μ-Λ Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΤΑΞΙΑΡΧΗΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΤΩΝΑΚΟΣ ΓΡΗΓΟΡΙΟΣ του Παναγιώτη,ΜΟΣΧΟΣ ΑΘΑΝΑΣΙΟΣ του Αστερίου,ΧΡΙΣΤΕΛΗ ΠΑΝΑΓΙΩΤΑ του Αθανασίου,Λαϊκή Ενότητα,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΓΟΥΝΑΡΗ ΟΛΥΜΠΙΑ του Αθανασίου,ΣΚΟΥΜΑΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,ΜέΡΑ25,ΔΑΒΑΝΕΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Ευαγγέλου,ΝΤΑΛΛΗ ΘΕΟΔΩΡΑ - ΒΙΡΓΙΝΙΑ (ΡΑΝΙΑ) του Δημητρίου,ΠΛΑΣ ΔΗΜΗΤΡΙΟΣ του Λουκά,Δημιουργία ξανά - Θ. Τζήμερος,ΒΟΓΙΑΤΖΑΚΗ ΜΑΡΙΑ του Εμμανουήλ,ΛΑΝΤΖΟΣ ΑΘΑΝΑΣΙΟΣ του Χαραλάμπους,ΣΚΟΥΡΤΑΝΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΜΑΝΙΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου
36 - Βοιωτίας,1 E.T. Δήμου Αλιάρτου - Θεσπιέων,534,304,5,4,9,295,106,6,12,44,24,2,88,10,12,14,13,25,8,0,4,2,33,5,0,3,18,2,17,0,1,1,7,1,7,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,5,2,5,0,0,0,0,4,0,0,1,0,0,0,0,11,3,3,0,3,2,0,1,2,1,1
36 - Βοιωτίας,2 E.T. Δήμου Αλιάρτου - Θεσπιέων,520,321,5,1,6,315,100,4,10,52,12,2,121,10,14,29,19,30,11,1,5,1,32,2,2,2,13,4,10,0,1,0,4,0,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,4,2,1,0,0,0,0,0,0,0,0,2,0,0,2,10,2,3,1,2,0,0,0,3,1,0
36 - Βοιωτίας,3 E.T. Δήμου Αλιάρτου - Θεσπιέων,540,382,13,2,15,367,131,4,10,65,35,3,110,9,11,25,22,24,9,1,4,1,58,9,8,1,30,5,13,0,2,1,0,2,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,10,6,2,1,1,1,0,0,4,1,0,1,3,0,2,1,11,1,2,0,6,2,1,0,6,1,2
36 - Βοιωτίας,4 E.T. Δήμου Αλιάρτου - Θεσπιέων,524,333,4,3,7,326,114,2,12,52,23,2,118,12,23,29,12,23,12,1,6,3,28,1,3,0,16,1,8,0,1,1,0,1,6,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,15,8,1,2,1,0,0,0,4,0,1,2,0,0,0,0,12,3,2,0,2,0,0,0,3,0,0
36 - Βοιωτίας,5 E.T. Δήμου Αλιάρτου - Θεσπιέων,531,370,2,2,4,366,117,1,9,55,24,7,145,23,32,27,12,33,9,0,5,3,50,6,8,4,20,5,9,0,1,1,2,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,3,4,1,0,0,0,0,0,0,0,0,2,0,1,1,4,0,3,0,3,0,0,3,12,1,5
36 - Βοιωτίας,6 E.T. Δήμου Αλιάρτου - Θεσπιέων,521,320,5,3,8,312,92,2,4,33,18,4,112,13,20,28,12,32,11,1,5,1,44,7,6,3,18,6,11,0,3,0,5,0,6,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,5,3,2,0,0,0,0,1,1,0,0,0,0,0,0,10,1,3,0,2,0,0,0,4,0,1
36 - Βοιωτίας,7 E.T. Δήμου Αλιάρτου - Θεσπιέων,527,359,5,5,10,349,110,8,9,47,24,5,108,22,22,32,6,19,19,2,7,3,56,6,8,1,29,3,15,6,3,0,2,0,2,1,0,0,0,0,0,5,1,3,0,1,0,0,0,0,0,0,0,10,4,0,4,1,0,0,0,4,0,0,2,1,0,0,0,11,2,4,2,0,0,0,0,6,1,3
36 - Βοιωτίας,8 E.T. Δήμου Αλιάρτου - Θεσπιέων,455,287,4,1,5,282,106,7,6,40,33,2,57,9,5,16,10,4,12,1,5,2,41,2,1,5,13,11,19,5,6,0,3,0,5,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,15,6,3,1,1,0,0,0,3,1,0,0,0,0,0,0,7,0,0,1,7,2,2,0,7,1,1
36 - Βοιωτίας,9 E.T. Δήμου Αλιάρτου - Θεσπιέων,402,232,0,1,1,231,82,5,9,8,28,6,62,2,17,17,8,4,9,0,5,1,24,7,0,0,6,4,30,0,1,1,24,1,2,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,8,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,0,2,1,0,0,1,0,1
36 - Βοιωτίας,10 E.T. Δήμου Αλιάρτου - Θεσπιέων,484,275,0,0,0,275,69,8,10,17,17,5,106,4,23,61,5,11,12,1,8,1,24,1,7,1,14,1,21,0,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,1,0,0,0,0,15,0,0,15,0,0,0,0,6,3,0,0,1,0,0,1,5,1,1
36 - Βοιωτίας,11 E.T. Δήμου Αλιάρτου - Θεσπιέων,471,305,2,1,3,302,106,7,9,33,26,7,105,20,19,13,9,28,11,0,6,2,37,6,14,1,8,3,6,0,1,1,1,0,3,0,1,0,0,0,0,4,0,0,0,3,3,0,0,0,0,1,1,9,3,0,1,2,0,0,0,2,1,0,1,0,0,0,0,10,1,2,1,1,0,0,0,2,1,1
36 - Βοιωτίας,12 E.T. Δήμου Αλιάρτου - Θεσπιέων,279,174,1,0,1,173,61,2,4,19,25,1,58,16,9,10,10,5,1,0,1,0,29,7,8,3,10,1,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,1,3
36 - Βοιωτίας,13 E.T. Δήμου Αλιάρτου - Θεσπιέων,425,289,4,1,5,284,82,10,15,6,17,7,80,17,6,10,21,16,1,0,1,0,61,2,2,1,55,0,28,0,0,0,1,13,6,3,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,9,3,3,0,1,0,2,1,0,0,0,0,0,0,0,0,7,3,4,0,1,0,1,0,3,1,0
36 - Βοιωτίας,14 E.T. Δήμου Αλιάρτου - Θεσπιέων,424,278,2,3,5,273,78,10,18,9,18,1,91,21,2,6,34,14,3,0,0,0,51,0,4,0,45,1,26,0,1,0,0,15,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,9,3,5,0,1,1,0,0,1,0,0
36 - Βοιωτίας,15 E.T. Δήμου Αλιάρτου - Θεσπιέων,404,269,3,2,5,264,71,13,11,10,15,8,70,10,4,4,26,10,8,0,4,0,49,1,1,0,45,0,35,0,1,0,0,24,3,1,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,12,3,1,4,1,1,1,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,0,0,0,0,0
36 - Βοιωτίας,16 E.T. Δήμου Αλιάρτου - Θεσπιέων,417,252,2,5,7,245,52,3,8,8,10,6,97,30,6,10,15,27,18,0,13,0,23,5,3,0,10,1,29,0,2,0,1,13,3,1,1,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,6,1,3
36 - Βοιωτίας,17 E.T. Δήμου Αλιάρτου - Θεσπιέων,421,240,0,1,1,239,52,13,7,11,3,0,109,12,2,17,36,31,15,1,10,3,10,0,2,0,6,0,20,0,0,1,1,9,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,16,7,6,0,0,0,0,0,5,1,0,0,3,0,0,2,1,1,0,0,1,0,0,0,2,0,1
36 - Βοιωτίας,18 E.T. Δήμου Αλιάρτου - Θεσπιέων,433,235,2,1,3,232,58,1,16,3,13,4,93,15,7,10,22,23,8,0,5,3,28,0,0,0,24,0,17,0,2,1,1,6,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,8,3,0,2,2,2,0,0,1,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,6,0,1
36 - Βοιωτίας,19 E.T. Δήμου Αλιάρτου - Θεσπιέων,456,262,3,1,4,258,78,4,28,7,15,7,95,17,6,10,23,30,13,1,9,2,24,2,1,1,17,0,20,5,1,3,0,7,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,13,2,4,4,0,0,0,0,2,0,1,1,0,0,0,0,5,0,2,0,1,0,0,0,3,0,1
36 - Βοιωτίας,20 E.T. Δήμου Αλιάρτου - Θεσπιέων,448,239,1,2,3,236,91,3,17,13,14,15,102,24,6,7,25,28,4,1,2,0,15,5,0,1,6,0,5,3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,1,2,1,0,0,0,2,0,1
36 - Βοιωτίας,21 E.T. Δήμου Αλιάρτου - Θεσπιέων,394,218,2,5,7,211,75,5,17,7,10,6,88,17,6,9,24,26,8,0,2,2,13,4,0,1,8,0,5,0,0,1,0,0,5,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,1,1,0,0,0,0,0,3,2,1
36 - Βοιωτίας,22 E.T. Δήμου Αλιάρτου - Θεσπιέων,450,283,4,1,5,278,84,3,20,10,10,12,104,13,9,28,12,31,10,1,4,1,26,6,2,0,15,0,19,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,11,2,3,1,1,0,0,0,3,0,1
