ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΛΑΧΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Δημητρίου,ΚΑΡΑΓΙΑΝΝΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΞΑΝΘΟΠΟΥΛΟΣ ΘΕΟΦΙΛΟΣ του Σάββα,ΠΑΓΚΑΛΙΔΟΥ ΔΗΜΗΤΡΑ του Παύλου,ΠΑΡΑΣΧΙΔΗΣ ΚΥΡΙΑΖΗΣ του Μιχαήλ,Νέα Δημοκρατία,ΚΥΡΙΑΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Τριαντάφυλλου,ΜΑΓΓΑΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΜΠΛΟΥΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΟΥΦΕΚΤΣΗ ΘΕΟΔΩΡΑ (ΝΤΟΡΑ) του Βασιλείου,ΤΣΙΑΜΟΥΡΑ ΠΑΝΑΓΙΩΤΑ του Αθανασίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΙΚΟΛΑΪΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Παναγιώτη,ΠΟΥΤΑΧΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ανθιμου,ΣΕΛΑΛΜΑΖΙΔΗΣ ΗΛΙΑΣ του Δημητρίου,ΤΣΑΠΑΚΙΔΗΣ ΚΟΣΜΑΣ του Νικολάου,ΧΟΡΟΖΙΔΟΥ ΧΡΥΣΑΝΘΗ του Αβραάμ,Κίνημα Αλλαγής,ΚΕΦΑΛΙΔΟΥ ΧΑΡΟΥΛΑ (ΧΑΡΑ) του Δημητρίου,ΝΙΚΟΛΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΞΑΝΘΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΠΑΠΟΥΤΣΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΧΑΡΙΣΚΟΥ ΧΡΥΣΑΝΘΗ (ΧΡΙΣΤΙΑΝΑ) του Αντωνίου,Κ.Κ.Ε.,ΚΑΨΙΜΑΝΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΚΟΤΖΑΜΠΑΣΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΜΑΛΛΗ ΜΑΡΙΑ του Γεωργίου,ΜΗΤΡΟΥ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΤΖΕΛΑΣ ΣΤΑΥΡΟΣ του Γεωργίου,Ένωση Κεντρώων,ΑΠΟΣΤΟΛΙΔΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΑΡΑΠΑΝΟΥ ΟΥΡΑΝΙΑ του Στεφάνου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ του Ευαγγέλου,ΣΑΠΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΤΣΑΚΩΝΑΣ ΧΡΙΣΤΟΦΟΡΟΣ του Χαράλαμπου,Ο.Κ.Δ.Ε.,ΒΟΥΖΑΣ ΗΛΙΑΣ του Λαζάρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΙΡΟΥΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΝΘΟΥΛΗ ΣΩΤΗΡΙΑ του Χρήστου,ΓΚΛΑΒΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Διαμαντή,ΕΦΡΑΙΜΙΔΟΥ ΕΥΘΥΜΙΑ του Αλεξάνδρου,ΚΟΡΩΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΤΕΡΖΙΔΗΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΓΡΑΜΜΑΤΙΚΟΠΟΥΛΟΣ ΑΔΑΜ του Γεωργίου,ΚΟΥΡΤΙΔΗΣ ΜΙΧΑΗΛ του Αβραάμ,ΤΑΚΦΟΡΙΔΟΥ ΧΡΥΣΑΝΘΗ του Σωτηρίου,ΧΑΤΖΗΒΑΣΙΛΕΙΟΥ ΕΥΑ του Δημητρίου,ΨΩΜΙΑΔΗΣ ΙΩΑΝΝΗΣ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΟΙΚΟΝΟΜΙΔΗΣ ΙΑΚΩΒΟΣ του Περικλή,Μ-Λ Κ.Κ.Ε.,ΚΟΣΜΑ ΧΡΥΣΑΝΘΗ του Παναγιώτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΓΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΟΛΓΑ του Δημητρίου,ΠΛΑΚΙΔΗΣ ΧΡΗΣΤΟΣ του Θεοδώρου,Λαϊκή Ενότητα,ΕΡΜΕΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΚΟΓΙΟΥ ΕΛΕΝΗ του Ιωάννη,ΠΡΟΚΟΒΑΣ ΑΠΟΣΤΟΛΟΣ του Κυπαρίσση,ΜέΡΑ25,ΒΡΑΣΚΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΜΑΝΙΑΔΑΚΗ ΑΓΓΕΛΙΚΗ του Αναστασίου,ΤΟΓΓΙΑΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αντωνίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΡΗΓΟΡΙΟΥ ΘΕΟΧΑΡΙΑ του Παναγιώτη,ΚΟΥΚΟΥΤΣΟΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΣΑΒΒΙΔΗΣ ΙΕΡΟΚΛΗΣ του Θεοδώρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΑΠΟΥΝΙΔΟΥ ΕΛΕΝΗ του Σάββα
4 - Δράμας,1 E.T. Δήμου Δοξάτου,514,295,2,2,4,291,56,8,10,22,5,1,141,50,10,62,3,3,5,3,0,0,0,2,29,12,15,0,0,1,11,3,4,0,1,2,6,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,26,3,14,2,2,2,0,0,1,1,3,0,0,3,0,0,0,0,7,3,1,2,1,0,0,0,3,1
4 - Δράμας,2 E.T. Δήμου Δοξάτου,517,280,4,0,4,276,46,4,16,21,0,0,154,48,12,80,5,3,3,0,0,1,0,1,16,5,8,2,1,0,8,0,0,3,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34,0,31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,4,1,1,0,0,1,1
4 - Δράμας,3 E.T. Δήμου Δοξάτου,542,280,3,5,8,272,64,12,12,16,2,6,107,30,8,48,5,6,18,10,1,0,5,0,19,7,9,1,1,1,11,3,0,0,1,0,6,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,29,2,23,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,3,1,2,1,0,1,7,2
4 - Δράμας,4 E.T. Δήμου Δοξάτου,526,299,1,1,2,297,85,24,16,23,4,3,114,30,19,52,3,3,6,1,1,1,1,1,24,4,6,6,0,4,15,2,2,1,2,4,7,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,29,0,24,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,9,0,1,5,3,1,0,1,3,2
4 - Δράμας,5 E.T. Δήμου Δοξάτου,533,275,7,1,8,267,59,12,10,16,2,4,105,21,11,58,5,2,8,3,0,0,0,0,36,7,16,2,5,2,14,2,0,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,26,0,17,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,6,3
4 - Δράμας,6 E.T. Δήμου Δοξάτου,517,267,6,3,9,258,67,15,14,10,4,4,111,31,5,64,1,2,4,0,0,0,0,1,20,8,7,1,3,0,12,4,0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,2,0,1,0,5,2
4 - Δράμας,7 E.T. Δήμου Δοξάτου,517,289,3,1,4,285,43,7,16,10,1,4,139,29,16,67,5,10,7,4,0,0,2,0,36,14,15,2,1,2,8,1,3,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,17,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,3,2,0,1,0,5,1
4 - Δράμας,8 E.T. Δήμου Δοξάτου,542,265,6,1,7,258,73,16,17,23,5,4,95,45,10,34,1,2,5,2,1,0,0,2,29,16,3,4,0,4,9,2,3,0,1,2,9,2,2,0,0,5,0,0,1,0,0,0,0,0,0,0,27,6,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,6,4
4 - Δράμας,9 E.T. Δήμου Δοξάτου,506,258,3,1,4,254,73,14,19,17,4,1,99,37,2,50,1,4,7,4,1,1,1,0,23,10,4,2,3,3,11,0,0,1,2,4,4,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,24,3,10,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,2,0,2,1,0,1,2,2
4 - Δράμας,10 E.T. Δήμου Δοξάτου,513,274,4,2,6,268,65,10,20,11,11,2,114,43,10,57,2,2,3,2,0,0,0,0,40,19,4,7,0,4,10,0,0,0,3,0,5,2,0,0,0,1,0,0,0,0,2,0,0,0,1,1,15,2,6,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,8,1,2,0,0,0,0,0,5,3
4 - Δράμας,11 E.T. Δήμου Δοξάτου,510,221,3,2,5,216,33,7,7,6,3,1,120,48,11,53,0,6,8,6,0,1,0,1,16,5,5,2,0,1,6,0,1,0,2,3,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,9,2,1,2,0,0,0,0,4,0,1,1,0,0,0,0,3,0,0,2,1,0,0,1,1,1
4 - Δράμας,12 E.T. Δήμου Δοξάτου,513,279,3,3,6,273,76,11,16,19,2,4,110,45,3,47,3,3,10,4,1,3,1,0,21,11,5,1,3,0,6,1,1,1,0,0,8,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,17,0,6,3,3,5,0,0,0,0,2,0,0,1,2,1,0,0,15,2,1,8,2,0,0,2,2,1
4 - Δράμας,13 E.T. Δήμου Δοξάτου,507,254,1,2,3,251,60,13,14,15,4,1,88,25,5,43,2,1,14,5,0,0,1,2,20,8,6,2,1,3,5,0,1,2,0,0,9,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,26,1,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,4,13,2
4 - Δράμας,14 E.T. Δήμου Δοξάτου,503,239,2,4,6,233,64,16,18,9,2,2,65,18,4,41,0,1,9,4,0,1,0,0,38,16,11,3,0,1,4,0,1,0,1,1,13,2,0,0,0,9,0,0,3,1,2,0,0,0,2,0,19,1,8,1,0,8,0,0,0,0,2,0,1,0,0,0,0,0,8,0,2,6,2,0,0,2,4,2
4 - Δράμας,15 E.T. Δήμου Δοξάτου,515,262,4,3,7,255,73,16,12,19,4,5,109,30,11,59,1,6,7,2,0,1,2,2,21,10,6,2,0,1,3,0,0,0,0,1,3,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,18,5,5,2,1,1,0,0,0,0,4,0,1,0,0,0,0,0,6,0,3,2,1,0,1,0,7,4
4 - Δράμας,16 E.T. Δήμου Δοξάτου,444,243,0,0,0,243,51,12,13,12,3,1,129,27,9,89,1,0,7,4,0,0,0,0,21,9,4,5,2,1,10,1,3,0,2,0,14,11,1,0,0,2,0,0,0,0,1,0,0,0,1,0,6,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4 - Δράμας,17 E.T. Δήμου Δοξάτου,514,204,2,2,4,200,59,25,10,10,1,2,64,28,3,25,1,3,16,13,2,0,0,0,39,20,12,1,1,1,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,4,0,0,0,0,1,0
4 - Δράμας,18 E.T. Δήμου Δοξάτου,472,188,3,0,3,185,50,12,9,15,2,3,63,35,5,14,0,4,7,7,0,0,0,0,37,15,9,7,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,9,1,2,6,3,0,0,3,2,1
4 - Δράμας,19 E.T. Δήμου Δοξάτου,471,192,2,0,2,190,52,22,4,15,3,0,69,20,5,34,0,3,4,4,0,0,0,0,32,15,10,5,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,7,0,2,5,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,3,2,0,0,2,4,3
4 - Δράμας,20 E.T. Δήμου Δοξάτου,476,179,2,0,2,177,37,7,10,7,3,0,62,26,7,13,2,3,15,15,0,0,0,0,31,16,11,2,2,0,3,0,0,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,4,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,1,0,1,0,2,0
4 - Δράμας,21 E.T. Δήμου Δοξάτου,461,195,2,1,3,192,57,24,9,15,0,0,71,21,4,36,2,1,7,4,1,0,0,0,28,15,7,1,1,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,1,5,2,0,0,2,0,0
4 - Δράμας,22 E.T. Δήμου Δοξάτου,454,191,4,1,5,186,60,19,4,18,2,3,46,29,1,8,4,0,11,10,0,0,0,0,25,13,7,3,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,8,5,0,2,0,0,0,0,2,0,1,0,3,1,0,2,11,0,0,11,5,1,0,4,0,0
4 - Δράμας,23 E.T. Δήμου Δοξάτου,424,187,1,1,2,185,69,29,12,15,2,0,61,32,4,13,3,2,2,1,0,0,0,0,24,15,1,1,0,1,5,1,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,3,3,2
4 - Δράμας,24 E.T. Δήμου Δοξάτου,278,123,0,1,1,122,42,11,13,7,3,1,46,17,3,22,0,2,3,3,0,0,0,0,7,2,3,1,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,8,1,0,0,0,0,0
4 - Δράμας,25 E.T. Δήμου Δοξάτου,328,167,0,1,1,166,53,16,5,11,2,1,58,24,3,21,0,1,7,2,1,1,0,0,21,8,2,11,0,0,2,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,1,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,4,1,0,0,0,1,1
4 - Δράμας,26 E.T. Δήμου Δοξάτου,556,207,2,1,3,204,61,40,6,8,1,0,72,30,0,30,1,3,10,9,0,0,0,0,23,7,8,6,0,1,2,0,0,2,0,0,9,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,12,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,8,4,1,0,3,1,1
