ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΑΒΟΥΛΗ ΣΤΑΜΑΤΑ (ΜΑΤΙΝΑ) του Διονυσίου,ΜΠΑΛΤΑΣ ΑΡΙΣΤΕΙΔΗΣ-ΝΙΚΟΛΑΟΣ-ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,ΠΑΝΤΖΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα-Αριστοτέλη,ΤΣΙΠΡΑΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΧΑΤΖΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαράλαμπου,ΧΗΡΑ ΜΑΡΙΑ του Αλέξανδρου,Νέα Δημοκρατία,ΚΟΠΑΝΑΚΗ ΕΥΑΓΓΕΛΙΑ του Εμμανουήλ,ΚΩΤΣΗΡΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΛΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΠΑΡΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΜΠΟΥΡΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΟΥΛΗΣ ΣΤΑΜΑΤΙΟΣ του Κυριάκου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΓΚΩΝΑΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΑΤΑΤΣΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΕΥΘΥΜΙΑ του Νικολάου,ΠΑΠΠΑΣ ΧΡΗΣΤΟΣ του Ηλία,ΦΡΑΓΚΟΥΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,Κίνημα Αλλαγής,ΑΚΑΜΙΩΤΑΚΗ ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΑΝΑΣΤΑΣΑΚΗΣ ΜΗΝΑΣ του Μιχαήλ,ΛΙΟΣΗΣ ΑΓΓΕΛΟΣ του Αθανασίου,ΜΟΥΣΤΑΚΑΚΗ ΓΕΩΡΓΙΑ του Τιμολέων,ΞΑΝΘΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Λάζαρου,ΥΨΗΛΑΝΤΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΚΟΥΜΠΟΥΡΗΣ ΔΗΜΟΣ του Ιωάννη,ΜΕΝΙΔΙΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Ιωάννη,ΜΠΑΚΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,ΠΑΠΑΔΑΤΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΠΑΠΑΣΤΑΥΡΟΥ ΚΥΡΙΛΛΟΣ του Χρυσοστόμου,ΧΡΙΣΤΙΔΗΣ ΣΤΑΥΡΟΣ του Θωμά,Ένωση Κεντρώων,ΔΩΡΗΣ ΣΠΥΡΙΔΩΝ του Κοσμά,ΖΩΓΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Γεωργίου,ΘΕΟΔΩΡΟΥ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΠΑΓΚΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΣΑΓΚΟΥΡΗ ΑΘΑΝΑΣΙΑ του Δημητρίου,ΤΑΜΗΛΙΑΣ ΣΠΥΡΟΣ του Αλεξάνδρου,Ο.Κ.Δ.Ε.,ΑΣΛΑΝΙΔΗ ΑΝΝΑ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΩΝΑΡΟΠΟΥΛΟΥ ΧΡΥΣΑΝΘΗ του Ιωάννη,ΚΑΤΑΡΑΧΙΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΜΠΕΚΟΣ ΒΑΣΙΛΕΙΟΣ της Ελένης,Ελλήνων Συνέλευσις,ΣΙΔΗΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σάββα,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΑΓΓΕΛΗ-ΚΑΡΔΟΥΛΑΚΗ ΑΡΤΕΜΙΣ του Εμμανουήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΝΩΛΗ ΕΛΕΝΗ του Βασιλείου,ΜΠΟΥΓΕΣΗ ΜΑΡΙΑ του Δημητρίου,ΠΕΤΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Σταύρου,ΤΣΟΥΤΣΟΥΡΑΣ ΙΩΑΝΝΗΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Θεοφίλου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΑΡΡΗΣ ΑΠΟΣΤΟΛΟΣ του Αντωνίου,Μ-Λ Κ.Κ.Ε.,ΑΔΡΙΑΝΟΣ ΙΑΣΩΝ- ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΣΜΙΤΖ ΙΩΑΝΝΑ του Βασιλείου,Λαϊκή Ενότητα,ΚΑΤΣΙΚΕΑ ΟΥΡΑΝΙΑ ΕΛΕΝΗ του Γεωργίου,ΛΕΒΕΝΤΗ-ΓΙΑΚΟΥΜΑΤΟΥ ΑΓΓΕΛΙΚΗ συζ. Ιωάννη,ΡΟΔΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΤΣΙΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΜέΡΑ25,ΑΝΤΩΝΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Γεωργίου,ΓΕΓΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΘΕΑΚΟΣ ΓΡΗΓΟΡΙΟΣ του Επαμεινώνδα,ΜΑΡΑΚΗΣ ΙΩΑΝΝΗΣ του Στυλιανού,ΠΑΤΕΛΗ ΟΥΡΑΝΙΑ του Αντωνίου,ΧΡΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Δημιουργία ξανά - Θ. Τζήμερος,ΦΩΚΑΣ ΙΩΑΝΝΗΣ του Κοσμά,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΛΙΣΑΓΚΟΡ-ΒΕΡΓΗ ΣΒΕΤΛΑΝΑ του Γκριγκόρι,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΦΟΥΦΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
64 - Β' Δυτικής Αττικής,1 E.T. Δήμου Ασπροπύργου,554,345,8,1,9,336,109,27,22,16,46,14,8,119,12,22,76,4,36,12,14,6,3,3,9,4,14,5,4,5,0,2,0,18,9,1,9,1,0,2,6,0,2,0,0,2,0,0,0,0,0,0,0,4,4,0,0,35,18,7,19,10,1,1,0,0,0,0,1,0,0,1,0,0,0,0,9,3,6,0,2,1,4,1,0,0,0,4,3
64 - Β' Δυτικής Αττικής,2 E.T. Δήμου Ασπροπύργου,534,298,5,3,8,290,103,30,9,30,46,13,8,108,10,23,74,4,29,26,25,8,4,1,12,2,10,3,4,3,1,2,2,17,8,0,8,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,5,1,7,3,0,0,0,0,0,0,2,1,0,1,0,0,1,0,4,1,1,1,0,1,1,1,0,0,0,1,0
64 - Β' Δυτικής Αττικής,3 E.T. Δήμου Ασπροπύργου,532,348,7,7,14,334,127,41,18,33,67,13,15,113,12,18,88,9,26,15,27,11,5,1,15,8,6,0,1,2,0,2,0,13,3,2,8,2,4,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,6,3,7,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,16,2,2,6,2,4,7,1,1,0,0,6,4
64 - Β' Δυτικής Αττικής,4 E.T. Δήμου Ασπροπύργου,530,378,24,2,26,352,102,37,28,25,45,6,9,160,17,18,101,12,51,16,32,12,8,6,17,8,8,2,3,2,1,1,1,10,5,1,5,3,1,1,4,4,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,20,11,7,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,2,0,0,0,6,6
64 - Β' Δυτικής Αττικής,5 E.T. Δήμου Ασπροπύργου,531,310,4,3,7,303,113,28,19,33,57,8,24,101,18,16,66,6,25,21,18,3,5,6,11,6,9,2,2,1,1,1,1,13,5,0,7,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,27,13,5,9,4,2,1,2,0,0,0,2,0,0,0,0,0,0,0,6,1,2,0,0,1,0,2,2,0,0,5,2
64 - Β' Δυτικής Αττικής,6 E.T. Δήμου Ασπροπύργου,540,322,9,1,10,312,140,33,26,37,88,16,12,90,9,12,71,2,31,15,19,7,3,4,14,8,6,2,1,1,1,2,1,17,5,2,9,3,5,2,4,1,0,2,0,3,2,0,0,1,0,0,0,1,1,0,0,18,6,3,9,6,0,0,0,0,0,0,0,0,0,3,0,1,1,1,7,1,0,4,0,2,3,0,0,0,0,6,2
64 - Β' Δυτικής Αττικής,7 E.T. Δήμου Ασπροπύργου,539,329,3,1,4,325,102,17,20,18,45,4,8,139,14,26,115,6,24,17,19,2,4,3,12,3,10,1,6,3,0,1,0,31,15,2,21,0,1,7,3,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,11,3,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,3,2
64 - Β' Δυτικής Αττικής,8 E.T. Δήμου Ασπροπύργου,552,335,7,2,9,326,123,30,27,27,60,14,20,96,11,29,66,1,26,18,22,11,8,4,11,6,17,4,5,6,2,8,2,26,14,4,15,0,5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,22,11,6,11,3,0,0,0,0,2,0,1,0,0,1,0,0,1,1,8,4,4,0,2,2,1,2,1,0,0,3,2
64 - Β' Δυτικής Αττικής,9 E.T. Δήμου Ασπροπύργου,531,259,3,4,7,252,126,33,24,31,62,7,22,64,3,11,47,0,16,7,12,3,3,1,6,3,5,2,0,2,0,2,0,16,6,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,1,2,4,1,0,0,0,5,3
64 - Β' Δυτικής Αττικής,10 E.T. Δήμου Ασπροπύργου,536,297,7,0,7,290,124,32,24,24,65,20,22,71,4,13,60,3,23,12,21,10,4,7,12,3,12,3,0,2,3,3,3,31,17,3,14,4,3,2,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9,4,5,3,2,0,0,0,0,0,0,1,0,0,3,3,1,0,2,7,4,1,0,2,0,0,3,3,0,0,4,3
64 - Β' Δυτικής Αττικής,11 E.T. Δήμου Ασπροπύργου,538,326,7,4,11,315,102,28,16,29,50,14,12,137,18,20,102,15,34,12,14,3,4,2,9,2,9,0,3,2,1,5,0,14,8,10,10,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,13,8,2,7,6,4,2,1,1,0,0,2,2,1,3,0,1,3,0,9,2,1,0,2,2,3,2,1,0,0,2,1
64 - Β' Δυτικής Αττικής,12 E.T. Δήμου Ασπροπύργου,565,326,6,3,9,317,109,25,23,24,52,7,20,113,13,18,71,3,36,10,23,5,4,6,13,4,11,5,3,4,4,1,0,27,10,3,12,3,7,6,6,2,2,0,2,2,1,0,0,2,1,1,0,0,0,0,0,13,9,3,2,5,2,2,1,1,0,0,1,1,1,1,1,0,1,0,8,3,3,1,1,1,2,0,0,0,0,1,1
64 - Β' Δυτικής Αττικής,13 E.T. Δήμου Ασπροπύργου,536,323,3,1,4,319,107,56,24,23,49,17,16,113,41,26,97,3,24,17,15,4,3,2,13,1,13,5,1,9,2,0,0,19,16,0,18,2,1,0,4,1,3,1,0,0,1,1,1,0,0,0,0,8,8,2,2,27,19,8,15,8,2,2,2,0,0,0,0,0,0,1,0,0,1,0,5,4,1,1,0,1,0,0,0,0,0,2,2
64 - Β' Δυτικής Αττικής,14 E.T. Δήμου Ασπροπύργου,545,299,6,0,6,293,99,24,3,21,37,3,10,104,9,20,72,7,28,15,16,5,4,1,10,4,15,7,6,5,0,3,1,27,17,1,15,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,5,8,11,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,1,1,2,0,0,0,7,3
64 - Β' Δυτικής Αττικής,15 E.T. Δήμου Ασπροπύργου,530,305,8,2,10,295,91,29,15,24,46,7,18,123,8,25,96,4,41,15,18,4,5,3,8,6,9,5,3,1,4,3,1,20,11,1,13,2,2,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,4,6,4,1,0,0,0,0,0,0,0,0,1,0,1,1,0,9,2,3,2,1,2,3,1,0,0,0,5,4
64 - Β' Δυτικής Αττικής,16 E.T. Δήμου Ασπροπύργου,546,314,8,1,9,305,120,42,16,18,34,12,13,96,13,11,56,3,24,12,16,3,4,5,7,0,12,5,4,1,1,3,3,32,13,5,18,3,3,2,2,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,6,3,1,3,4,0,0,0,0,0,0,1,1,1,1,0,1,0,0,10,0,2,0,0,2,3,2,1,0,0,5,4
