ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Γεωργίου,ΚΑΪΣΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΛΕΣΗ ΕΛΙΣΑΒΕΤ (ΕΛΙΖΑ) του Δημητρίου,ΜΑΛΤΕΖΟΣ ΜΕΝΕΛΑΟΣ του Φωτεινού,ΡΙΖΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΤΣΟΛΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δήμου,Νέα Δημοκρατία,ΔΕΡΜΕΝΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Αλεξάνδρου,ΔΗΜΟΣΧΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Σπύρου,ΚΕΛΕΤΣΗΣ ΣΤΑΥΡΟΣ του Δημητρίου,ΜΠΑΧΑΡΙΔΟΥ ΧΡΥΣΗ του Γεωργίου,ΣΩΚΟΥ ΕΛΕΝΗ (ΕΛΕΝΑ) του Παντελή,ΦΑΡΑΝΤΑΤΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΜΗΝΙΔΟΥ ΔΗΜΗΤΡΟΥΛΑ του Ευαγγέλου,ΔΟΥΛΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΘΕΟΧΑΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΡΑΓΓΕΛΙΔΗΣ ΑΓΓΕΛΟΣ του Αθανασίου,ΤΣΙΓΓΕΡΛΙΩΤΟΥ ΜΑΡΙΑ του Νικολάου,Κίνημα Αλλαγής,ΒΑΣΙΛΕΙΑΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΖΑΠΑΡΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Εμμανουήλ,ΚΑΡΑΦΥΛΛΗΣ ΑΘΑΝΑΣΙΟΣ του Τραϊανού,ΜΑΛΚΟΠΟΥΛΟΥ ΜΟΡΦΩ του Θεοδώρου,ΟΥΣΤΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΧΑΜΑΛΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Κ.Κ.Ε.,ΓΚΑΤΖΙΔΗΣ ΣΤΑΜΑΤΙΟΣ του Χρήστου,ΔΕΥΤΕΡΑΙΟΣ ΣΑΒΒΑΣ του Παναγή,ΜΙΧΑΗΛΙΔΗΣ ΣΙΔΕΡΗΣ του Γεωργίου,ΣΙΣΚΟΥ ΑΝΝΑ- ΜΑΡΙΑ του Ευαγγέλου,ΤΡΕΛΛΗ ΦΑΝΗ του Αποστόλου,ΧΙΩΝΗΣ ΙΩΑΝΝΗΣ του Νικολάου,Ένωση Κεντρώων,ΛΥΣΙΜΑΧΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,ΜΟΥΣΙΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΜΠΑΔΑΝΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΣΑΓΚΟΥΡΗ ΒΑΣΙΛΙΚΗ του Νικολάου,ΧΑΡΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΕΜΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΣΙΝΟΒΑΛΗ ΑΙΚΑΤΕΡΙΝΑ του Δημητρίου,ΛΑΖΟΣ ΒΑΣΙΛΕΙΟΣ του Βασιλείου,ΜΠΟΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΛΕΞΑΝΔΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΗΛΙΑΔΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΚΥΡΟΥ ΜΑΡΙΑ του Παναγιώτη,ΛΑΖΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΟΛΥΜΕΡΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΕΡΜΕΝΤΖΟΓΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΡΚΟΣ ΜΑΡΓΑΡΙΤΗΣ του Δημητρίου,ΚΙΤΣΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ευαγγέλου,ΠΑΠΟΥΛΙΔΟΥ ΕΛΠΙΔΑ του Γεωργίου,ΠΑΥΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΧΙΝΙΔΟΥ ΛΥΓΕΡΗ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΑΛΛΙΑΔΑ ΑΝΘΟΥΛΑ του Ευσταθίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΠΑΧΗ ΣΤΥΛΙΑΝΗ του Λέανδρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΒΡΑΜΙΔΟΥ ΒΑΣΙΛΕΙΑ του Κυριάκου,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΓΑΖΗ ΕΛΕΝΗ του Χρήστου,ΖΕΛΙΑΣΚΟΣ ΙΩΑΝΝΗΣ του Σάββα,ΚΟΣΜΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΑΝΔΡΕΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜέΡΑ25,ΒΑΪΔΟΥ ΑΝΝΑ του Ζήση,ΓΕΡΑΣΙΜΟΥ ΗΛΙΑΣ του Ιωάννη,ΛΟΥΪΖΟΥ ΜΑΡΙΑ ΙΩΑΝΝΑ του Βασιλείου,ΜΗΤΡΙΤΖΙΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΣΗΜΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΙΩΣΗΦΙΔΗΣ ΣΑΒΒΑΣ του Στεφάνου,ΚΑΡΑΜΑΝΙΔΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΟΜΠΑΡΗ ΕΥΑΝΘΙΑ του Ευστρατίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Ζήση
1 - Έβρου,1 E.T. Δήμου Αλεξανδρούπολης,532,320,3,3,6,314,98,34,21,15,40,14,22,108,28,36,48,6,18,24,11,4,5,3,3,3,31,7,17,5,0,8,5,15,1,11,2,2,3,4,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,17,6,0,0,3,7,2,0,0,0,0,0,2,0,0,1,0,1,1,1,21,5,1,6,3,3,0,0,2,0,3,1
1 - Έβρου,2 E.T. Δήμου Αλεξανδρούπολης,560,288,12,1,13,275,86,18,27,5,40,19,22,125,32,55,39,12,24,31,4,2,2,0,1,1,17,7,10,1,1,2,2,5,0,2,2,1,2,1,6,3,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,18,7,2,2,2,7,1,2,0,0,0,0,3,1,0,1,0,0,0,0,5,2,2,0,2,1,0,1,0,0,2,1
1 - Έβρου,3 E.T. Δήμου Αλεξανδρούπολης,551,316,3,3,6,310,94,23,26,9,52,15,16,151,37,67,54,12,32,46,5,0,2,4,0,0,19,3,11,2,1,1,5,9,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,3,2,0,2,0,0,0,0,0,5,0,2,1,2,2,1,1,12,4,2,2,3,4,1,1,2,0,2,1
1 - Έβρου,4 E.T. Δήμου Αλεξανδρούπολης,570,350,7,7,14,336,102,20,13,6,43,23,28,131,26,53,49,9,25,30,4,0,1,1,0,0,23,6,15,1,1,3,2,21,1,11,2,2,4,4,5,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,20,11,2,3,3,7,3,0,0,0,0,0,3,0,0,0,0,0,1,1,14,2,2,3,3,9,0,5,3,1,1,1
1 - Έβρου,5 E.T. Δήμου Αλεξανδρούπολης,539,377,3,3,6,371,103,23,25,4,43,14,20,160,37,58,54,8,30,42,13,5,4,1,2,2,14,0,10,2,0,3,2,18,2,14,0,0,3,5,3,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,29,18,3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,16,5,3,4,4,9,2,3,1,0,3,2
1 - Έβρου,6 E.T. Δήμου Αλεξανδρούπολης,560,314,6,4,10,304,88,17,16,5,41,14,15,134,27,61,42,6,24,39,6,3,2,0,0,0,28,5,14,5,0,3,2,11,1,7,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21,11,6,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,1,1,1,2,0,0,0,0,1,1
1 - Έβρου,7 E.T. Δήμου Αλεξανδρούπολης,548,323,4,2,6,317,115,24,38,7,54,24,22,124,33,49,44,15,25,20,9,5,3,1,1,2,19,5,9,4,1,1,1,14,2,8,4,1,2,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,2,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,3,3,0,1,2,1,3,2
1 - Έβρου,8 E.T. Δήμου Αλεξανδρούπολης,545,362,4,4,8,354,93,27,28,7,44,10,22,156,49,69,54,10,29,28,12,5,1,7,0,3,35,5,20,7,2,5,2,10,0,6,4,3,2,1,6,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,11,3,3,1,9,1,0,0,0,0,0,2,0,0,0,0,1,2,1,11,6,2,1,5,2,1,1,1,1,1,0
1 - Έβρου,9 E.T. Δήμου Αλεξανδρούπολης,557,309,7,4,11,298,81,20,16,1,40,10,15,137,26,50,54,6,29,36,11,2,4,5,2,1,20,2,12,2,1,6,3,12,0,7,3,1,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,10,1,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,1,2,5,1,2,0,0,1,0
1 - Έβρου,10 E.T. Δήμου Αλεξανδρούπολης,547,338,7,4,11,327,99,27,25,13,46,25,27,128,40,58,44,10,22,32,6,1,4,4,2,0,28,5,24,3,2,2,0,18,3,9,2,4,6,0,2,1,0,0,1,1,0,0,2,2,1,1,2,0,0,1,0,1,2,20,8,1,1,3,8,5,0,0,0,0,0,2,1,0,2,1,0,1,0,8,2,1,3,2,6,2,3,3,1,5,0
1 - Έβρου,11 E.T. Δήμου Αλεξανδρούπολης,531,342,4,1,5,337,103,28,21,13,47,18,28,126,34,49,41,5,32,47,11,3,6,2,2,3,29,7,21,5,0,7,5,21,4,11,3,2,4,8,3,0,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,21,10,4,3,2,5,2,0,0,0,0,0,4,0,2,0,0,2,1,0,10,6,0,3,2,4,1,2,1,0,2,1
1 - Έβρου,12 E.T. Δήμου Αλεξανδρούπολης,534,291,4,1,5,286,61,17,8,3,25,8,12,142,33,59,54,15,25,27,11,3,6,4,0,0,26,4,20,4,3,6,3,7,1,4,1,1,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0,1,2,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,18,5,3,3,5,2,1,2,0,0,2,1
1 - Έβρου,13 E.T. Δήμου Αλεξανδρούπολης,563,303,4,3,7,296,79,17,19,3,37,11,16,139,32,47,47,10,21,26,9,2,3,4,1,1,23,3,16,1,2,6,0,6,0,5,0,2,1,1,5,2,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,16,6,1,0,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,10,3,2,3,1,2,0,2,0,0,3,0
1 - Έβρου,14 E.T. Δήμου Αλεξανδρούπολης,554,290,7,3,10,280,83,24,20,1,36,11,16,135,25,65,46,9,28,21,5,2,1,0,0,0,8,1,5,0,0,1,0,12,1,4,4,4,5,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,12,4,2,1,1,6,0,0,0,0,0,0,3,0,0,1,1,1,0,0,15,6,2,4,4,1,0,0,1,0,1,1
1 - Έβρου,15 E.T. Δήμου Αλεξανδρούπολης,559,340,6,4,10,330,91,24,22,8,28,10,15,145,30,62,53,9,34,36,11,5,1,3,0,2,25,3,13,4,3,7,2,12,1,4,3,1,1,1,5,2,1,1,1,2,0,0,6,2,2,1,0,0,0,0,0,0,0,16,6,4,3,1,3,0,0,0,0,0,0,4,1,0,2,1,0,1,0,10,5,2,2,3,3,0,1,1,0,1,0
1 - Έβρου,16 E.T. Δήμου Αλεξανδρούπολης,560,313,0,2,2,311,82,15,27,7,33,12,15,144,33,52,48,10,28,40,8,2,2,2,0,2,13,4,8,1,0,3,0,13,0,12,1,0,2,5,5,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,23,11,2,3,1,3,2,0,0,0,0,0,3,1,1,0,0,0,0,0,11,2,4,1,2,1,1,0,0,0,6,4
1 - Έβρου,17 E.T. Δήμου Αλεξανδρούπολης,530,322,7,0,7,315,109,30,26,9,40,16,18,122,27,43,40,4,30,29,10,5,4,3,2,0,18,6,12,1,3,3,0,7,0,7,0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,14,3,2,1,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,4,2,4,5,3,4,2,1,0,0
