ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΛΑΘΥΡΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΠΕΡΜΠΕΡΗΣ ΜΩΥΣΗΣ του Γεωργίου,ΣΚΟΝΔΡΙΑΝΟΥ ΧΡΥΣΟΥΛΑ του Νικολάου,Νέα Δημοκρατία,ΚΟΝΤΟΓΕΩΡΓΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΛΑΠΠΑΣ ΚΛΕΟΜΕΝΗΣ (ΜΕΝΙΟΣ) του Κωνσταντίνου,ΟΙΚΟΝΟΜΟΥ ΘΩΜΑΪΣ (ΤΖΙΝΑ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΙΩΑΝΝΟΥ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Στεφάνου,ΣΙΑΚΑΒΕΛΑ ΙΩΑΝΝΑ -ΣΜΑΡΑΓΔΑ του Ιωάννη,Κ.Κ.Ε.,ΓΙΑΝΝΟΥΛΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΠΑΡΟΪΔΑΜΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΕΛΠΙΔΑ του Σπύρου,Ένωση Κεντρώων,ΜΠΑΚΑ ΧΡΙΣΤΙΝΑ του Αθανασίου,ΠΑΝΑΓΙΩΤΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,Ελλήνων Συνέλευσις,ΨΩΡΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΤΣΟΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΟΙΚΟΝΟΜΟΥ ΧΡΙΣΤΙΑΝΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΖΗΣΗΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΨΕΥΤΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,Λαϊκή Ενότητα,ΦΑΡΜΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΜέΡΑ25,ΤΡΑΓΟΠΟΥΛΟΣ ΣΠΥΡΟΣ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΝΙΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία
34 - Ευρυτανίας,1 E.T. Δήμου Αγράφων,474,225,4,5,9,216,56,32,2,2,118,71,8,36,2,2,30,2,25,0,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,0
34 - Ευρυτανίας,2 E.T. Δήμου Αγράφων,118,51,1,2,3,48,4,2,0,0,31,24,0,5,1,0,7,0,6,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34 - Ευρυτανίας,3 E.T. Δήμου Αγράφων,359,115,0,0,0,115,19,8,3,5,70,15,2,52,2,0,15,2,6,1,0,0,0,0,2,2,0,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,4 E.T. Δήμου Αγράφων,245,86,1,0,1,85,15,9,3,1,55,22,10,21,0,0,14,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34 - Ευρυτανίας,5 E.T. Δήμου Αγράφων,123,71,0,0,0,71,19,3,8,2,42,10,3,29,0,0,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34 - Ευρυτανίας,6 E.T. Δήμου Αγράφων,78,32,0,0,0,32,5,1,2,1,22,11,0,11,0,0,2,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,7 E.T. Δήμου Αγράφων,181,81,2,0,2,79,28,16,5,1,37,11,0,26,0,0,6,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
34 - Ευρυτανίας,8 E.T. Δήμου Αγράφων,45,23,0,0,0,23,6,4,1,0,15,10,1,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,9 E.T. Δήμου Αγράφων,99,36,0,0,0,36,8,2,4,0,26,15,0,11,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,10 E.T. Δήμου Αγράφων,271,87,1,0,1,86,23,4,6,5,48,29,1,17,5,3,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1
34 - Ευρυτανίας,11 E.T. Δήμου Αγράφων,328,121,0,1,1,120,33,17,6,1,57,26,7,23,0,0,20,7,4,1,3,1,0,1,3,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,12 E.T. Δήμου Αγράφων,255,103,2,0,2,101,21,1,4,3,51,31,2,15,0,0,24,6,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
34 - Ευρυτανίας,13 E.T. Δήμου Αγράφων,230,89,1,0,1,88,29,10,9,0,34,22,0,12,1,1,9,2,5,0,6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,2,2
