ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΚΕΒΡΕΚΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Χαράλαμπου,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΣΕΛΤΣΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΜΙΣΚΑΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΜΠΟΥΤΣΚΟΥ ΛΕΜΟΝΙΑ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Παντελή,ΓΙΑΝΝΑΚΙΔΟΥ ΕΛΕΝΗ του Θεοχάρη,Κίνημα Αλλαγής,ΚΩΣΤΑΡΕΛΛΗΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Δήμου,ΠΙΧΤΡΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΡΕΠΠΑ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ιωάννη,ΣΤΟΪΚΟΥ ΑΦΡΟΔΙΤΗ του Γεωργίου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΚΛΑΔΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΔΗΜΗΤΡΙΟΥ ΛΕΩΝΙΔΑΣ του Σωκράτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΝΑΪΔΟΣ ΝΙΚΟΛΑΟΣ του Λουκά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΣΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ζήση,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΣΕΜΕΡΤΖΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΗΣ ΒΑΣΙΛΕΙΟΣ του Πέτρου,ΚΥΡΑΓΙΑΝΝΗ ΕΛΕΝΗ του Γεωργίου,Λαϊκή Ενότητα,ΠΑΠΑΝΤΩΝΙΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΧΡΗΣΤΟΣ του Αναστασίου,ΚΑΚΑΡΕΤΣΑ ΕΛΕΝΗ του Θεοδώρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΝΙΚΟΛΑΪΔΗΣ ΘΕΟΚΛΗΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
14 - Φλώρινας,1 E.T. Δήμου Αμυνταίου,246,123,2,0,2,121,26,1,2,14,7,66,46,8,0,6,4,2,1,8,0,5,0,0,4,0,2,1,0,1,1,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0
14 - Φλώρινας,2 E.T. Δήμου Αμυνταίου,580,253,7,1,8,245,90,4,2,37,31,93,70,3,5,10,8,2,2,14,4,7,1,0,13,2,6,0,0,1,0,0,0,0,0,0,14,14,0,0,0,0,1,0,3,2,0,0,0,6,3,1,1,0,0,1,0
14 - Φλώρινας,3 E.T. Δήμου Αμυνταίου,585,199,1,1,2,197,82,0,2,38,33,67,52,0,2,11,4,3,0,5,1,1,0,0,16,0,14,0,0,3,1,0,0,0,0,0,11,5,3,1,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,1,1
14 - Φλώρινας,4 E.T. Δήμου Αμυνταίου,428,217,0,2,2,215,90,4,22,35,7,65,47,3,0,7,6,2,1,15,1,9,1,0,9,0,8,0,0,5,3,0,0,0,0,0,9,5,0,0,0,0,0,0,5,0,1,0,0,6,1,0,0,0,0,5,2
14 - Φλώρινας,5 E.T. Δήμου Αμυνταίου,391,202,0,0,0,202,73,6,18,31,7,69,53,1,4,2,8,2,3,10,0,6,1,1,6,1,5,0,0,2,1,0,0,0,0,0,15,6,1,2,2,1,0,0,0,0,0,0,0,15,5,4,0,0,0,2,1
14 - Φλώρινας,6 E.T. Δήμου Αμυνταίου,406,84,3,0,3,81,17,1,1,5,5,46,23,1,3,14,5,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,5,1,2,0,0
14 - Φλώρινας,7 E.T. Δήμου Αμυνταίου,426,102,2,0,2,100,31,1,1,7,15,46,19,1,2,21,3,1,1,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,3,3,0,0,0,3,0,2,0,0,0,0,0
14 - Φλώρινας,8 E.T. Δήμου Αμυνταίου,480,209,6,1,7,202,62,3,11,32,5,76,55,1,3,14,7,4,2,7,2,5,0,0,4,0,0,1,2,2,1,0,0,0,0,0,25,21,1,1,5,0,0,0,1,1,0,0,0,4,2,1,2,1,1,7,5
14 - Φλώρινας,9 E.T. Δήμου Αμυνταίου,372,224,2,0,2,222,43,1,6,24,8,142,99,3,0,31,5,0,3,5,1,2,0,0,5,1,0,0,1,1,0,0,0,0,0,0,13,9,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,1,0,1,1
14 - Φλώρινας,10 E.T. Δήμου Αμυνταίου,451,241,9,2,11,230,89,4,5,37,25,75,52,1,0,20,8,1,2,10,5,2,1,0,4,1,2,0,0,2,0,0,0,0,1,0,23,17,1,1,2,0,0,0,1,0,0,1,0,8,1,5,2,0,0,4,3
14 - Φλώρινας,11 E.T. Δήμου Αμυνταίου,542,199,4,0,4,195,70,3,1,37,14,89,50,4,1,26,9,2,4,7,2,3,0,1,4,1,3,0,0,1,0,0,0,0,1,0,7,5,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0
14 - Φλώρινας,12 E.T. Δήμου Αμυνταίου,507,155,1,1,2,153,47,1,0,19,20,66,36,4,0,18,6,1,2,9,2,2,0,1,1,0,0,0,0,3,1,0,0,0,1,0,5,4,0,1,0,0,0,0,6,6,0,0,0,6,3,0,0,0,0,3,3
14 - Φλώρινας,13 E.T. Δήμου Αμυνταίου,533,297,1,2,3,294,87,5,6,19,29,137,65,5,1,59,12,3,3,12,6,3,0,0,14,1,10,1,1,3,1,0,0,0,0,0,11,7,0,1,0,0,0,0,0,0,0,0,0,13,7,1,3,0,0,2,2
14 - Φλώρινας,14 E.T. Δήμου Αμυνταίου,539,297,4,1,5,292,84,4,7,24,29,133,60,6,1,53,5,2,3,15,5,2,5,2,20,2,12,0,0,2,1,0,0,0,2,0,13,5,1,2,0,0,0,0,3,2,1,0,0,5,0,1,4,0,0,6,2
