ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΙΟΥΛΟΥ ΓΕΩΡΓΙΑ του Λουκά,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,Νέα Δημοκρατία,ΕΥΣΤΑΘΙΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ανδρέα,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΠΑΝΑΚΗ ΒΑΣΙΛΙΚΗ του Λουκά,ΛΕΚΚΟΣ ΕΥΘΥΜΙΟΣ του Νικολάου,Κίνημα Αλλαγής,ΠΑΝΑΓΟΥ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,Κ.Κ.Ε.,ΚΑΡΑΧΑΣΑΝΗ ΑΡΧΟΝΤΙΑ (ΑΝΤΑ) του Βασιλείου,ΠΑΝΑΓΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ένωση Κεντρώων,ΒΑΡΝΑΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΣΑΓΚΟΥΡΗ ΑΘΗΝΑ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΑΓΚΕΛΙΔΟΥ ΕΛΕΝΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΒΑΣΙΛΙΚΗ του Ιωάννη,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΔΕΡΗ ΙΩΑΝΝΑ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΛΛΙΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΜέΡΑ25,ΚΟΥΣΕΛΑ ΧΡΥΣΟΥΛΑ (ΑΡΙΑΔΝΗ) του Ιωάννη,ΚΟΥΤΡΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΜΙΔΑΚΗ ΟΛΓΑ του Γεωργίου
35 - Φωκίδας,1 E.T. Δήμου Δελφών,521,371,8,3,11,360,88,6,42,28,160,13,50,82,13,3,4,18,6,1,9,41,2,28,5,1,0,0,0,0,2,0,0,0,0,0,10,2,3,1,0,0,0,4,1,0,0,15,4,4,1,0,6,4
35 - Φωκίδας,2 E.T. Δήμου Δελφών,517,349,6,4,10,339,99,16,34,27,149,14,35,96,7,4,1,30,1,4,7,21,0,15,1,0,0,0,0,0,1,0,1,0,0,0,15,1,5,1,0,0,0,2,0,0,0,9,4,2,0,0,4,2
35 - Φωκίδας,3 E.T. Δήμου Δελφών,519,359,4,1,5,354,126,11,52,35,134,11,37,77,3,0,2,18,4,1,8,27,0,19,1,4,1,1,0,0,1,1,1,1,0,0,11,6,2,1,1,1,1,1,1,1,0,19,4,7,2,0,4,4
35 - Φωκίδας,4 E.T. Δήμου Δελφών,517,321,4,5,9,312,99,12,54,20,143,21,34,81,3,1,1,19,5,2,7,16,0,8,2,0,0,0,0,0,2,1,2,2,0,0,13,8,0,0,0,0,0,0,0,0,0,10,0,4,0,0,5,3
35 - Φωκίδας,5 E.T. Δήμου Δελφών,556,363,4,2,6,357,125,17,45,37,143,14,44,72,4,1,1,12,0,0,2,21,1,12,2,3,0,1,0,0,1,0,3,3,0,0,20,5,3,0,0,1,0,1,1,0,0,18,0,14,1,0,4,2
35 - Φωκίδας,6 E.T. Δήμου Δελφών,524,360,5,5,10,350,134,13,64,32,117,17,24,69,9,1,2,25,6,2,4,31,1,21,3,3,0,0,0,0,1,1,0,0,0,0,11,6,1,0,0,0,0,1,1,0,0,10,0,4,4,1,4,1
35 - Φωκίδας,7 E.T. Δήμου Δελφών,523,343,4,8,12,331,111,16,48,19,166,17,37,94,3,0,0,10,0,4,1,10,1,3,1,2,1,0,0,0,1,0,1,1,0,0,9,4,2,0,0,0,0,1,1,0,0,15,1,6,1,0,1,0
35 - Φωκίδας,8 E.T. Δήμου Δελφών,523,359,3,4,7,352,108,10,50,24,150,18,28,90,6,2,2,29,14,2,6,29,0,17,3,4,1,0,0,0,1,0,0,0,0,0,8,2,1,1,1,1,0,1,0,1,0,8,1,3,2,0,3,0
35 - Φωκίδας,9 E.T. Δήμου Δελφών,549,342,4,6,10,332,129,12,71,27,113,10,35,57,8,0,4,21,3,2,4,21,2,13,0,0,0,0,0,0,1,0,1,1,0,0,14,6,0,1,1,1,0,1,0,1,1,11,2,7,3,0,6,3
35 - Φωκίδας,10 E.T. Δήμου Δελφών,525,331,7,4,11,320,108,9,48,33,135,17,39,66,6,0,5,8,5,1,1,21,3,13,0,3,1,1,0,0,2,0,1,1,0,0,11,5,4,0,0,0,0,3,1,1,0,17,6,4,0,0,4,1
35 - Φωκίδας,11 E.T. Δήμου Δελφών,552,365,8,2,10,355,104,10,52,19,170,17,52,90,15,6,7,13,5,0,1,22,2,10,0,3,0,0,1,0,1,0,0,0,0,0,7,1,1,0,0,1,1,1,0,0,0,15,0,6,1,0,1,1
35 - Φωκίδας,12 E.T. Δήμου Δελφών,361,188,7,3,10,178,47,15,12,9,97,10,31,51,4,2,2,14,2,3,4,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2,1
35 - Φωκίδας,13 E.T. Δήμου Δελφών,295,163,2,0,2,161,39,15,12,7,69,8,17,40,10,1,5,13,4,0,7,9,2,5,1,1,0,0,0,0,1,1,1,1,0,0,10,6,3,0,0,1,1,0,0,0,0,6,2,2,0,0,1,1
35 - Φωκίδας,14 E.T. Δήμου Δελφών,113,68,1,0,1,67,17,7,7,2,24,1,6,17,2,2,0,3,0,0,1,12,1,5,5,1,1,0,0,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
