ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΛΑΦΑ ΣΟΥΛΤΑΝΑ του Παύλου,ΜΠΓΙΑΛΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Νέα Δημοκρατία,ΚΟΓΙΟΥ - ΧΑΤΖΗΖΗΣΗ ΛΑΜΠΡΙΝΗ του Δημητρίου,ΠΑΤΣΗΣ ΑΝΔΡΕΑΣ του Κωνσταντίνου,ΣΤΑΥΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΟΝΑ ΕΙΡΗΝΗ του Χρήστου,ΤΑΣΟΥΛΑΣ ΔΗΜΗΤΡΙΟΣ του Αχιλλέα,Κίνημα Αλλαγής,ΓΚΑΛΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΤΑΤΑΡΙΔΗΣ ΚΥΡΙΑΚΟΣ του Δαυίδ,ΤΣΙΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Αργυρίου,Κ.Κ.Ε.,ΓΚΟΥΤΖΗΚΩΣΤΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΚΛΕΙΣΙΑΡΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΥΡΜΟΥΛΗΣ ΙΩΑΝΝΗΣ του Μανούσου,Ένωση Κεντρώων,ΜΠΟΥΚΟΥΒΑΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΤΡΙΑΝΤΑΦΥΛΛΙΔΟΥ ΜΑΡΙΑ - ΓΕΩΡΓΙΑ του Ιωάννη,Ο.Κ.Δ.Ε.,ΚΑΛΑΜΠΑΚΑΣ ΑΡΓΥΡΙΟΣ του Πέτρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΑΝΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,Ελλήνων Συνέλευσις,ΒΑΛΣΑΜΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ του Διαμαντή,ΝΑΘΑΝΑΗΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΙΑΝΟΣ ΑΓΓΕΛΟΣ του Χαρίλαου,ΜΠΑΓΛΑΝΗ ΧΑΡΙΚΛΕΙΑ του Βασιλείου,ΣΤΑΥΡΟΥ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΣΙΔΟΥ ΜΑΡΙΑ του Θεοδώρου,Μ-Λ Κ.Κ.Ε.,ΣΤΕΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,Λαϊκή Ενότητα,ΓΚΑΡΑΝΑΤΣΙΟΣ ΧΡΗΣΤΟΣ του Αθανασίου,ΜέΡΑ25,ΚΩΤΤΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΑΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΟΥΛΗ ΑΓΓΕΛΙΚΗ (ΑΝΤΖΕΛΑ) του Αναστασίου,Ανεξάρτητοι Υποψήφιοι,ΣΤΕΡΓΙΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Στεργίου
17 - Γρεβενών,1 E.T. Δήμου Γρεβενών,374,92,2,0,2,90,37,12,3,22,40,6,24,6,1,0,1,4,1,3,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17 - Γρεβενών,2 E.T. Δήμου Γρεβενών,266,113,1,0,1,112,32,12,2,13,58,2,26,28,4,1,3,7,0,5,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4,3,3,2,0,0,0,0
17 - Γρεβενών,3 E.T. Δήμου Γρεβενών,101,26,0,0,0,26,6,0,1,2,12,0,7,5,2,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17 - Γρεβενών,4 E.T. Δήμου Γρεβενών,330,171,2,3,5,166,39,16,10,6,76,13,30,28,7,0,3,17,4,9,1,6,0,3,2,4,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,11,7,1,0,1,0,0,0
17 - Γρεβενών,5 E.T. Δήμου Γρεβενών,135,58,1,1,2,56,17,4,5,5,26,3,5,15,1,0,1,5,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0
17 - Γρεβενών,6 E.T. Δήμου Γρεβενών,226,98,2,0,2,96,35,13,1,13,39,5,17,12,0,0,0,8,2,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0
17 - Γρεβενών,7 E.T. Δήμου Γρεβενών,78,40,0,0,0,40,4,2,0,0,31,4,6,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17 - Γρεβενών,8 E.T. Δήμου Γρεβενών,166,66,0,0,0,66,14,4,2,4,36,3,18,12,1,1,0,5,2,2,0,3,2,1,0,4,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17 - Γρεβενών,9 E.T. Δήμου Γρεβενών,407,222,4,0,4,218,69,13,12,34,107,18,56,27,11,0,10,4,0,3,0,5,0,3,1,3,0,0,0,0,1,0,0,0,0,8,5,1,0,1,0,0,0,0,0,2,1,5,4,2,0,0,0
17 - Γρεβενών,10 E.T. Δήμου Γρεβενών,433,191,1,0,1,190,46,14,6,15,103,16,35,49,7,0,7,8,0,4,0,5,0,0,0,3,1,2,0,0,1,0,0,0,0,7,3,0,2,0,0,0,0,0,0,8,5,0,0,2,1,0,0
17 - Γρεβενών,11 E.T. Δήμου Γρεβενών,264,131,1,3,4,127,26,11,1,11,62,7,10,40,4,2,1,16,3,10,1,10,0,8,0,4,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17 - Γρεβενών,12 E.T. Δήμου Γρεβενών,86,31,0,0,0,31,6,5,0,0,12,8,1,2,2,0,2,8,1,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17 - Γρεβενών,13 E.T. Δήμου Γρεβενών,553,275,0,0,0,275,62,29,5,22,147,17,65,60,5,1,3,35,9,10,10,7,0,1,2,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,3,4,3,4,3,0,0
17 - Γρεβενών,14 E.T. Δήμου Γρεβενών,227,142,0,0,0,142,34,7,2,18,68,8,13,47,6,1,2,17,1,13,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,5,4,3,2,0,0
