ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΤΙΑΝΟΣ ΔΙΟΝΥΣΙΟΣ-ΧΑΡΑΛΑΜΠΟΣ του Χρήστου,ΜΠΑΛΑΟΥΡΑΣ ΓΕΡΑΣΙΜΟΣ (ΜΑΚΗΣ) του Δημητρίου,ΜΠΑΞΕΒΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σόλωνα,ΝΟΤΑΡΑ ΚΑΤΕΡΙΝΑ-ΜΥΡΤΩ του Σταύρου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΤΖΑΜΠΑΖΗ ΜΑΡΙΑ του Ηλία,Νέα Δημοκρατία,ΑΥΓΕΡΙΝΟΠΟΥΛΟΥ ΔΙΟΝΥΣΙΑ-ΘΕΟΔΩΡΑ του Ζήσιμου,ΚΑΣΤΡΙΝΟΣ ΑΛΕΞΙΟΣ του Αθανασίου,ΚΟΝΤΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Θεοδώρου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ (ΝΤΕΝΗ) του Ιωάννη,ΣΤΑΘΟΠΟΥΛΟΥ ΙΩΑΝΝΑ-ΜΑΡΙΑ (ΜΑΡΙΑΝΝΑ) του Κωνσταντίνου,ΤΖΑΒΑΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΡΑΓΩΝΑΣ ΓΕΩΡΓΙΟΣ του Χαραλάμπους,ΚΡΕΣΠΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ του Χρήστου,ΛΑΒΔΑ ΔΙΟΝΥΣΙΑ του Παναγιώτη,ΧΡΙΣΤΟΦΟΡΟΥ ΣΠΥΡΙΔΟΥΛΑ του Αναστασίου,Κίνημα Αλλαγής,ΒΕΡΓΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΓΙΑΤΡΑ ΖΩΗ του Διονυσίου,ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΚΑΤΡΙΝΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΟΤΣΙΦΑΣ ΔΙΟΝΥΣΙΟΣ (ΣΑΚΗΣ) του Κωνσταντίνου,ΚΟΥΤΣΟΥΚΟΣ ΓΙΑΝΝΗΣ του Δημητρίου,ΧΡΟΝΗΣ ΑΡΙΣΤΟΜΕΝΗΣ του Παναγιώτη,Κ.Κ.Ε.,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΤΡΥΦΩΝ του Δημητρίου,ΓΙΑΝΝΑΡΟΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΓΙΑΝΝΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημοσθένη,ΚΑΡΑΠΑΝΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΞΕΝΟΣΤΑΘΗ ΑΘΑΝΑΣΙΑ (ΣΙΑ) του Ηλία,ΠΑΝΑΓΙΩΤΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Νικολάου,ΤΣΑΣΗ ΖΩΙΤΣΑ (ΖΩΗ) του Νικολάου,Ένωση Κεντρώων,ΔΗΛΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΔΟΥΔΟΥΞΗΣ ΔΗΜΗΤΡΗΣ του Σταμάτη,ΜΑΥΡΙΔΟΥ ΠΑΡΘΕΝΑ του Ξενοφώντος,ΠΑΝΑΓΟΠΟΥΛΟΥ-ΠΕΤΡΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΣΤΑΜΑΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΤΣΑΜΠΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΣΟΥΜΑ ΣΩΤΗΡΙΑ του Βασιλείου,Ο.Κ.Δ.Ε.,ΤΣΙΑΝΤΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΧΟΥΡΟΥ ΒΑΣΙΛΙΚΗ του Θεοδώρου,ΣΑΜΑΡΑΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΒΡΥΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΖΑΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΠΑΛΑΣΚΑ ΧΑΡΑΛΑΜΠΙΑ του Διονυσίου,ΠΑΠΑΔΑΤΟΥ-ΛΙΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Διονυσίου,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Αγγελή,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΦΩΤΙΟΣ του Νικολάου,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Δημητρίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΚΑΝΕΛΛΑ του Σωτηρίου,ΤΑΚΟΥΜΑΚΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ του Παναγιώτη,ΦΡΑΓΚΟΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΙΚΟΓΙΑΝΝΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΖΟΥΛΟΥΜΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΚΟΥΦΟΠΑΝΤΕΛΗΣ ΜΑΡΙΝΟΣ του Παντελή,Μ-Λ Κ.Κ.Ε.,ΣΟΦΗ ΠΑΡΑΣΚΕΥΟΥΛΑ του Δημητρίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΡΑΓΙΑΝΝΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου,Λαϊκή Ενότητα,ΒΑΜΒΑΚΑ ΠΑΝΑΓΙΩΤΑ του Κωνσταντίνου,ΚΑΡΑΜΑΝΗ ΕΛΕΝΗ του Αθανασίου,ΚΟΥΗΣ ΧΡΗΣΤΟΣ-ΧΡΥΣΟΣΤΟΜΟΣ του Διονυσίου,ΠΑΠΙΩΤΗΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΜέΡΑ25,ΚΑΝΕΛΛΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Διονυσίου,ΜΗΤΣΟΠΟΥΛΟΥ ΙΩΑΝΝΑ-ΦΩΤΕΙΝΗ του Γεωργίου,ΡΑΜΜΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΑΣΣΑΛΟΥ ΕΥΓΕΝΙΑ του Ανδρέα,ΦΩΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΚΙΑΤΑ ΜΑΡΙΑ του Γεωργίου,ΚΑΤΣΙΚΑΔΑΚΟΥ ΙΟΥΛΙΑ του Βασιλείου,ΜΗΤΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΣΑΤΣΑΡΗΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΟΥΝΙΑΣ ΓΕΩΡΓΙΟΣ του Ανδρέα
32 - Ηλείας,1 E.T. Δήμου Ανδραβίδας - Κυλλήνης,525,316,4,4,8,308,77,16,19,3,6,31,6,11,139,30,63,31,68,6,2,23,17,7,5,2,5,2,36,3,4,2,9,5,24,2,6,1,1,0,1,1,2,0,3,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,8,0,4,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,10,3,3,0,0,6,1,0,0,0,0,0,8,4
32 - Ηλείας,2 E.T. Δήμου Ανδραβίδας - Κυλλήνης,544,262,3,3,6,256,86,27,25,8,13,26,1,2,91,35,39,13,32,4,3,17,12,2,5,0,2,4,40,2,2,1,7,3,29,3,6,0,2,0,1,1,0,4,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,1,1,0,0,0,0,0,7,3
32 - Ηλείας,3 E.T. Δήμου Ανδραβίδας - Κυλλήνης,523,281,5,1,6,275,97,16,39,9,10,38,6,2,96,28,36,16,26,4,2,13,7,2,2,1,1,0,42,1,1,1,14,4,23,7,7,0,2,1,1,1,1,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,6,2,0,0,1,1,3,0,0,0,0,0,3,0
32 - Ηλείας,4 E.T. Δήμου Ανδραβίδας - Κυλλήνης,522,300,6,4,10,290,110,31,28,17,13,44,7,9,88,27,44,11,51,4,5,20,6,1,3,1,0,0,55,1,3,3,12,10,36,7,8,2,3,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,3,2,3,1,1,0,0,0,3,1
32 - Ηλείας,5 E.T. Δήμου Ανδραβίδας - Κυλλήνης,529,299,4,2,6,293,94,19,29,9,10,28,8,4,102,28,45,21,19,3,0,30,10,3,3,1,1,1,47,4,5,0,9,9,35,3,13,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,10,2,3,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,2,0,1,0,2,0,0,0,0,0,5,2
32 - Ηλείας,6 E.T. Δήμου Ανδραβίδας - Κυλλήνης,541,336,5,2,7,329,102,25,32,10,13,30,8,6,137,42,74,24,40,5,3,51,8,2,2,1,0,1,50,5,4,2,18,6,29,4,8,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,2,0,0,0,0,0,0,2,1,1,1,1,0,0,5,1,1,0,2,0,3,2,1,0,0,0,6,3
32 - Ηλείας,7 E.T. Δήμου Ανδραβίδας - Κυλλήνης,94,63,1,0,1,62,14,0,6,0,2,5,1,0,36,7,24,2,9,0,1,10,5,0,0,0,3,1,4,0,0,0,1,0,3,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32 - Ηλείας,8 E.T. Δήμου Ανδραβίδας - Κυλλήνης,237,147,1,1,2,145,44,4,21,7,8,16,9,1,63,6,25,15,40,0,1,16,1,0,0,0,1,1,16,0,0,1,6,1,13,1,14,3,2,2,6,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
32 - Ηλείας,9 E.T. Δήμου Ανδραβίδας - Κυλλήνης,370,234,6,1,7,227,48,15,19,3,11,11,7,2,94,30,29,16,36,10,2,24,9,5,1,4,0,3,58,4,5,1,39,11,28,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,4,2
32 - Ηλείας,10 E.T. Δήμου Ανδραβίδας - Κυλλήνης,344,188,1,1,2,186,48,23,5,0,3,14,1,3,64,15,30,11,34,2,1,8,9,2,1,1,2,2,53,0,9,0,21,22,22,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0
32 - Ηλείας,11 E.T. Δήμου Ανδραβίδας - Κυλλήνης,541,335,1,1,2,333,95,39,26,8,21,15,10,9,130,36,40,39,49,8,1,41,8,3,1,1,4,3,49,3,1,7,29,6,22,5,8,1,5,0,0,1,0,5,3,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,17,3,5,2,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,14,4,5,1,3,0,0,0,0,0,0,0,6,5
32 - Ηλείας,12 E.T. Δήμου Ανδραβίδας - Κυλλήνης,530,335,4,4,8,327,112,29,35,8,22,18,7,8,114,25,44,6,53,5,3,29,5,1,1,0,1,0,66,6,10,10,42,12,15,1,5,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,2,1,0,1,2,1,0,0,0,0,5,4
32 - Ηλείας,13 E.T. Δήμου Ανδραβίδας - Κυλλήνης,532,299,3,1,4,295,86,26,35,10,13,19,3,5,107,25,36,24,38,3,6,40,9,2,2,0,3,3,65,4,3,6,40,13,23,2,5,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,0,1,0,1,0,0,0,0,0,7,0
32 - Ηλείας,14 E.T. Δήμου Ανδραβίδας - Κυλλήνης,569,326,1,2,3,323,111,28,31,14,12,29,11,7,132,43,44,36,42,7,7,31,6,3,2,1,0,0,42,4,3,4,27,7,13,0,8,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,5,0,0,1,2,0,0,0,0,0,0,5,0
32 - Ηλείας,15 E.T. Δήμου Ανδραβίδας - Κυλλήνης,557,320,2,0,2,318,104,27,37,8,15,13,2,11,112,31,30,33,48,6,4,28,4,0,1,1,1,0,53,6,6,8,31,28,20,2,23,6,3,3,2,2,3,3,3,1,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,4,0,0,1,0,1,0,0,0,0,0,3,2
32 - Ηλείας,16 E.T. Δήμου Ανδραβίδας - Κυλλήνης,417,225,1,0,1,224,94,34,33,5,17,24,8,8,70,21,20,26,24,5,5,9,6,1,0,1,1,1,36,3,1,0,28,5,12,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,3,3
32 - Ηλείας,17 E.T. Δήμου Ανδραβίδας - Κυλλήνης,402,239,1,0,1,238,91,48,33,2,0,7,3,8,64,30,20,9,10,7,2,19,3,0,0,1,1,0,62,3,4,4,13,20,32,3,3,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0
32 - Ηλείας,18 E.T. Δήμου Ανδραβίδας - Κυλλήνης,208,135,1,0,1,134,47,16,18,5,3,7,1,5,52,7,18,18,17,0,0,10,1,0,0,0,0,0,22,6,5,2,10,4,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
