ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΤΩΝΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΚΑΛΠΑΚΗΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΣΑΡΛΙΔΟΥ ΕΥΦΡΟΣΥΝΗ (ΦΡΟΣΩ) του Γεωργίου,ΟΥΡΣΟΥΖΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΠΑΠΑΓΙΑΝΝΟΥΛΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Θεοδώρου,ΤΟΛΚΑΣ ΑΓΓΕΛΟΣ του Χαράλαμπου,Νέα Δημοκρατία,ΒΕΣΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Φωτίου,ΒΛΑΧΟΓΙΑΝΝΗ ΙΦΙΓΕΝΕΙΑ του Γεωργίου,ΚΑΡΑΤΖΙΟΥΛΑ ΝΙΚΗ του Κωνσταντίνου,ΚΟΥΤΣΟΥΠΙΑΣ ΦΩΤΙΟΣ του Δημητρίου,ΜΠΑΡΤΖΩΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Στέργιου,ΤΣΑΒΔΑΡΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΑΚΟΒΙΤΗΣ ΕΜΜΑΝΟΥΗΛ του Βασιλείου,ΕΥΤΗΡΙΑΔΟΥ ΑΝΝΑ του Παύλου,ΘΕΟΔΩΡΟΥ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΕΪΣΙΔΟΥ ΟΛΥΜΠΙΑ του Αντωνίου,ΠΛΑΣΤΑΡΑΣ ΙΩΑΝΝΗΣ του Θωμά,ΤΣΑΚΙΡΗΣ ΜΙΧΑΗΛ του Νικολάου,Κίνημα Αλλαγής,ΓΚΙΟΝΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Ηρακλή,ΜΠΡΟΥΣΚΕΛΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΘΕΟΔΩΡΟΣ του Χρήστου,ΣΑΒΒΙΔΟΥ ΕΙΡΗΝΗ του Ιωάννη,ΤΟΡΟΡΗ ΜΑΡΙΑ του Κωνσταντίνου,ΧΑΤΖΗΑΘΑΝΑΣΙΟΥ ΤΗΛΕΜΑΧΟΣ του Βασιλείου,Κ.Κ.Ε.,ΔΙΑΚΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,ΙΑΚΩΒΙΔΗΣ ΗΛΙΑΣ του Κωνσταντίνου,ΣΟΦΡΟΝΩΦ - ΤΑΜΠΑΚΗ ΙΩΑΝΝΑ του Ελευθέριου,ΤΣΙΟΥΛΑΚΟΣ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Ιωάννη,ΤΣΟΥΚΑΛΑΣ ΘΩΜΑΣ του Παύλου,ΧΑΤΖΗΘΕΟΔΩΡΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΟΥΛΑ) του Μιχαήλ,Ένωση Κεντρώων,ΑΚΕΨΩΜΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,ΒΕΤΣΟΣ ΑΝΔΡΕΑΣ του Νικολάου,ΓΑΛΛΟΥ ΙΩΑΝΝΑ του Αδάμ,ΔΙΜΠΑΛΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΑΠΑΔΗΜΗΤΡΟΠΟΥΛΟΥ ΘΕΟΔΩΡΑ του Αριστείδη,Ο.Κ.Δ.Ε.,ΛΑΧΑΝΗΣ ΤΗΛΕΜΑΧΟΣ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΠΑΧΡΥΣΟΣΤΟΜΙΔΗΣ ΛΑΖΑΡΟΣ του Μιχαήλ,ΤΣΙΑΝΟΥ ΜΑΡΙΑΝΑ του Αντωνίου,Ελλήνων Συνέλευσις,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΖΑΤΙΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΡΟΪΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΣΠΥΡΙΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ανέστη,ΤΣΑΠΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ (ΚΑΡΟΛΙΝΑ) του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΓΙΑΝΝΗ ΑΝΤΩΝΙΑ του Περικλή,ΜΟΥΡΑΤΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΜΠΑΝΤΩΛΑΣ ΑΠΟΣΤΟΛΟΣ-ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΤΡΕΜΠΕΛΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΤΣΑΝΤΕΚΙΔΗΣ ΜΙΧΑΗΛ του Σταύρου,ΨΑΘΑΣ ΣΩΤΗΡΙΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΩΡΑΪΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΧΑΤΖΗΘΕΟΔΩΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΣΛΑΝΙΔΟΥ ΜΙΛΕΝΑ του Αλέξιου,ΚΑΛΟΣΤΕΦΑΝΟΣ ΘΕΟΔΩΡΟΣ του Χρήστου,ΠΛΙΑΚΟΥ ΔΕΣΠΟΙΝΑ του Ζαφειρίου,ΧΑΤΖΗΠΑΡΑΣΚΕΥΑΣ ΓΕΩΡΓΙΟΣ του Φιλίππου,Λαϊκή Ενότητα,ΚΙΟΣΕΟΓΛΟΥ ΕΛΕΥΘΕΡΙΟΣ του Γεωργίου,ΚΟΥΦΑΚΗ ΑΘΗΝΑ του Νικολάου,ΟΡΦΑΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΜέΡΑ25,ΟΡΦΑΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΤΟΡΝΑΖΑΚΗ ΑΘΗΝΑ του Αριστείδη,ΧΡΗΣΤΟΥ ΠΑΣΧΑΛΙΝΗ (ΛΙΝΑ) του Θεόδωρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΡΒΑΝΙΤΗΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΝΤΣΑΔΟΥ ΕΥΘΥΜΙΑ του Βλαδίμηρου,ΜΠΟΥΡΑΖΑΝΗ ΙΩΑΝΝΑ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΡΟΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωακείμ
12 - Ημαθίας,1 E.T. Δήμου Αλεξανδρείας,542,297,2,1,3,294,85,53,5,27,6,8,13,110,68,4,20,11,35,25,9,3,1,0,1,1,2,30,21,17,0,1,0,0,12,1,3,5,3,1,2,4,1,1,1,0,0,0,0,1,0,1,0,3,0,0,3,0,2,20,5,3,10,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,14,3,2,9,0,1,1,1,0,0,4,2
12 - Ημαθίας,2 E.T. Δήμου Αλεξανδρείας,566,343,3,4,7,336,88,50,5,28,8,8,20,134,85,6,22,12,47,25,9,4,1,0,1,4,1,27,12,11,0,1,0,1,16,4,8,1,0,2,3,8,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,7,3,6,3,2,4,1,0,0,0,5,1,0,0,1,0,0,0,0,21,0,1,15,2,2,0,0,1,1,7,6
12 - Ημαθίας,3 E.T. Δήμου Αλεξανδρείας,529,349,6,3,9,340,95,60,3,16,6,3,25,135,91,5,17,7,59,22,12,3,4,1,2,1,1,34,15,18,0,1,1,3,16,2,11,4,1,0,0,7,2,1,2,2,0,0,0,0,0,0,0,3,1,0,2,0,1,13,7,4,5,3,2,1,1,0,1,0,2,1,1,0,0,0,0,0,0,10,1,1,7,2,3,1,1,0,0,8,0
12 - Ημαθίας,4 E.T. Δήμου Αλεξανδρείας,535,265,5,1,6,259,68,35,2,15,5,8,23,116,65,7,30,7,48,21,10,5,3,0,1,0,2,31,20,10,1,1,4,0,4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,1,9,5,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,6,0,3,2,2,0,0,1,0
12 - Ημαθίας,5 E.T. Δήμου Αλεξανδρείας,562,273,4,1,5,268,89,52,6,29,6,7,12,104,70,6,14,2,41,25,9,3,2,1,3,3,0,28,18,12,0,2,1,0,10,0,7,2,1,2,3,3,1,0,1,0,1,0,0,1,0,0,0,3,0,0,2,0,1,6,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,10,2,2,8,1,2,0,0,2,1,1,1
12 - Ημαθίας,6 E.T. Δήμου Αλεξανδρείας,530,332,3,2,5,327,89,54,9,21,4,4,27,135,75,5,28,10,48,34,15,3,3,1,3,4,4,23,12,22,1,0,3,0,18,3,12,2,1,2,4,3,1,0,0,1,0,0,0,3,2,0,2,6,1,0,6,0,3,15,6,2,5,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,2,5,2,2,0,0,1,1,6,3
12 - Ημαθίας,7 E.T. Δήμου Αλεξανδρείας,549,267,10,2,12,255,82,39,3,17,5,6,12,97,66,1,25,3,30,17,14,5,1,0,2,0,0,24,17,14,0,0,0,0,11,0,7,6,0,3,0,4,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,9,2,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,3,0,0,1,1,3,0
12 - Ημαθίας,8 E.T. Δήμου Αλεξανδρείας,531,326,0,1,1,325,102,57,9,23,6,7,26,114,60,4,28,17,41,26,14,3,2,5,1,3,1,32,18,18,0,2,4,3,13,0,9,2,0,1,2,9,1,0,4,1,2,0,0,0,0,0,0,3,1,0,2,0,3,18,4,6,7,3,1,2,0,0,0,0,2,1,2,0,0,0,0,0,0,10,3,3,6,2,4,1,0,2,1,4,1
12 - Ημαθίας,9 E.T. Δήμου Αλεξανδρείας,529,313,3,2,5,308,80,55,5,16,4,7,22,127,92,2,17,5,48,29,19,5,5,2,2,6,1,24,10,23,0,1,2,1,8,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,1,22,11,4,12,4,1,1,0,0,0,0,3,2,1,2,1,1,0,0,0,10,0,0,6,2,5,3,1,2,2,6,4
12 - Ημαθίας,10 E.T. Δήμου Αλεξανδρείας,530,222,3,2,5,217,77,40,11,20,5,4,15,82,60,0,12,5,27,16,4,2,1,0,0,0,0,20,7,17,0,2,0,0,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,2,4,6,2,1,2,0,0,0,0,2,1,1,0,0,1,0,0,0,8,2,0,6,1,2,1,0,0,0,2,1
12 - Ημαθίας,11 E.T. Δήμου Αλεξανδρείας,530,301,1,7,8,293,83,37,3,22,2,8,15,118,81,7,14,9,43,21,13,4,5,3,2,1,4,47,23,34,2,2,1,4,7,1,3,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,10,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,5,2,0,0,0,0,0,2,1
12 - Ημαθίας,12 E.T. Δήμου Αλεξανδρείας,551,302,2,1,3,299,89,49,4,18,6,3,28,95,58,4,18,3,51,13,9,4,4,1,3,1,2,50,31,32,1,3,1,1,16,1,8,9,1,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,1,3,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,10,0,1,5,0,2,0,0,1,1,4,2
12 - Ημαθίας,13 E.T. Δήμου Αλεξανδρείας,543,313,4,4,8,305,87,34,11,25,3,7,18,136,92,8,29,4,39,32,7,0,0,0,0,0,3,31,13,24,0,2,2,3,9,0,5,0,1,0,1,2,2,1,0,0,0,1,0,2,1,0,0,2,0,0,2,1,1,14,4,1,3,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,3,0,2,0,0,0,0,4,2
12 - Ημαθίας,14 E.T. Δήμου Αλεξανδρείας,564,372,6,3,9,363,89,48,7,29,8,8,29,140,99,3,28,18,55,28,20,7,1,5,5,3,2,38,26,23,3,0,3,2,21,2,11,4,0,1,6,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,23,8,6,5,3,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,19,1,4,14,1,2,0,0,1,1,5,2
12 - Ημαθίας,15 E.T. Δήμου Αλεξανδρείας,528,329,6,0,6,323,81,42,9,21,7,8,25,129,85,5,33,15,50,21,11,2,3,2,1,3,3,32,14,25,0,1,2,2,11,1,4,2,1,2,1,4,3,0,1,0,2,1,0,3,0,1,0,4,1,0,4,0,2,21,12,4,10,3,2,1,0,0,1,1,1,1,1,0,0,1,0,0,0,14,3,2,3,2,4,3,1,1,2,5,2
12 - Ημαθίας,16 E.T. Δήμου Αλεξανδρείας,533,282,0,4,4,278,96,47,6,26,5,3,31,92,61,2,20,6,27,18,7,4,3,0,2,1,1,26,8,18,0,0,1,3,18,1,12,8,0,2,2,4,1,0,1,0,2,0,0,1,0,1,1,2,0,0,1,1,1,15,7,0,3,5,2,2,1,1,0,0,0,0,0,0,0,1,1,0,1,6,0,0,4,1,2,1,1,1,1,7,2
12 - Ημαθίας,17 E.T. Δήμου Αλεξανδρείας,531,263,8,3,11,252,97,55,12,16,9,7,18,78,45,2,10,5,34,14,7,4,3,1,0,0,1,24,11,14,0,1,2,1,10,0,8,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,0,0,10,2,1,2,1,2,0,0,0,0,0,2,0,1,0,1,1,0,1,0,12,0,1,5,1,1,0,0,1,0,5,0
12 - Ημαθίας,18 E.T. Δήμου Αλεξανδρείας,537,296,2,0,2,294,90,10,8,18,7,5,25,115,70,3,14,6,47,27,17,3,2,2,3,4,3,32,16,23,0,2,0,0,8,0,6,2,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19,6,4,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6,1,0,0,0,0,0,2,0
12 - Ημαθίας,19 E.T. Δήμου Αλεξανδρείας,542,332,3,0,3,329,105,56,9,24,8,8,24,106,53,3,22,7,43,17,18,6,3,2,1,2,10,38,21,27,2,0,0,0,9,1,7,2,0,1,1,11,3,2,0,0,3,0,0,1,1,0,0,1,1,0,1,0,0,14,5,5,2,2,3,2,1,0,1,1,1,0,0,0,0,3,2,1,0,14,3,0,7,1,3,1,0,0,0,3,1
12 - Ημαθίας,20 E.T. Δήμου Αλεξανδρείας,429,266,5,0,5,261,84,51,3,15,1,6,23,107,78,1,19,7,31,33,15,5,4,1,3,2,3,24,10,20,1,0,1,0,2,0,0,1,0,0,1,4,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,10,4,2,4,2,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,8,3,2,1,1,2,0,0,0,0,2,0
12 - Ημαθίας,21 E.T. Δήμου Αλεξανδρείας,487,312,9,0,9,303,111,64,5,24,4,10,14,109,67,1,17,6,55,22,15,6,3,2,1,1,2,29,13,24,0,1,3,2,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,7,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,0,3,1,0,0,0,5,2
12 - Ημαθίας,22 E.T. Δήμου Αλεξανδρείας,350,244,5,0,5,239,49,22,9,9,2,5,17,97,61,7,13,1,54,19,5,1,0,1,0,0,0,48,28,37,4,3,1,6,2,0,1,0,0,0,0,6,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,20,4,4,10,1,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,3,1,3,1,0,0,0,2,2
12 - Ημαθίας,23 E.T. Δήμου Αλεξανδρείας,435,292,1,2,3,289,81,25,12,20,6,6,27,123,74,6,17,5,55,20,9,1,2,0,2,2,1,41,27,25,1,0,3,4,5,0,3,3,1,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,7,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,1,2,2,1,0,0,1,1,1,1
12 - Ημαθίας,24 E.T. Δήμου Αλεξανδρείας,423,281,2,4,6,275,69,44,5,14,6,3,28,111,73,1,19,6,24,40,13,8,1,2,2,4,2,39,20,33,1,0,6,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,3,20,5,4,10,7,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,5,1,2,0,0,1,1,3,1
12 - Ημαθίας,25 E.T. Δήμου Αλεξανδρείας,381,264,1,1,2,262,54,23,7,13,3,4,15,87,49,5,14,16,24,30,16,8,3,0,2,4,2,76,69,10,0,3,2,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,7,3,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,5,1,1,1,1,1,1,0,0,0,1,0
12 - Ημαθίας,26 E.T. Δήμου Αλεξανδρείας,390,225,2,0,2,223,62,33,11,8,2,0,12,56,31,1,6,5,13,24,10,1,0,1,1,2,1,72,64,12,1,3,0,1,5,0,4,2,1,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,4,2
12 - Ημαθίας,27 E.T. Δήμου Αλεξανδρείας,376,265,2,3,5,260,78,35,16,11,3,6,26,105,50,3,17,2,44,41,4,0,0,0,1,2,1,28,20,15,1,0,1,5,4,0,2,3,0,1,2,5,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,21,5,3,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,5,2,2,1,1,1,0,2,1
12 - Ημαθίας,28 E.T. Δήμου Αλεξανδρείας,467,314,5,1,6,308,80,47,12,20,5,4,21,122,67,2,31,18,38,39,8,3,1,0,0,4,0,46,27,20,3,4,2,6,11,0,7,5,0,1,0,8,1,3,0,2,2,0,0,3,1,1,0,1,0,0,1,0,0,12,2,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,3,1,1,2,2,5,2
12 - Ημαθίας,29 E.T. Δήμου Αλεξανδρείας,447,291,1,0,1,290,53,20,3,11,2,3,12,146,63,4,19,5,26,89,22,9,1,0,1,5,2,27,19,10,0,3,0,4,4,1,1,2,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,3,1,0,2,0,1,16,5,5,4,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,11,2,2,3,3,0,0,0,0,0,3,1
12 - Ημαθίας,30 E.T. Δήμου Αλεξανδρείας,464,324,4,4,8,316,47,18,5,10,1,4,17,190,79,3,35,2,20,128,18,11,3,3,5,1,3,15,7,8,1,1,1,0,4,0,1,1,0,0,2,3,0,0,1,0,1,0,0,2,1,1,1,3,0,0,3,0,2,13,3,1,6,0,4,0,0,0,0,0,3,2,0,1,0,0,0,0,0,9,4,2,2,2,1,0,0,0,0,8,2
12 - Ημαθίας,31 E.T. Δήμου Αλεξανδρείας,451,296,2,6,8,288,56,24,9,15,6,6,17,139,65,3,10,1,23,94,15,8,1,2,3,1,1,38,12,29,0,3,0,4,1,0,0,0,0,0,0,5,4,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,19,7,1,4,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,4,2,2,0,0,2,1,0,2,1,4,3
