ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΛΙΦΙΕΡΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΑΥΓΟΥΣΤΑΚΗ ΕΛΕΝΗ του Μύρωνα,ΒΑΡΔΑΚΗΣ ΣΩΚΡΑΤΗΣ του Δημητρίου,ΔΑΝΕΛΛΗΣ ΣΠΥΡΙΔΩΝ του Αθανασίου,ΔΟΥΛΓΕΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΗΓΟΥΜΕΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΚΑΜΠΟΥΡΑΚΗ ΧΡΥΣΑΝΘΗ του Αντωνίου,ΛΕΝΑΚΑΚΗ ΣΤΥΛΙΑΝΗ του Νικολάου,ΜΑΜΟΥΛΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΧΑΡΗΣ) του Αντωνίου,ΜΙΧΕΛΟΓΙΑΝΝΑΚΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΣΜΠΩΚΟΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,Νέα Δημοκρατία,ΑΥΓΕΝΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Κωνσταντίνου,ΒΡΕΝΤΖΟΥ-ΣΚΟΡΔΑΛΑΚΗ ΘΕΑΝΩ του Εμμανουήλ,ΜΑΤΑΛΛΙΩΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΑΣΠΑΤΗΣ ΓΡΗΓΟΡΙΟΣ του Αλεξάνδρου,ΡΟΚΑΔΑΚΗΣ ΓΡΗΓΟΡΙΟΣ του Εμμανουήλ,ΣΕΝΕΤΑΚΗΣ ΜΑΞΙΜΟΣ του Γεωργίου,ΣΗΜΑΙΑΚΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΑ) του Γεωργίου,ΣΤΡΑΤΑΚΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΣΦΑΚΙΑΝΑΚΗ ΝΙΚΟΛΕΤΑ του Μιχαήλ,ΤΖΩΡΤΖΟΓΛΟΥ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΤΣΑΝΤΗΡΑΚΗ-ΑΝΑΣΤΑΣΑΚΗ ΕΛΕΝΗ του Στυλιανού,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΑΚΗΣ ΝΕΚΤΑΡΙΟΣ του Ελευθερίου,ΑΝΑΣΤΑΣΑΚΗ ΜΑΡΙΑ του Δημητρίου,ΒΛΑΧΑΒΑΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΑΤΕΡΑΚΗ ΜΑΡΙΑ του Ευαγγέλου,ΠΛΟΥΜΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΣΤΕΦΑΝΟΠΟΥΛΟΥ ΖΑΧΑΡΟΥΛΑ του Ιωάννη,ΣΤΡΑΤΙΔΑΚΗΣ ΝΙΚΟΛΑΟΣ του Αλέξανδρου,Κίνημα Αλλαγής,ΓΕΝΝΗΜΑΤΑ ΦΩΤΕΙΝΗ (ΦΩΦΗ) του Γεωργίου,ΑΡΒΑΝΙΤΑΚΗΣ ΠΑΝΤΕΛΕΗΜΩΝ του Μιχαήλ,ΒΑΤΣΙΝΑ ΕΛΕΝΗ του Φανουρίου,ΓΙΑΝΝΑΡΗ ΙΩΑΝΝΑ του Γεωργίου,ΚΑΛΟΥΔΑΚΗΣ ΣΤΑΥΡΟΣ του Νικολάου,ΚΕΓΚΕΡΟΓΛΟΥ ΒΑΣΙΛΕΙΟΣ του Αλέξανδρου,ΜΠΡΙΜΗΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Μηνά,ΣΤΑΘΟΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Στεφάνου,ΣΤΡΑΤΑΚΗΣ ΧΡΗΣΤΟΣ του Εμμανουήλ,ΧΑΤΖΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε.,ΑΝΑΣΤΑΣΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΑΝΔΡΟΥΛΑΚΗ ΚΡΥΣΤΑΛΕΝΙΑ (ΛΙΝΑ) του Ιωάννη,ΓΩΝΙΑΝΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΑΡΚΑΒΑΤΣΟΣ ΕΜΜΑΝΟΥΗΛ του Στυλιανού,ΚΟΚΟΣΑΛΗ - ΣΑΛΟΥΣΤΡΟΥ ΜΑΡΙΑ του Ζαχαρία,ΠΑΤΕΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΠΟΘΗΤΟΥ ΙΩΑΝΝΑ του Γεωργίου,ΣΑΛΟΥΣΤΡΟΣ ΔΗΜΟΚΡΙΤΟΣ του Εμμανουήλ,ΣΚΕΠΑΡΝΗΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΣΥΝΤΥΧΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του ΔΑΝΙΗΛ,ΣΦΑΚΙΑΝΑΚΗΣ ΜΙΧΑΗΛ του Αντωνίου,Ένωση Κεντρώων,ΑΓΓΕΛΙΔΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Χαράλαμπου,ΒΟΥΒΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΙΑΝΝΑΔΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Σωτηρίου,ΚΑΦΑΝΤΑΡΗ ΙΟΥΛΙΑ του Κωνσταντίνου,ΚΟΝΤΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΕΒΕΝΤΗ-ΜΕΝΤΕΣΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΤΖΑΓΚΑΡΑΚΗ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Γεωργίου,ΤΖΩΡΤΖΑΚΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΦΡΑΓΚΙΑΔΑΚΗ ΕΙΡΗΝΗ του Νικολάου,Ο.Κ.Δ.Ε.,ΦΟΥΦΟΥΔΑΚΗΣ ΙΩΑΝΝΗΣ του Παντελή,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΩΝΙΟΥ ΑΝΤΩΝΙΑ του Χρήστου,ΒΑΛΑΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΒΛΑΧΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΓΚΟΥΒΑΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΔΕΣΗ-ΛΟΥΚΑ ΧΡΙΣΤΙΝΗ του Αλέξανδρου,ΚΤΙΣΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ευαγγέλου,ΧΑΡΑΛΑΜΠΑΚΗ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΧΑΡΙΤΟΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,Ελλήνων Συνέλευσις,ΒΑΜΒΟΥΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΚΑΠΝΙΣΤΟΥ ΑΝΤΩΝΙΑ του Κωνσταντίνου,ΚΟΚΟΣΑΛΗ ΑΝΝΑ ΜΑΡΙΑ του Μιχαήλ,ΛΙΑΝΟΥ ΚΑΛΛΙΟΠΗ του Αντωνίου,ΜΑΡΚΟΥΛΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΜΟΥΛΑΚΑΚΗΣ ΦΩΤΙΟΣ του Κωνσταντίνου,ΠΑΣΧΑΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΣΦΑΚΙΑΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΚΟΖΥΡΑΚΗ ΕΙΡΗΝΗ του Φραγκίσκου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΑΥΓΙΩΤΑΚΗΣ ΜΙΧΑΗΛ του Ευαγγέλου,ΓΚΟΤΖΟΓΙΑΝΝΗ ΜΑΡΘΑ του Ιωάννη,ΚΑΜΑ ΘΩΜΑΗ του Παναγιώτη,ΛΥΚΑΚΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΜΠΑΛΤΖΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΜΥΛΩΝΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Ηλία,ΠΑΛΑΜΙΑΝΑΚΗ ΕΛΕΝΗ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΥ - ΙΩΣΗΦΙΔΟΥ ΑΝΝΑ του Ιωάννη,ΡΟΜΠΟΓΙΑΝΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΣΚΟΡΔΙΛΗΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΧΡΙΣΤΟΔΟΥΛΙΔΗΣ ΞΕΝΟΦΩΝ του Αντωνίου,Κ.Κ.Ε. (μ-λ),ΓΚΟΛΕΜΗ ΙΩΑΝΝΑ του Γεωργίου,ΔΡΑΚΩΝΑΚΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΜΠΑΜΠΑΛΕΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΑΠΟΥΤΣΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΤΑΥΡΙΑΝΟΥΔΑΚΗ ΧΡΥΣΗ του Ανδρέα,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΥΠΑΡΑΚΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΚΟΚΟΛΟΓΙΑΝΝΗ ΜΑΡΙΑ ΕΛΕΝΗ του Ιωάννη,ΜΑΚΡΥΠΟΔΗΣ ΝΙΚΟΛΑΟΣ του Αριστείδη,ΜΑΡΝΙΕΡΑΚΗ ΑΝΝΑ του Ιωάννη,ΟΡΦΑΝΟΥΔΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΟΥΡΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΠΑΓΟΥΡΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Στυλιανού,ΤΣΙΟΜΠΑΝΙΔΗΣ ΕΥΑΓΓΕΛΟΣ (ΒΑΚΗΣ) του Γεωργίου,Λαϊκή Ενότητα,ΑΛΕΞΑΚΗ ΕΛΕΝΗ του Δημητρίου,ΚΑΤΖΗΛΑΚΗΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΚΡΙΑΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΚΡΙΤΣΩΤΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΛΕΒΕΝΤΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΜΑΝΤΖΑΡΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,ΣΑΒΒΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ,ΧΙΩΤΕΛΗΣ ΑΡΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΒΑΡΟΥΦΑΚΗΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΗΣ) του Γεωργίου,ΚΑΤΣΟΥΛΗ ΕΛΕΥΘΕΡΙΑ του Ζαχαρία,ΛΙΑΠΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΛΟΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Σοφοκλή-Εμμανουήλ,ΛΟΥΛΟΥΔΑΚΗΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΜΑΘΙΟΥΔΑΚΗ ΕΜΜΑΝΟΥΕΛΑ του Ανδρέα,ΜΑΡΑΓΚΑΚΗΣ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΤΣΟΥΚΑΛΑ ΑΙΚΑΤΕΡΙΝΗ του Χρίστου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΔΡΙΑΝΑΚΗ ΕΥΣΤΑΘΙΑ του Ελευθερίου,ΨΑΡΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΦΙΛΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Σταμάτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Αριστοτέλη
55 - Ηρακλείου,1 E.T. Δήμου Αρχανών - Αστερουσίων,447,296,4,1,5,291,101,14,16,29,19,12,24,6,5,21,13,15,102,42,19,39,25,18,45,5,14,15,7,5,7,1,3,2,2,3,1,0,30,0,4,14,2,0,14,10,0,0,15,2,21,3,1,9,8,4,4,0,0,1,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,1,4,2,0,1,3,2,6,3,2,0,0,3,2
55 - Ηρακλείου,2 E.T. Δήμου Αρχανών - Αστερουσίων,447,294,3,1,4,290,103,15,14,23,20,10,22,10,5,32,15,19,106,59,19,41,32,7,41,4,15,25,15,2,2,0,0,0,0,0,0,0,21,0,4,2,0,0,10,7,1,0,1,0,25,1,1,11,14,3,0,1,0,0,21,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,2,2,3,4,0,0,0,0,3,0
55 - Ηρακλείου,3 E.T. Δήμου Αρχανών - Αστερουσίων,472,312,6,2,8,304,141,28,32,29,26,21,35,15,8,29,18,17,74,36,16,29,21,4,23,3,9,13,3,0,1,0,0,0,0,1,0,0,29,0,4,7,0,2,18,3,2,1,7,13,33,2,1,10,13,8,0,0,3,0,22,4,6,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,1,2,2,3,1,2,0,0,0,0
55 - Ηρακλείου,4 E.T. Δήμου Αρχανών - Αστερουσίων,486,312,3,0,3,309,117,18,8,40,26,10,10,5,4,32,18,21,103,55,23,36,29,9,24,10,15,13,5,5,7,0,0,0,0,0,0,0,31,0,3,11,1,0,17,8,1,1,10,4,32,5,3,11,10,3,3,1,2,0,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,3,1,0,1,2,2,0,0,0,0,1,0
55 - Ηρακλείου,5 E.T. Δήμου Αρχανών - Αστερουσίων,532,324,8,2,10,314,133,26,14,46,19,15,20,4,6,40,20,23,85,41,21,27,29,14,32,2,12,10,9,0,2,1,0,0,0,0,0,0,32,0,3,4,2,3,21,10,2,0,8,1,33,3,3,11,10,2,2,0,2,0,21,5,5,2,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,0,0,4,2,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,1,2,2,0,1,4,1,1,0,1,0,0,1,0
55 - Ηρακλείου,6 E.T. Δήμου Αρχανών - Αστερουσίων,524,352,3,2,5,347,150,31,14,57,27,26,32,18,6,53,21,26,96,50,16,30,33,13,26,1,6,10,8,4,4,1,1,1,0,1,0,2,50,0,5,15,1,3,19,16,5,2,18,3,15,1,3,1,8,4,0,1,0,0,9,4,2,0,0,0,0,0,0,1,0,1,0,0,4,3,0,1,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,8,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,12,0,3,1,1,0,0,3,1,2,0,2,0,0,0,0
55 - Ηρακλείου,7 E.T. Δήμου Αρχανών - Αστερουσίων,554,382,8,2,10,372,154,25,23,37,26,25,38,8,8,31,19,10,101,50,20,38,27,14,27,12,14,12,11,4,10,2,1,4,1,3,0,2,45,0,3,14,0,0,22,15,1,2,11,0,31,5,0,4,11,3,0,1,2,2,20,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,7,2,0,0,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,13,0,1,0,3,2,0,1,0,3,1,1,0,0,3,1
55 - Ηρακλείου,8 E.T. Δήμου Αρχανών - Αστερουσίων,548,359,2,2,4,355,133,23,23,38,29,23,18,12,9,42,17,19,124,50,28,40,46,14,39,6,15,30,12,3,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,24,1,3,7,10,1,1,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,2,0,3,3,1,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,2,1,2,0,2,3,0,0,0,0,1,0
55 - Ηρακλείου,9 E.T. Δήμου Αρχανών - Αστερουσίων,314,234,2,1,3,231,113,23,14,32,23,16,24,8,3,21,22,19,54,39,10,14,15,11,17,1,6,10,2,1,3,0,1,1,1,0,1,0,29,0,4,3,3,2,17,3,0,2,3,9,10,0,1,0,4,2,1,1,0,1,8,1,2,2,0,0,0,1,0,0,1,0,1,0,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,10,0,2,0,1,0,1,1,1,0,0,0,0,0,1,0
55 - Ηρακλείου,10 E.T. Δήμου Αρχανών - Αστερουσίων,386,258,3,4,7,251,117,26,10,34,7,13,34,8,1,32,20,26,63,38,19,12,21,8,15,3,6,9,7,1,4,0,0,0,0,0,0,0,26,0,2,7,1,3,10,4,1,0,10,3,13,0,0,1,5,2,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,2,0,0,1,2,0,0,0,0,0,5,0
55 - Ηρακλείου,11 E.T. Δήμου Αρχανών - Αστερουσίων,344,232,3,0,3,229,78,7,6,26,15,10,15,11,1,17,14,13,104,51,22,45,36,22,40,3,9,28,20,2,0,0,0,0,0,0,0,0,27,0,6,6,2,0,14,10,7,0,8,3,5,2,0,1,3,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,1,1,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0
55 - Ηρακλείου,12 E.T. Δήμου Αρχανών - Αστερουσίων,398,264,4,4,8,256,97,13,16,28,17,12,9,2,5,38,17,22,96,62,24,31,31,9,28,1,12,18,10,1,1,0,0,1,0,0,0,0,39,0,3,10,0,1,16,27,14,1,3,1,8,0,0,1,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,2,0,1,2,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,1,1,1,1,0,0,1,1
55 - Ηρακλείου,13 E.T. Δήμου Αρχανών - Αστερουσίων,403,276,4,0,4,272,92,10,8,22,9,15,17,10,4,36,21,22,98,64,28,28,17,14,20,4,15,21,15,2,0,0,0,0,0,0,0,0,47,0,2,1,0,4,17,30,7,1,5,2,5,5,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3,0,0,2,2,2,0,0,0,0,2,0
55 - Ηρακλείου,14 E.T. Δήμου Αρχανών - Αστερουσίων,406,251,1,0,1,250,100,6,5,19,8,11,17,3,2,24,8,34,80,41,14,41,9,27,39,0,7,17,15,0,0,0,0,0,0,0,0,0,48,0,4,20,3,2,26,19,11,1,7,0,4,0,0,0,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
55 - Ηρακλείου,15 E.T. Δήμου Αρχανών - Αστερουσίων,398,272,3,1,4,268,102,14,6,23,28,10,34,2,2,35,15,20,91,24,23,16,34,26,33,5,10,18,12,5,0,0,0,0,0,0,0,0,56,0,5,7,0,2,31,35,13,0,21,0,1,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,3,0,1,0,0,2,0
55 - Ηρακλείου,16 E.T. Δήμου Αρχανών - Αστερουσίων,508,333,1,0,1,332,136,6,15,42,25,8,44,4,5,48,44,40,100,54,43,31,27,13,22,4,20,10,15,3,8,1,0,4,2,4,0,1,48,0,5,9,10,15,33,8,2,0,5,3,5,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,3,2,4,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,2,0,1,0,0,0,1,0,0,0,1,7,0,2,1,0,1,2,1,2,0,0,0,0,0,4,0
55 - Ηρακλείου,17 E.T. Δήμου Αρχανών - Αστερουσίων,307,213,3,0,3,210,87,6,12,25,19,26,25,4,9,16,12,35,70,43,31,20,24,13,29,2,5,6,13,0,1,0,1,0,1,0,0,1,32,0,4,10,1,1,18,27,0,0,15,1,6,0,1,1,5,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,3,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,2,2,1,0,0,0,0,0,1,0
55 - Ηρακλείου,18 E.T. Δήμου Αρχανών - Αστερουσίων,350,261,2,0,2,259,105,14,13,28,19,17,23,13,5,16,18,26,72,43,31,25,11,18,11,3,16,11,8,1,4,0,0,0,0,0,0,0,49,0,16,18,0,2,12,38,0,0,16,1,8,0,1,3,7,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1,3,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0
55 - Ηρακλείου,19 E.T. Δήμου Αρχανών - Αστερουσίων,374,262,2,1,3,259,107,10,15,33,10,9,23,7,4,21,25,20,69,37,17,12,26,14,16,0,14,9,7,1,1,1,0,0,0,0,0,0,64,0,34,11,3,2,30,55,1,0,9,3,6,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,3,2
55 - Ηρακλείου,20 E.T. Δήμου Αρχανών - Αστερουσίων,384,244,3,0,3,241,79,2,7,28,13,5,18,6,4,29,17,10,70,47,29,16,24,20,11,1,8,4,11,0,1,0,0,0,0,0,0,0,67,15,19,11,3,1,35,53,4,1,3,10,10,1,0,0,5,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,1,0,2,0,2,1,0,0,0,0,2,0
