ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΠΑΛΤΑΓΙΑΝΝΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου,ΜΠΟΥΤΑΣΗ ΙΩΑΝΝΑ του Χρήστου,ΤΕΛΙΓΙΟΡΙΔΟΥ ΟΛΥΜΠΙΑ του Ιωάννη,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΝΔΥΛΗ ΑΓΝΗ του Ανδρέα,ΤΖΗΚΑΛΑΓΙΑΣ ΖΗΣΗΣ του Γεωργίου,ΤΣΙΦΛΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΟΥΠΙΔΟΥ ΕΥΑΝΘΙΑ του Μιχαήλ,ΓΡΑΤΣΙΑΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΤΟΥΦΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΙΑ του Ζήση,ΖΥΜΠΙΔΗΣ ΘΕΟΦΥΛΑΚΤΟΣ του Παναγιώτη,ΠΕΤΡΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΤΣΑΛΟΥΚΙΔΟΥ ΑΘΗΝΑ του Αχιλλέα,Κ.Κ.Ε.,ΑΘΑΝΑΣΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΓΡΑΜΜΕΝΟΥ ΓΙΑΝΝΟΥΛΑ (ΑΝΝΕΤΑ) του Γεωργίου,ΖΕΓΑ ΓΕΩΡΓΙΑ του Πασχάλη,ΚΑΝΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,Ένωση Κεντρώων,ΒΑΣΙΛΕΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ-ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,ΜΑΡΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΚΟΥΛΟΓΛΟΥ Ελισάβετ του Αλκιβιάδη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑ ΑΘΗΝΑ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΥΡΑ ΑΦΡΟΔΙΤΗ του Μιχαήλ,ΠΑΤΣΙΟΣ ΓΡΗΓΟΡΗΣ του Μιχάλη,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΕΣΤΗΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΡΑΜΗΤΡΟΣ ΓΙΑΝΝΗΣ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΚΑΡΕΛΑ ΓΕΩΡΓΙΑ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΥΛΙΟΡΔΟΥ ΜΥΡΤΩ του Αθανασίου,ΠΑΠΑΣΤΕΡΓΙΟΥ ΑΛΚΙΒΙΑΔΗΣ του Γεωργίου,ΠΑΧΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΛΙΟΥΖΑΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΜέΡΑ25,ΚΑΡΟΥΛΗ ΦΙΛΙΑ του Δημητρίου,ΜΟΣΧΟΣ ΘΩΜΑΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΟΥΔΗΣ ΝΑΟΥΜ του Βασιλείου,ΜΑΝΟΥ Αλεξάνδρα του Ορφέως - Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΟΥΣΤΑΜΠΑΣΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιλτιάδη
16 - Καστοριάς,1 E.T. Δήμου Καστοριάς,293,134,2,0,2,132,40,0,17,1,18,64,28,5,13,12,2,0,2,0,13,0,8,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,1,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0
16 - Καστοριάς,2 E.T. Δήμου Καστοριάς,515,221,2,3,5,216,45,1,17,0,21,119,18,26,40,21,4,1,0,3,27,0,7,1,18,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,7,2,1,1,1,0,0,0,1,0,0,0,0,0,2,1,1,3,0,0,1,0
16 - Καστοριάς,3 E.T. Δήμου Καστοριάς,662,334,0,0,0,334,128,1,26,2,84,143,47,27,21,37,7,0,1,5,22,2,4,7,0,11,1,1,2,2,0,0,0,0,0,2,0,4,0,0,7,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,3,2,0,0,2,0
16 - Καστοριάς,4 E.T. Δήμου Καστοριάς,472,321,4,2,6,315,68,2,19,2,42,191,81,23,55,28,14,3,0,6,11,1,1,2,0,8,2,0,1,4,3,1,0,1,0,0,0,0,0,0,9,3,0,3,0,0,0,0,1,0,0,0,1,0,5,3,1,1,1,0,2,0
16 - Καστοριάς,5 E.T. Δήμου Καστοριάς,484,336,2,2,4,332,79,2,16,2,55,194,60,45,53,28,8,1,0,5,20,2,6,5,2,3,0,0,0,3,0,0,0,0,0,1,1,1,0,1,10,5,0,1,0,0,0,0,1,0,1,0,0,0,7,2,5,5,3,0,3,1
16 - Καστοριάς,6 E.T. Δήμου Καστοριάς,477,311,1,4,5,306,102,5,13,2,73,145,60,22,40,19,7,0,0,7,19,2,6,4,0,5,0,1,0,3,5,0,0,1,0,0,0,0,0,0,5,1,1,2,1,0,0,0,1,0,0,0,0,0,7,0,5,4,0,0,4,0
16 - Καστοριάς,7 E.T. Δήμου Καστοριάς,497,291,4,1,5,286,91,2,22,1,59,139,60,19,38,19,7,0,0,5,16,2,7,1,0,9,1,1,0,4,7,4,1,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,6,1,0,0,1,0
16 - Καστοριάς,8 E.T. Δήμου Καστοριάς,323,68,1,0,1,67,22,0,7,0,12,30,3,1,7,18,0,0,0,0,10,1,2,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
16 - Καστοριάς,9 E.T. Δήμου Καστοριάς,441,248,3,0,3,245,48,0,18,1,20,129,42,23,34,22,17,6,0,7,30,1,26,2,0,3,1,2,0,0,3,0,1,0,0,1,0,0,0,0,9,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0
16 - Καστοριάς,10 E.T. Δήμου Καστοριάς,489,273,4,3,7,266,44,0,7,1,32,144,46,32,39,24,11,1,3,3,30,1,27,0,0,2,2,0,0,0,3,0,0,0,0,2,2,1,0,1,6,1,0,4,0,0,0,0,0,0,0,0,1,1,9,0,5,8,3,0,5,4
16 - Καστοριάς,11 E.T. Δήμου Καστοριάς,128,65,1,1,2,63,29,0,11,0,15,22,6,3,7,4,0,0,0,0,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,0,1,0
16 - Καστοριάς,12 E.T. Δήμου Καστοριάς,427,248,2,0,2,246,64,1,22,2,32,126,35,29,30,26,16,0,5,6,16,1,10,1,3,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,5,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,8,0
16 - Καστοριάς,13 E.T. Δήμου Καστοριάς,405,215,0,0,0,215,92,1,12,3,69,65,40,9,10,5,7,2,0,5,30,3,15,2,5,5,2,0,1,0,4,0,0,0,0,1,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0
16 - Καστοριάς,14 E.T. Δήμου Καστοριάς,414,200,3,2,5,195,71,1,16,0,45,84,41,6,24,12,3,1,0,1,13,1,6,1,2,9,0,1,5,1,2,0,0,0,0,1,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0
16 - Καστοριάς,15 E.T. Δήμου Καστοριάς,346,226,5,1,6,220,82,4,16,0,58,78,23,11,14,26,6,0,1,4,17,0,11,0,4,7,0,0,0,6,1,0,0,0,0,1,0,0,0,0,8,2,0,4,0,0,0,0,1,0,0,0,1,0,16,1,9,0,0,0,2,0
16 - Καστοριάς,16 E.T. Δήμου Καστοριάς,524,201,0,1,1,200,57,0,22,1,31,83,33,7,31,8,10,0,3,1,13,1,3,1,0,10,0,1,2,2,3,0,0,0,0,1,0,1,0,0,14,2,2,6,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0
16 - Καστοριάς,17 E.T. Δήμου Καστοριάς,457,190,0,1,1,189,62,5,11,3,35,93,35,10,30,13,1,0,1,0,11,0,4,5,2,6,0,0,1,2,4,1,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,1
16 - Καστοριάς,18 E.T. Δήμου Καστοριάς,494,259,3,9,12,247,82,2,34,4,32,108,20,3,25,48,2,0,1,1,25,4,5,2,5,9,1,5,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,4,0,0,0,0,0,7,0,4,0,0,0,4,0
16 - Καστοριάς,19 E.T. Δήμου Καστοριάς,459,252,1,2,3,249,71,2,17,2,44,123,23,7,31,55,7,2,3,1,18,1,10,5,0,8,0,6,1,0,2,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,0,0,1,0,11,0,7,1,0,0,0,0
16 - Καστοριάς,20 E.T. Δήμου Καστοριάς,449,247,6,3,9,238,51,2,17,2,23,126,44,13,26,32,5,1,3,0,18,3,3,4,3,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,10,3,2,1,0,0,0,0,0,0,0,0,0,0,15,4,8,2,0,0,2,0
16 - Καστοριάς,21 E.T. Δήμου Καστοριάς,489,266,5,1,6,260,106,1,24,0,78,102,22,18,31,25,4,0,2,1,23,5,6,5,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,8,1,0,0,2,0
16 - Καστοριάς,22 E.T. Δήμου Καστοριάς,571,287,0,0,0,287,78,1,17,1,50,123,53,22,27,15,7,2,3,1,17,3,3,3,3,5,0,0,0,1,6,0,0,0,0,1,0,0,0,0,17,6,0,1,0,0,0,0,2,0,0,0,0,0,28,0,26,0,0,0,3,0
16 - Καστοριάς,23 E.T. Δήμου Καστοριάς,684,106,1,0,1,105,37,0,9,0,28,49,29,2,8,10,1,0,0,1,11,2,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,2,2
16 - Καστοριάς,24 E.T. Δήμου Καστοριάς,282,141,2,1,3,138,55,1,28,1,17,50,17,2,20,7,1,0,0,0,10,1,8,0,0,3,1,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,11,0,11,0,0,0,2,0
16 - Καστοριάς,25 E.T. Δήμου Καστοριάς,232,158,2,0,2,156,41,0,11,0,20,66,22,3,15,23,8,5,0,1,16,2,8,3,1,7,6,0,1,0,1,0,1,0,0,1,1,1,0,1,4,2,0,1,0,0,0,0,3,0,1,0,0,0,5,1,2,3,1,2,0,0
16 - Καστοριάς,26 E.T. Δήμου Καστοριάς,161,72,0,0,0,72,16,1,5,0,10,41,7,6,7,15,0,0,0,0,6,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0
16 - Καστοριάς,27 E.T. Δήμου Καστοριάς,181,25,0,0,0,25,11,0,1,0,8,11,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 - Καστοριάς,28 E.T. Δήμου Καστοριάς,236,94,0,0,0,94,38,1,9,0,27,38,16,2,6,10,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,2,0,0,3,0
16 - Καστοριάς,29 E.T. Δήμου Καστοριάς,443,248,1,1,2,246,64,6,14,2,36,132,26,11,14,77,6,0,0,3,19,2,3,7,3,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,2,0,11,1,8,0,0,0,1,0
16 - Καστοριάς,30 E.T. Δήμου Καστοριάς,443,221,3,3,6,215,42,1,15,0,18,129,22,10,17,75,2,0,1,1,20,2,6,5,2,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,9,2,4,0,0,0,2,0
16 - Καστοριάς,31 E.T. Δήμου Καστοριάς,556,335,6,4,10,325,93,0,27,1,57,162,52,24,40,35,16,1,2,8,17,0,5,1,3,6,0,1,2,1,6,0,0,0,0,1,0,0,0,0,9,4,2,0,0,0,0,0,2,0,0,0,0,0,6,0,4,5,0,0,2,0
16 - Καστοριάς,32 E.T. Δήμου Καστοριάς,530,288,2,3,5,283,76,0,21,0,49,148,53,19,39,26,9,2,3,2,15,0,6,3,2,3,1,2,0,0,2,0,0,0,0,0,0,1,0,0,7,2,1,0,0,0,0,0,2,0,0,0,3,0,7,0,1,6,0,0,4,0
16 - Καστοριάς,33 E.T. Δήμου Καστοριάς,541,324,5,2,7,317,76,0,27,2,39,172,53,17,62,33,10,1,1,4,11,0,4,0,0,12,0,1,1,4,6,0,0,0,0,2,0,2,0,0,7,0,1,2,1,0,0,0,0,0,0,0,2,0,10,0,6,2,0,0,4,0
16 - Καστοριάς,34 E.T. Δήμου Καστοριάς,558,311,2,0,2,309,85,1,16,9,56,159,40,22,47,37,11,1,1,7,12,1,1,5,3,11,0,4,1,4,6,0,2,0,0,1,1,0,0,0,13,3,4,1,0,0,0,0,0,0,0,0,2,0,5,0,2,3,3,0,1,0
