ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΕΟΠΕΦΤΑΤΟΥ ΑΦΡΟΔΙΤΗ του Χρήστου,ΜΠΑΤΙΣΤΑΤΟΣ ΑΡΙΣΤΟΤΕΛΗΣ του Διονυσίου,ΣΤΑΘΟΠΟΥΛΟΥ ΑΝΝΑ του Νικολάου,Νέα Δημοκρατία,ΑΛΕΞΑΝΔΡΑΤΟΥ ΒΙΚΤΩΡΙΑ του Πλούταρχου,ΚΑΠΠΑΤΟΣ ΠΑΝΑΓΗΣ του Σπυρίδωνος - Διονυσίου,ΚΟΚΚΟΛΗΣ ΓΕΩΡΓΙΟΣ (ΜΠΡΑΟΥΝΗΣ) του Σπυρίδωνος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΑΒΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΣΒΟΡΩΝΟΣ ΠΑΝΑΓΗΣ του Νικολάου,Κίνημα Αλλαγής,ΚΟΥΓΙΑΝΟΣ ΓΕΡΑΣΙΜΟΣ του Σπυρίδωνος,ΠΑΞΙΝΟΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΤΣΙΜΑΡΑ ΒΑΣΙΛΙΚΗ (ΒΙΚΥ) του Βαλεντίνου,Κ.Κ.Ε.,ΑΛΙΒΙΖΑΤΟΣ ΔΙΟΝΥΣΙΟΣ του Παναγή,ΜΑΝΤΖΟΥΡΑΤΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΠΟΤΑΜΙΑΝΟΥ ΣΟΦΙΑ του Φωτίου,Ένωση Κεντρώων,ΔΑΜΟΥ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΤΖΟΥΜΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΜΙΧΑΗΛΙΔΟΥ ΜΑΓΔΑΛΗΝΗ του Θεοδοσίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΪΤΑΝΙΔΟΥ ΕΥΑΝΘΙΑ του Γερασίμου - Δημητρίου,ΓΑΛΙΑΤΣΑΤΟΣ ΝΙΚΟΛΑΟΣ του Διονυσίου,ΛΟΥΡΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γερασίμου,Ελλήνων Συνέλευσις,ΜΕΤΑΞΑΣ ΓΙΑΝΝΗΚΩΣΤΑΣ του Όθωνος,Ελληνική Λύση - Κ. Βελόπουλος,ΑΤΣΑΡΟΣ ΧΡΙΣΤΟΧΡΟΝΗΣ του Σπυρογεράσιμου,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΒΛΑΧΟΣ ΓΑΒΡΙΗΛ του Παντελή,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΜΗΤΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΓΚΑΔΗΣ ΓΕΡΑΣΙΜΟΣ του Μιχαήλ,ΜέΡΑ25,ΜΑΝΩΛΑΤΟΣ ΓΑΒΡΙΗΛ του Αργυρίου,ΜΑΡΟΥΛΗ ΧΡΙΣΤΙΝΑ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΣΙΜΩΤΑΣ ΔΗΜΗΤΡΙΟΣ του Παναγή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΡΑΒΑΝΤΙΝΟΥ ΒΑΡΒΑΡΑ του Καίσαρα - Χοϊδά
28 - Κεφαλληνίας,1 E.T. Δήμου Ιθάκης,211,39,2,0,2,37,6,3,0,0,17,4,2,0,0,0,0,0,5,0,4,0,6,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28 - Κεφαλληνίας,2 E.T. Δήμου Ιθάκης,203,36,1,0,1,35,13,2,0,8,4,3,1,0,0,0,0,0,1,1,0,0,12,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
28 - Κεφαλληνίας,3 E.T. Δήμου Ιθάκης,516,208,4,1,5,203,61,39,3,7,90,19,49,10,8,1,3,0,10,1,1,3,15,1,4,4,2,0,0,0,0,4,0,1,3,0,0,3,0,2,1,0,0,3,2,0,0,0,0,5,1,1,0,0,2,0
28 - Κεφαλληνίας,4 E.T. Δήμου Ιθάκης,517,173,1,2,3,170,65,37,1,13,62,9,37,13,4,1,0,0,6,0,3,1,19,3,2,9,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,6,0,2,0,0,3,1
28 - Κεφαλληνίας,5 E.T. Δήμου Ιθάκης,512,197,5,1,6,191,60,34,3,8,69,10,34,18,5,1,1,1,7,1,2,1,30,3,3,18,4,2,1,0,0,3,1,0,2,0,0,4,3,0,0,0,0,0,0,1,1,0,0,4,0,2,1,1,3,1
28 - Κεφαλληνίας,6 E.T. Δήμου Ιθάκης,548,214,3,1,4,210,79,44,3,15,67,12,28,14,3,2,0,0,9,1,4,3,25,3,4,9,1,0,0,1,0,3,0,1,1,0,0,5,0,3,0,0,0,1,0,0,0,1,0,12,5,1,1,1,2,2
28 - Κεφαλληνίας,7 E.T. Δήμου Ιθάκης,547,199,1,0,1,198,62,30,4,12,67,7,25,24,2,0,0,1,10,3,5,0,32,4,3,16,3,3,0,0,0,6,0,0,6,0,0,7,1,2,1,1,1,0,0,0,0,0,0,4,0,0,1,0,3,1
28 - Κεφαλληνίας,8 E.T. Δήμου Ιθάκης,450,134,5,3,8,126,64,29,8,12,20,0,7,3,2,2,0,0,10,0,4,0,15,4,2,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,6,0,0,0,0,0,0
28 - Κεφαλληνίας,9 E.T. Δήμου Ιθάκης,275,36,1,0,1,35,7,2,0,3,12,3,5,1,1,0,0,0,4,0,4,0,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 - Κεφαλληνίας,10 E.T. Δήμου Ιθάκης,491,231,7,0,7,224,77,42,5,16,56,2,26,22,5,4,0,1,35,2,27,2,27,2,8,14,3,0,1,0,0,3,0,0,2,0,0,4,1,1,0,2,1,1,1,0,0,4,2,4,3,0,0,0,3,1
28 - Κεφαλληνίας,11 E.T. Δήμου Ιθάκης,280,92,2,1,3,89,29,17,2,9,49,13,25,4,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1
28 - Κεφαλληνίας,12 E.T. Δήμου Ιθάκης,317,66,3,0,3,63,15,11,1,1,17,0,13,0,2,1,0,0,6,1,1,2,6,0,1,2,0,0,0,0,0,1,0,0,1,0,0,5,2,1,0,0,0,0,0,0,0,1,1,5,0,3,3,2,2,0
28 - Κεφαλληνίας,13 E.T. Δήμου Ιθάκης,301,103,2,1,3,100,31,16,0,7,45,9,27,8,2,0,0,0,4,0,3,1,7,2,2,2,2,0,1,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0
28 - Κεφαλληνίας,14 E.T. Δήμου Ιθάκης,364,103,3,0,3,100,34,22,2,5,34,6,15,7,0,0,0,0,8,2,3,1,13,2,1,4,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,6,1,3,0,0,1,1
