ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΓΑΘΟΠΟΥΛΟΥ ΕΙΡΗΝΗ-ΕΛΕΝΗ του Δημητρίου,ΚΑΠΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη,ΠΕΡΠΕΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΦΟΥΡΑΣ ΠΕΤΡΟΣ του Γεωργίου,ΨΑΡΡΑ ΣΟΦΙΑ του Θεοδώρου,Νέα Δημοκρατία,ΑΝΑΝΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Σολομώντος,ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΞΟΠΛΙΔΟΥ ΑΜΑΛΙΑ του Δημητρίου,ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΗΛΙΑΔΟΥ ΧΡΙΣΤΙΝΑ (ΜΠΑΚΑ) του Γεωργίου,ΚΑΛΟΜΟΙΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ (ΤΟΝΗΣ) του Σάββα,ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣΗ του Μωϋσή ,ΧΑΤΖΗΣΑΒΒΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΝΤΡΑ ΚΑΛΙΡΟΗ του Κωνσταντίνου,ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου,ΣΤΕΦΑΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Ιωάννη,ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου,Κ.Κ.Ε.,ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη,ΣΙΔΗΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου,ΦΑΧΟΥΡΙΔΗΣ ΙΩΑΝΝΗΣ του Αριστοτέλη,ΧΑΤΖΗ ΕΙΡΗΝΗ του Αρέθα,Ένωση Κεντρώων,ΑΝΔΡΙΩΤΗ ΕΥΣΤΡΑΤΙΑ του Γαβριήλ,ΕΛΕΥΘΕΡΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΝΙΚΟΛΑΟΥ ΧΡΗΣΤΟΣ του Χαράλαμπου,Ο.Κ.Δ.Ε.,ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΛΓΑΡΙΝΟΥ ΒΑΣΙΛΙΚΗ του Νικολάου,Ελλήνων Συνέλευσις,ΒΑΡΥΤΙΜΙΔΗΣ ΘΕΟΦΙΛΟΣ του Σάββα,ΜΑΚΕΝΑΤΖΗ ΜΑΡΓΑΡΙΤΑ του Ιωσήφ,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΦΑΡΙΔΟΥ ΖΩΓΙΑ του Γεωργίου,ΣΥΓΚΟΥ ΜΑΛΑΜΑΤΗ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου,ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ του Ιωάννη,ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ηλία,Μ-Λ Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΗΜΟΛΑΪΔΗΣ ΟΔΥΣΣΕΥΣ του Θεοδώρου,ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σταύρου,Λαϊκή Ενότητα,ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΣΑΜΑΡΑ ΑΡΙΑΔΝΗ του Στεφάνου,ΜέΡΑ25,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Αλεξίου,ΚΑΣΚΑΡΙΔΟΥ ΜΑΡΙΑ του ΟΔΥΣΣΕΑ,ΚΩΤΣΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΠΡΟΒΑΣ ΤΗΛΕΜΑΧΟΣ του Αθανασίου,ΠΑΠΑΡΙΖΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΑΦΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου
10 - Κιλκίς,1 E.T. Δήμου Κιλκίς,425,238,4,2,6,232,80,17,3,7,27,5,62,4,26,15,0,9,11,0,1,0,0,5,28,3,0,6,1,16,14,1,8,0,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,20,12,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,5,0
10 - Κιλκίς,2 E.T. Δήμου Κιλκίς,459,239,4,0,4,235,48,15,6,6,10,4,116,21,36,32,5,10,6,0,0,1,0,2,21,2,0,3,1,15,9,0,4,2,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,10,2,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,11,2,1,1,0,2,0,0,0,5,0
10 - Κιλκίς,3 E.T. Δήμου Κιλκίς,437,225,1,2,3,222,58,7,8,8,16,1,76,10,16,35,6,6,13,4,0,1,1,4,16,5,0,4,0,7,19,3,10,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,23,11,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,1,0,0,0,4,1
10 - Κιλκίς,4 E.T. Δήμου Κιλκίς,475,235,0,3,3,232,54,12,3,5,13,4,75,8,21,26,0,10,6,0,0,3,0,3,29,2,0,11,2,11,18,2,4,1,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,20,3,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,13,3,0,0,0,2,0,0,0,11,8
10 - Κιλκίς,5 E.T. Δήμου Κιλκίς,366,193,6,6,12,181,68,23,1,7,10,4,56,7,9,20,15,2,16,3,3,1,0,6,18,1,0,2,1,11,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,1,0,0,0,1,1
10 - Κιλκίς,6 E.T. Δήμου Κιλκίς,367,222,6,5,11,211,43,15,3,7,1,6,82,4,20,20,23,5,14,0,1,8,0,4,23,6,0,6,0,9,10,1,4,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,17,5,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1,4,0,0,4,0,0,1,2,1
10 - Κιλκίς,7 E.T. Δήμου Κιλκίς,421,205,4,5,9,196,34,17,4,2,3,1,74,9,18,15,21,7,17,1,0,11,0,2,30,6,0,7,3,12,6,0,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,22,9,0,12,1,0,0,0,0,3,0,1,0,0,0,0,0,4,0,1,0,1,2,0,1,0,1,1
10 - Κιλκίς,8 E.T. Δήμου Κιλκίς,289,194,6,2,8,186,48,28,0,4,2,2,65,6,21,14,4,10,10,2,0,1,0,5,23,4,0,9,4,5,6,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17,2,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,0,4,0,0,0,4,0
10 - Κιλκίς,9 E.T. Δήμου Κιλκίς,371,231,2,3,5,226,65,23,5,8,3,3,83,6,31,11,3,11,9,1,0,1,0,5,27,5,1,10,2,7,7,0,1,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,2,2,1,0,0,0,6,0
10 - Κιλκίς,10 E.T. Δήμου Κιλκίς,521,352,8,6,14,338,83,29,9,16,7,5,132,27,44,40,2,9,21,0,3,11,0,5,32,7,0,9,3,11,13,4,6,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,20,8,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,14,4,4,0,0,1,0,0,0,11,0
10 - Κιλκίς,11 E.T. Δήμου Κιλκίς,520,289,6,2,8,281,100,35,7,16,5,1,92,21,23,30,0,5,17,0,0,5,0,6,13,5,1,1,3,2,20,1,13,0,1,2,7,0,0,0,0,0,1,0,1,0,0,0,0,0,16,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,1,1,4,0,0,0,3,0
10 - Κιλκίς,12 E.T. Δήμου Κιλκίς,533,291,4,2,6,285,88,39,5,11,6,4,94,20,25,31,5,3,5,1,0,1,0,2,16,2,1,6,1,5,34,0,20,3,2,1,4,2,1,0,0,0,1,1,2,0,0,0,1,0,15,6,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,14,3,0,0,1,3,0,0,1,8,3
10 - Κιλκίς,13 E.T. Δήμου Κιλκίς,467,280,3,2,5,275,59,21,1,10,8,2,83,13,15,27,1,17,16,2,0,3,1,6,39,4,0,4,5,25,19,0,10,0,6,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,28,6,3,14,2,1,0,0,0,2,0,0,0,2,0,0,0,12,2,1,0,1,3,0,0,0,4,0
10 - Κιλκίς,14 E.T. Δήμου Κιλκίς,426,242,3,3,6,236,44,17,4,6,4,1,125,18,44,22,12,16,15,1,0,6,0,4,12,4,0,2,1,3,9,0,2,0,2,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,15,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0
10 - Κιλκίς,15 E.T. Δήμου Κιλκίς,404,239,4,2,6,233,61,24,2,3,8,4,73,4,25,25,6,4,17,0,0,1,0,9,34,9,0,8,2,12,6,1,1,0,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,19,5,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,3,0,1,2,0,0,0,7,5
10 - Κιλκίς,16 E.T. Δήμου Κιλκίς,418,242,1,3,4,238,40,21,1,7,8,2,127,15,28,38,11,14,9,0,0,2,1,2,21,6,0,2,1,7,6,1,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,1,3,3,0,0,0,3,0
10 - Κιλκίς,17 E.T. Δήμου Κιλκίς,481,248,1,2,3,245,32,8,0,3,1,6,132,13,40,44,17,4,18,3,1,5,0,4,20,4,0,6,1,9,4,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,4,4,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,9,0
