ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΟΥΤΣΗΣ ΙΩΑΝΝΗΣ του Αποστόλου,ΘΕΛΕΡΙΤΗ ΜΑΡΙΑ του Παναγιώτη,ΠΕΤΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΤΣΟΓΚΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΦΙΛΙΠΠΑΚΗ ΣΟΦΙΑ του Ανδρέα,ΨΥΧΟΓΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΑΝΑΓΝΩΣΤΑΡΑ ΣΟΦΙΑ του Παναγιώτη,ΔΗΜΑΣ ΧΡΙΣΤΟΣ του Σταύρου,ΚΟΛΛΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ταξιάρχου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ του Ιωάννη,ΣΟΥΚΟΥΛΗ-ΒΙΛΙΑΛΗ ΜΑΡΙΑ ΕΛΕΝΗ (ΜΑΡΙΛΕΝΑ) του Δημητρίου,ΤΑΓΑΡΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΑΝΔΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΑΡΓΥΡΟΠΟΥΛΟΥ ΣΟΦΙΑ του Δημητρίου,ΜΑΡΚΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Αναστασίου,ΣΕΪΤΑΝΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΤΣΙΟΓΚΑ ΠΑΡΑΣΚΕΥΗ του Αθανασίου,Κίνημα Αλλαγής,ΑΝΔΡΕΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΓΚΙΛΙΤΣΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΔΗΜΑ ΜΑΡΓΑΡΙΤΑ του Νικολάου,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανέστη,ΦΑΡΜΑΚΗ-ΓΚΕΚΗ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΧΑΝΙΑΣ ΝΙΚΟΛΑΟΣ του Ηλία,Κ.Κ.Ε.,ΑΛΩΝΙΣΤΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Αντωνίου,ΚΑΖΑΚΟΠΟΥΛΟΥ ΑΝΘΙΠΠΗ του Αργυρίου,ΚΕΛΛΑΡΗΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΛΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΜΠΟΖΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΤΖΕΚΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,Ένωση Κεντρώων,ΜΑΡΑ ΑΝΝΑ του Νίκο,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,ΤΟΜΑΡΑΣ ΑΘΑΝΑΣΙΟΣ του Μιλτιάδη,Ο.Κ.Δ.Ε.,ΕΡΗΜΑΚΗ ΑΝΑΣΤΑΣΙΑ του Βλασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΧΑΡΙΛΑΟΣ του Παναγή,Ελλήνων Συνέλευσις,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΗΛΙΑΣ του Νικολάου,ΚΑΝΕΛΛΟΥ ΕΙΡΗΝΗ του Ηλία,ΜΑΛΛΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΡΛΑΜΠΑ ΕΛΕΝΗ του Κωνσταντίνου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΒΑΛΣΑΜΗ ΗΛΙΑΝΑ του Παύλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΕΛΕΝΗ του Βασιλείου,ΚΑΛΑΡΑΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΕΛΛΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΜΑΥΡΙΑΣ ΜΑΡΚΟΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΜΑΡΓΑΡΙΤΑ του Ιωάννη,ΠΑΠΑΧΡΗΣΤΟΥ ΜΙΧΑΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΜΑΡΕΤΣΟΥ ΜΑΡΙΑΝΑ του Λουδοβίκου,ΣΠΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα,Μ-Λ Κ.Κ.Ε.,ΣΠΥΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Παναγιώτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΕΤΑΣ ΑΘΑΝΑΣΙΟΣ του Φωτίου,ΓΙΑΚΙΜΤΣΟΥΚΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,ΚΑΛΛΙΑΝΙΩΤΗ ΠΕΤΡΟΥΛΑ του Γεωργίου,ΚΑΤΕΜΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Δημητρίου,Λαϊκή Ενότητα,ΡΙΣΚΑ ΜΑΡΙΑΝΘΗ (ΜΑΙΡΗ) του Δημητρίου,ΤΣΑΚΟΥΜΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΤΣΟΥΚΑΛΑΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΒΑΣΙΛΑΚΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Βασιλείου,ΒΟΥΖΟΥΝΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Μιλτιάδου,ΔΗΜΗΤΡΙΑΔΗ ΜΑΡΙΑ του Αναστασίου,ΚΑΝΕΛΛΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΚΟΣ) του Δημητρίου,ΚΥΡΙΑΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Σωτηρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΠΙΝΙΚΗ του Χαράλαμπου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Αναστασίου,ΚΑΨΟΥΡΟΥ ΜΑΡΙΑ του Ιωάννη,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΣΤΑΜΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΑΝΟΠΟΥΛΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,Ανεξάρτητοι Υποψήφιοι,ΘΕΟΔΟΣΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ του Μιλτιάδη
43 - Κορινθίας,1 E.T. Δήμου Βέλου - Βόχας,500,307,1,2,3,304,85,8,30,4,18,12,23,112,21,46,30,16,57,16,12,4,2,6,3,1,40,8,9,9,18,9,6,4,0,1,1,0,0,3,2,0,0,1,0,0,3,1,5,0,5,3,2,1,0,12,5,2,4,0,5,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,15,0,1,1,1,1,4,2,1,0,0,1,8,6,0,0
43 - Κορινθίας,2 E.T. Δήμου Βέλου - Βόχας,500,293,2,2,4,289,97,8,42,7,16,19,35,128,16,54,21,21,56,26,11,2,2,6,1,2,23,2,9,2,3,10,11,2,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,13,5,1,6,2,2,3,2,1,1,0,0,4,1,0,0
43 - Κορινθίας,3 E.T. Δήμου Βέλου - Βόχας,500,301,2,3,5,296,97,10,43,0,13,11,28,125,14,52,23,22,47,24,13,2,3,8,4,0,27,7,9,10,5,5,6,2,1,0,0,0,0,0,5,2,0,1,1,1,0,0,2,0,1,2,0,0,0,10,2,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,1,4,1,1,1,0,4,2,0,0
43 - Κορινθίας,4 E.T. Δήμου Βέλου - Βόχας,500,275,0,1,1,274,73,5,28,4,10,13,20,129,26,46,17,23,60,24,3,0,0,2,1,1,33,2,13,7,8,8,1,4,1,0,1,0,0,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,9,3,1,0,1,2,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,9,1,1,1,1,0,2,0,0,0,0,0,5,3,0,0
43 - Κορινθίας,5 E.T. Δήμου Βέλου - Βόχας,500,324,8,3,11,313,110,10,48,10,23,17,24,132,16,46,22,11,64,31,7,1,0,5,2,1,20,0,5,3,10,5,1,6,1,1,2,0,1,3,3,0,1,1,0,0,0,0,6,5,1,4,0,0,0,11,4,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,3,3,0,4,1,0,0,0,0,4,2,0,0
43 - Κορινθίας,6 E.T. Δήμου Βέλου - Βόχας,480,295,3,1,4,291,100,17,33,4,17,17,19,115,8,63,15,17,57,28,7,1,0,3,0,0,24,3,5,2,11,7,4,4,1,1,0,0,0,0,5,0,0,1,0,0,0,0,2,2,0,1,0,0,0,9,4,2,1,0,3,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,9,1,0,1,2,0,1,6,3,2,1,1,7,2,0,0
43 - Κορινθίας,7 E.T. Δήμου Βέλου - Βόχας,450,286,8,1,9,277,95,3,29,1,17,15,26,105,15,31,16,14,44,23,3,0,1,0,0,1,18,3,6,2,4,7,4,4,3,0,0,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,7,1,2,0,3,1,1,0,0,0,0,4,1,0,1,1,3,1,1,0,17,4,2,2,0,0,3,1,0,0,0,0,3,0,0,0
43 - Κορινθίας,8 E.T. Δήμου Βέλου - Βόχας,321,220,1,2,3,217,62,6,24,3,9,8,25,73,16,23,16,19,15,26,3,1,0,2,0,0,36,3,2,4,22,22,1,4,1,1,0,0,0,0,9,1,1,0,0,0,0,0,4,3,1,3,1,1,0,5,1,1,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,2,0,2,1,1,2,3,0,0,0,0,3,0,0,0
43 - Κορινθίας,9 E.T. Δήμου Βέλου - Βόχας,470,317,4,1,5,312,98,7,41,6,14,17,20,123,24,48,38,14,32,37,15,6,4,9,7,2,16,2,4,3,6,8,7,11,5,2,2,0,0,6,5,2,3,0,0,0,2,0,3,1,1,1,0,1,0,14,4,5,7,1,4,1,0,0,0,0,0,4,2,1,1,0,0,0,0,0,16,3,2,4,0,2,4,1,0,0,0,1,3,1,0,0
43 - Κορινθίας,10 E.T. Δήμου Βέλου - Βόχας,458,315,5,0,5,310,89,15,41,6,16,18,27,134,31,67,36,15,27,41,10,3,0,6,3,1,25,4,1,9,9,10,1,8,3,2,1,0,0,4,2,2,0,2,0,0,2,1,2,2,0,2,0,0,0,15,5,3,5,1,6,1,0,0,0,0,0,4,2,1,2,1,0,0,0,0,10,1,1,3,1,1,3,1,0,0,0,0,8,4,0,0
43 - Κορινθίας,11 E.T. Δήμου Βέλου - Βόχας,340,211,6,1,7,204,59,3,14,2,8,9,10,78,16,27,24,19,20,12,11,1,1,3,0,1,16,0,3,4,4,9,2,7,2,4,1,1,0,2,4,1,1,0,0,0,0,0,2,1,1,0,1,2,1,6,4,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,11,1,1,5,0,1,1,1,0,0,0,0,4,1,0,0
43 - Κορινθίας,12 E.T. Δήμου Βέλου - Βόχας,345,185,1,0,1,184,70,9,24,10,13,7,20,76,4,28,23,14,16,20,12,6,0,5,0,0,6,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,1,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,2,1,1,0,5,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0
43 - Κορινθίας,13 E.T. Δήμου Βέλου - Βόχας,422,284,1,3,4,280,91,8,38,7,11,12,23,115,12,55,18,29,29,32,3,1,1,2,0,1,28,6,4,7,5,9,4,14,1,3,8,1,1,6,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,5,2,2,0,4,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,1,1,1,4,0,1,2,1,2,0,0,0
43 - Κορινθίας,14 E.T. Δήμου Βέλου - Βόχας,360,228,4,2,6,222,62,11,20,8,11,17,15,98,19,33,17,19,31,29,13,3,0,6,2,3,19,4,4,1,6,6,6,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,7,0,1,0,1,1,1,0,0,0,0,0,5,2,0,0
43 - Κορινθίας,15 E.T. Δήμου Βέλου - Βόχας,359,225,4,0,4,221,50,2,19,3,4,5,21,96,14,39,19,12,11,20,11,1,1,6,1,2,20,6,2,7,5,4,6,6,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,4,0,4,3,1,1,0,0,0,5,1,0,0
43 - Κορινθίας,16 E.T. Δήμου Βέλου - Βόχας,540,326,3,0,3,323,66,8,45,3,4,4,13,148,31,54,58,25,36,48,16,4,3,6,1,2,52,5,6,3,28,18,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,13,3,2,4,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,11,2,0,2,1,1,0,2,1,0,0,0,7,4,0,0
43 - Κορινθίας,17 E.T. Δήμου Βέλου - Βόχας,541,331,0,1,1,330,89,9,65,1,10,7,27,146,40,50,71,19,34,44,12,3,3,6,0,3,32,6,11,4,19,9,1,13,3,3,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,9,2,6,0,1,7,2,0,1,0,0,6,6,0,0
