ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΤΤΑ ΚΑΛΛΙΟΠΗ του Δημητρίου,ΓΟΥΛΙΑΡΟΥ ΘΕΟΔΩΡΑ του Δημητρίου,ΔΗΜΗΤΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ (ΜΙΜΗΣ) του Κλεάνθη,ΘΕΟΦΥΛΑΚΤΟΣ ΙΩΑΝΝΗΣ του Γαβριήλ,ΘΕΟΧΑΡΗ ΣΤΥΛΙΑΝΗ του Χαράλαμπου,ΜΟΥΜΟΥΛΙΔΗΣ ΘΕΜΙΣΤΟΚΛΗΣ (ΘΕΜΗΣ) του Σταματίου,ΝΤΖΙΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΚΡΙΤΙΔΗΣ ΠΟΛΥΧΡΟΝΙΟΣ (ΧΡΟΝΗΣ) του Παναγιώτη,ΑΜΑΝΑΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ισαάκ,ΒΡΥΖΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Παναγιώτη,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Γεωργίου,ΠΡΩΪΟΥ-ΒΑΡΖΗ ΕΥΛΑΜΠΙΑ (ΕΥΗ) του Ευαγγέλου,ΣΕΜΕΡΤΖΙΔΟΥ ΚΑΛΛΙΟΠΗ (ΠΟΠΗ) του Μιλτιάδη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΗΣ ΣΠΥΡΙΔΩΝ του Προκοπίου,ΖΑΡΟΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ του Οδυσσέα,ΚΑΡΑΒΕΛΙΑΣ ΣΤΕΡΓΙΟΣ του Αθανασίου,ΠΕΧΛΙΒΑΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Λαζάρου,ΤΣΙΟΤΣΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία,Κίνημα Αλλαγής,ΒΡΑΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Τριαντάφυλλου,ΓΚΡΙΤΖΕΛΗ-ΤΟΚΜΑΚΙΔΗ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Πάσχου,ΖΑΡΟΓΙΑΝΝΗΣ ΛΟΥΚΑΣ του Ιωάννη,ΚΑΒΟΥΡΑ-ΓΕΛΑΔΑΡΗ ΕΛΕΝΗ (ΛΕΝΑ) του Ιωάννη,ΚΟΥΚΟΥΛΟΠΟΥΛΟΣ ΠΑΡΑΣΚΕΥΑΣ (ΠΑΡΙΣ) του Δημητρίου,ΤΑΪΓΑΝΙΔΟΥ ΕΛΕΝΗ του Ιωάννη,ΤΣΙΛΦΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Χρήστου,Κ.Κ.Ε.,ΑΔΑΜΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΑΝΤΑΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Φωτίου,ΚΟΥΔΟΥΝΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΚΟΥΖΙΑΚΗ ΘΕΟΔΩΡΑ-ΜΑΤΙΝΑ (ΤΙΝΑ) του Παναγιώτη,ΛΑΜΠΑΔΑ ΧΑΡΙΣ του Αριστείδη,ΤΑΤΑΡΙΔΗΣ ΠΕΤΡΟΣ του Φιλίππου,ΤΣΙΓΚΑ ΕΥΘΥΜΙΑ (ΕΦΗ) του Κωνσταντίνου,Ένωση Κεντρώων,ΚΩΤΣΙΔΗΣ ΛΑΖΑΡΟΣ του Κοσμά,ΛΑΛΑΠΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα,ΛΟΥΤΣΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Κοσμά,ΜΠΑΡΜΠΕΡΗ ΣΟΦΙΑ του Ιωάννη,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία,Ο.Κ.Δ.Ε.,ΚΑΡΥΔΗΣ ΜΑΡΚΟΣ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΔΙΝΟΠΟΥΛΟΥ ΕΥΑΓΓΕΛΙΑ του Νικολάου,ΠΡΑΣΣΟΣ ΣΤΕΦΑΝΟΣ του Αστερίου,Ελλήνων Συνέλευσις,ΓΕΩΡΓΙΑΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Κωνσταντίνου,ΓΚΙΟΥΡΑ ΘΕΟΔΩΡΑ του Κωνσταντίνου,ΚΑΡΑΚΟΥΛΑ ΜΑΡΚΗΣΙΑ του Χαρισίου,ΠΟΥΛΑΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΠΑΠΑΔΑΤΟΥ ΑΛΕΞΑΝΔΡΑ του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΔΕΣΠΟΙΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χαραλάμπους,ΛΑΖΑΡΑΤΟΥ ΔΗΜΗΤΡΟΥΛΑ του Ιωάννη,ΜΕΤΟΙΚΙΔΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΛΕΞΙΟΣ του Κωνσταντίνου,ΣΑΛΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Θεοδώρου,Κ.Κ.Ε. (μ-λ),ΑΒΟΥΖΟΥΚΛΙΔΟΥ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΘΕΡΑΠΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΟΥΤΡΩΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΘΕΟΔΩΡΙΔΗΣ ΗΛΙΑΣ του Κωνσταντίνου,Λαϊκή Ενότητα,ΚΑΔΟΓΛΟΥ ΘΕΟΔΟΣΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΚΑΛΟΓΙΑΝΝΙΔΗΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΣΑΡΔΕΛΗ ΦΩΤΕΙΝΗ του Γεωργίου,ΣΕΡΕΤΗ ΜΑΡΙΑ του Κωνσταντίνου,ΣΜΥΡΛΗ ΣΩΤΗΡΙΑ του Σταύρου,ΤΣΟΥΦΛΙΔΗΣ ΑΝΤΩΝΙΟΣ του Χαραλάμπους,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΡΑΔΗΜΟΥ ΑΛΕΞΑΝΔΡΑ του Χρήστου,ΚΩΣΤΑΚΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΜΕΛΛΙΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΠΛΕΤΣΗΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΠΛΙΑΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΡΑΣΣΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
15 - Κοζάνης,1 E.T. Δήμου Βοΐου,363,174,3,1,4,170,60,13,4,2,17,10,18,1,64,6,12,5,33,11,11,13,0,0,0,0,0,0,11,1,0,3,1,2,3,0,9,1,6,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,3,5,2,1,7,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,2 E.T. Δήμου Βοΐου,411,187,2,1,3,184,50,7,10,5,20,2,16,6,73,4,12,7,29,16,22,9,3,0,1,1,1,1,29,9,1,2,1,16,2,5,10,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,2,2,2,0,0,0,0,0,0,1,0,3,2,1,0,0,1,1,0,0,0,0,0,3,0
15 - Κοζάνης,3 E.T. Δήμου Βοΐου,555,325,6,3,9,316,70,23,4,16,13,17,11,12,145,15,46,45,27,43,30,16,14,2,3,7,1,1,35,4,4,10,0,10,4,10,22,3,10,4,5,1,0,6,4,2,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,11,1,2,1,4,0,2,1,0,0,0,0,0,0,0,7,1,1,2,2,1,2,1,0,0,0,0,3,1
15 - Κοζάνης,4 E.T. Δήμου Βοΐου,534,308,5,4,9,299,53,12,8,10,11,12,12,14,175,18,46,52,60,44,41,24,5,0,2,2,0,1,42,8,1,14,5,17,8,20,15,4,11,2,6,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,2,2
15 - Κοζάνης,5 E.T. Δήμου Βοΐου,545,308,4,2,6,302,70,28,5,12,16,17,13,10,155,9,27,59,49,48,31,28,13,1,1,10,1,2,36,9,0,14,3,18,2,21,10,2,5,1,4,1,0,5,4,0,0,1,0,0,0,0,1,0,1,0,3,1,2,0,2,0,0,4,1,0,0,2,1,1,1,1,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,1,0
15 - Κοζάνης,6 E.T. Δήμου Βοΐου,547,290,7,0,7,283,50,15,3,12,6,17,8,13,157,22,44,34,40,59,31,22,15,1,2,6,0,4,32,13,1,3,5,20,1,21,9,2,5,0,1,1,0,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,1,3,4,1,3,1,1,0,0,0,0,0,0,5,0,1,1,3,1,1,1,0,1,0,0,1,1
15 - Κοζάνης,7 E.T. Δήμου Βοΐου,534,260,3,1,4,256,64,25,5,9,19,8,25,3,138,17,25,16,29,51,24,30,7,0,3,2,1,1,22,7,0,3,1,15,0,0,6,1,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1
15 - Κοζάνης,8 E.T. Δήμου Βοΐου,561,240,2,2,4,236,76,15,4,5,20,12,27,7,115,9,32,24,28,52,23,8,7,0,0,1,1,2,22,7,3,3,0,14,1,3,6,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
15 - Κοζάνης,9 E.T. Δήμου Βοΐου,556,309,3,6,9,300,79,14,7,13,16,8,30,7,159,26,35,25,51,82,17,10,6,2,4,1,0,1,24,7,1,7,1,15,0,0,6,0,4,0,0,0,1,5,5,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,5,1,2,2,1,2,1,1
15 - Κοζάνης,10 E.T. Δήμου Βοΐου,241,106,1,5,6,100,16,4,0,11,2,1,2,3,65,15,14,19,8,25,18,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15 - Κοζάνης,11 E.T. Δήμου Βοΐου,358,159,7,2,9,150,36,4,3,1,15,4,4,8,75,14,2,15,35,8,19,3,4,1,2,2,1,0,10,3,0,5,1,3,3,0,9,3,2,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,1,0,0,0,1,0
15 - Κοζάνης,12 E.T. Δήμου Βοΐου,332,162,2,1,3,159,40,13,1,5,11,5,5,21,76,9,14,19,31,20,23,12,4,1,2,1,1,1,15,7,0,2,0,9,0,1,4,2,2,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,3,4,1,3,0,0,0,0,0,0,0,0,3,2,0,3,0,0,2,0,1,0,0,0,2,0
15 - Κοζάνης,13 E.T. Δήμου Βοΐου,489,279,5,1,6,273,84,29,19,10,11,14,19,5,136,13,30,18,68,43,25,14,9,0,0,3,0,1,15,0,1,1,1,10,2,0,7,0,2,2,0,0,3,2,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,11,2,1,0,1,0,1,0,0,0,0,0,0,1,1,6,1,3,2,0,0,0,0,0,0,0,0,1,0
15 - Κοζάνης,14 E.T. Δήμου Βοΐου,521,321,6,2,8,313,85,34,4,8,19,16,24,13,131,15,13,22,47,24,70,12,7,0,2,2,0,1,31,31,0,1,0,5,4,3,23,17,4,1,2,0,0,14,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,4,2,3,4,1,0,1,1,0,0,1,0,9,5,2,4,1,1,3,1,0,0,0,1,5,2
15 - Κοζάνης,15 E.T. Δήμου Βοΐου,514,291,3,2,5,286,66,20,7,10,17,18,9,6,106,6,17,28,28,25,35,3,20,7,7,8,2,3,36,35,0,2,0,4,0,5,17,7,3,0,1,2,0,8,6,2,0,0,3,1,0,0,1,1,1,0,5,2,3,0,5,0,0,14,1,5,1,1,1,3,0,0,0,0,0,0,1,1,4,2,1,0,1,1,5,2,0,0,1,2,5,1
15 - Κοζάνης,16 E.T. Δήμου Βοΐου,511,248,0,2,2,246,57,21,14,4,16,3,15,5,110,16,8,18,35,27,50,11,14,1,5,9,2,3,31,29,0,1,0,7,0,2,13,7,6,0,0,2,0,3,3,1,0,0,0,0,0,0,1,1,1,0,2,2,0,1,1,0,0,10,2,5,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,2,0
15 - Κοζάνης,17 E.T. Δήμου Βοΐου,527,295,5,3,8,287,63,19,5,4,11,14,9,12,122,11,12,28,27,31,67,9,10,1,3,6,2,0,37,34,1,4,0,6,1,2,7,5,3,0,1,0,0,2,10,3,1,1,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,19,4,11,2,2,1,4,0,0,0,0,0,0,0,0,5,2,0,2,3,0,6,1,1,1,0,1,4,3
15 - Κοζάνης,18 E.T. Δήμου Βοΐου,88,48,1,1,2,46,10,2,1,5,1,3,2,0,23,3,7,5,1,3,0,2,3,1,1,0,0,1,3,3,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,19 E.T. Δήμου Βοΐου,177,84,0,0,0,84,15,3,3,1,3,2,3,7,44,9,5,8,14,8,13,3,2,1,1,0,0,0,7,7,0,1,0,2,1,0,3,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,2,2,2,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
