ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΙΑΝΝΑΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αλεξάνδρου,ΖΕΪΜΠΕΚ ΧΟΥΣΕΪΝ του Χασάν,ΜΠΕΖΙΑΤ ΒΑΛΕΝΤΙΝΑ-ΛΥΓΙΑ του Βασιλείου,ΡΟΥΤΣΗ-ΕΥΑΓΓΕΛΙΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΣΤΟΓΙΑΝΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΠΑΥΛΙΔΟΥ ΜΑΡΙΝΑ του Γεωργίου,ΣΑΛΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΣΙΑΜΠΑΝ ΟΓΛΟΥ ΑΛΕΒ του Σουκρή,ΤΣΙΛΙΓΓΙΡΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Γεωργίου,ΧΑΤΖΗ ΜΕΜΙΣ ΤΟΥΡΚΕΣ του Μεχμέτ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΑΚΑΚΗΣ ΙΑΚΩΒΟΣ του Γαβριήλ,ΓΚΟΥΤΖΙΜΙΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΓΟΡΙΔΑΡΗ ΚΥΡΙΑΚΗ του Παναγιώτη,ΚΑΠΑΓΕΡΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΟΤΟΠΟΥΛΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΑΜΑΞΑ ΑΓΛΑΪΑ του Ευαγγέλου,ΑΝΤΩΝΙΑΔΗΣ ΑΝΕΣΤΗΣ του Κωνσταντίνου,ΚΑΡΑΛΙΔΗΣ ΦΩΤΙΟΣ του Γεωργίου,ΜΠΑΡΑΝ ΜΠΟΥΡΧΑΝ του Νετζαντή,ΣΑΦΕΡ ΟΓΛΟΥ ΝΕΡΙΜΑΝ του Χουσεΐν,Κ.Κ.Ε.,ΒΑΚΙΡΤΖΗΣ ΕΥΑΓΓΕΛΟΣ (ΜΠΑΚΕΡΟ) του Χρήστου,ΜΑΧΑΙΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Βίκτωρ,ΡΟΪΔΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΦΩΤΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Πολυκάρπου,ΧΑΤΖΟΓΛΟΥ ΜΟΥΡΑΤ του Σαμπρή,Ένωση Κεντρώων,ΚΥΡΙΑΚΙΔΟΥ ΣΟΝΙΑ του Σέργιου,ΜΠΑΛΤΑΤΖΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΡΑΠΑΣ ΑΛΚΙΒΙΑΔΗΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΟΥΡΟΥ ΕΛΕΥΘΕΡΙΑ του Θωμά,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΕΞΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Ευαγγέλου,ΜΗΛΙΑΖΗΜ ΤΖΕΜΑΛΗ του Μεχμέτ,Ελλήνων Συνέλευσις,ΚΑΡΑΚΑΣΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΤΟΤΙΕΦ ΕΙΡΗΝΗ του Σέργιου,ΤΣΕΡΝΟΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΕΥΘΥΜΙΑΔΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου,ΚΟΥΤΕΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΣΩΤΗΡΙΟΣ του Λεωνίδα,ΜΥΛΩΝΑΣ ΓΕΩΡΓΙΟΣ του Ανέστη,ΨΑΡΑΓΚΑΘΟΥ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΑΔΟΥ-ΜΑΡΙΟΛΗ ΜΑΡΙΑ του Παναγιώτη,ΙΩΑΝΝΙΔΟΥ ΕΛΙΣΣΑΒΕΤ (ΒΕΤΑ) του Κωνσταντίνου,ΚΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΚΟΣΟΓΛΟΥ ΜΟΥΖΑΦΕΡ του Ρασήμ,ΧΑΤΖΗΣΑΒΒΑΣ ΣΤΕΦΑΝΟΣ του Αποστόλου,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΤΣΙΚΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΡΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΟΣΜΙΔΗΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΧΑΡΑΛΑΜΠΙΔΟΥ ΕΛΙΣΣΑΒΕΤ του Δημητρίου,ΜέΡΑ25,ΓΙΑΝΝΙΚΗ ΕΛΙΣΣΑΒΕΤ του Ιωάννη,ΠΑΠΑΔΟΥΔΗΣ ΑΝΤΩΝΙΟΣ του Χριστοφόρου,ΤΣΑΜΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΕΡΜΗΓΚΑΣ ΓΕΩΡΓΙΟΣ -  ΑΝΔΡΟΜΑΧΟΣ του Δημητρίου,ΜΠΑΝΑ ΖΩΗ του Γεωργίου,ΤΣΙΜΠΕΡΙΔΗΣ ΙΩΑΝΝΗΣ του Βαλσάμη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΥΡΕΝΤΙΑΔΗΣ ΓΙΑΝΝΗΣ του Πέτρου
3 - Ξάνθης,1 E.T. Δήμου Αβδήρων,534,285,6,0,6,279,89,41,5,1,9,10,103,22,26,0,45,1,10,6,0,0,2,1,39,2,9,25,0,0,4,3,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,18,7,2,6,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,2,1,0,1,0,0,0,3,1
3 - Ξάνθης,2 E.T. Δήμου Αβδήρων,524,270,3,3,6,264,69,36,4,0,9,8,124,23,30,3,59,0,11,5,0,0,1,1,33,1,15,12,2,0,5,1,2,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,8,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,5,1,0,0,2,0
3 - Ξάνθης,3 E.T. Δήμου Αβδήρων,536,273,5,3,8,265,82,43,6,5,3,0,105,14,27,3,58,0,12,8,0,0,2,1,34,0,2,29,0,0,4,2,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,3,2,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,2,0,3,0,1,0,1,1
3 - Ξάνθης,4 E.T. Δήμου Αβδήρων,533,270,1,2,3,267,63,27,7,3,4,9,146,14,36,4,84,0,7,3,1,0,2,0,28,1,2,22,1,0,2,0,1,1,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,4,0,2,0,3,3
3 - Ξάνθης,5 E.T. Δήμου Αβδήρων,289,163,0,1,1,162,29,10,4,0,2,4,84,12,23,1,48,0,24,23,0,0,1,0,11,1,9,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
3 - Ξάνθης,6 E.T. Δήμου Αβδήρων,473,275,5,5,10,265,39,17,0,3,4,8,154,31,60,0,63,0,6,4,0,0,1,1,24,0,5,16,0,0,2,1,0,0,1,0,3,1,2,0,0,0,3,3,0,0,0,0,0,7,2,1,2,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,14,2,8,1,1,0,0,1,9,6
3 - Ξάνθης,7 E.T. Δήμου Αβδήρων,454,281,3,0,3,278,82,36,4,3,4,5,103,42,11,0,39,0,23,7,2,0,7,3,23,0,1,17,0,0,5,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,14,1,1,6,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,11,1,5,0,2,0,0,0,9,5
3 - Ξάνθης,8 E.T. Δήμου Αβδήρων,372,221,1,3,4,217,29,21,0,0,0,0,85,19,13,1,49,0,10,1,0,0,0,6,61,2,0,57,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,3,4,0,0,0,0,0,4,4
3 - Ξάνθης,9 E.T. Δήμου Αβδήρων,370,217,0,1,1,216,29,19,0,2,0,1,97,33,33,0,25,0,15,5,0,2,0,4,41,0,0,39,0,0,6,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,13,1,0,4,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,6,0,0,0,0,0,2,2
3 - Ξάνθης,10 E.T. Δήμου Αβδήρων,389,268,5,1,6,262,69,51,0,3,0,4,112,32,27,1,49,0,16,6,0,0,4,5,25,11,5,5,4,0,4,1,0,0,1,0,5,1,3,0,0,0,0,0,0,0,0,0,0,14,3,1,4,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,6,1,1,2,5,0,3,1,3,2
3 - Ξάνθης,11 E.T. Δήμου Αβδήρων,378,254,4,2,6,248,64,41,0,2,1,8,126,23,20,1,74,0,5,1,0,0,3,1,22,13,3,6,0,0,2,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,10,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,4,0,1,0,0,0
3 - Ξάνθης,12 E.T. Δήμου Αβδήρων,222,132,2,0,2,130,23,14,1,0,0,3,73,22,19,0,28,0,12,1,1,0,7,3,5,0,3,2,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,1,0,0,2,1
3 - Ξάνθης,13 E.T. Δήμου Αβδήρων,399,255,3,1,4,251,77,39,2,5,2,14,86,16,24,1,40,0,12,3,0,0,2,3,40,1,4,26,0,0,7,3,1,0,1,0,3,0,2,0,0,0,1,1,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,8,4,0,0,2,0,0,0,9,7
3 - Ξάνθης,14 E.T. Δήμου Αβδήρων,550,210,1,0,1,209,68,15,20,0,1,13,98,17,13,4,44,4,11,0,0,0,7,3,13,1,2,7,1,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1
3 - Ξάνθης,15 E.T. Δήμου Αβδήρων,552,252,5,3,8,244,87,33,11,1,1,27,75,10,24,5,23,6,17,1,1,0,11,0,19,0,6,11,0,0,18,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,2,3,3,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,6,2,1,0,3,0,2,0,2,0
3 - Ξάνθης,16 E.T. Δήμου Αβδήρων,553,204,2,2,4,200,90,31,7,3,2,22,67,15,13,0,24,7,9,1,0,0,7,1,5,0,0,1,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,7,3,1,0,2,0,1,0,1,0
3 - Ξάνθης,17 E.T. Δήμου Αβδήρων,548,225,4,1,5,220,84,38,16,0,3,19,60,12,28,0,15,1,12,0,1,0,7,4,15,1,9,4,0,0,19,0,18,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,14,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,1,1,3,0,2,0,2,2
