ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΡΑΨΑΝΙΩΤΗΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΚΑΖΑΜΙΑ ΕΙΡΗΝΗ του Εμμανουήλ,ΠΛΑΚΑΝΤΩΝΑΚΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΣΤΑΥΡΑΚΑΚΗ - ΛΟΥΤΡΙΑΝΑΚΗ ΧΡΥΣΗ του Δημητρίου,Νέα Δημοκρατία,ΛΑΓΚΩΝΑΚΗ ΜΑΡΙΑ (ΜΑΙΡΗ) του Εμμανουήλ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΝΕΚΤΑΡΙΟΣ του Θεόφιλου,ΠΑΠΑΚΑΛΟΥΣΗ - ΔΙΑΛΥΝΑ ΜΑΡΙΑ (ΜΑΙΡΗ) του Αχιλλέα,ΠΛΑΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΣΥΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου ,ΣΥΜΕΩΝΑΚΗ ΣΤΕΦΑΝΙΑ του Χριστόφορου,Κίνημα Αλλαγής,ΑΝΔΡΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ (ΣΟΥΛΑ) του Νικολάου,ΕΙΚΟΣΙΠΕΝΤΑΚΗΣ ΘΕΟΦΑΝΗΣ (ΦΑΝΗΣ) του Αντωνίου,ΚΛΩΝΤΖΑΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΨΥΛΛΙΝΑΚΗ - ΜΑΓΟΥΛΗ ΘΕΟΚΛΕΙΑ (ΚΛΑΙΡΗ) του Μιχαήλ,Κ.Κ.Ε.,ΑΒΔΗ ΕΛΕΝΗ του Ρωμύλου,ΔΑΛΑΒΕΡΟΥ - ΚΑΡΥΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΣΠΗΛΙΑΡΩΤΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΥΜΕΩΝΙΔΗΣ ΣΥΜΕΩΝ του Κωνσταντίνου,Ένωση Κεντρώων,ΑΠΟΣΤΟΛΙΔΟΥ ΒΑΣΙΛΕΙΑ του Χαραλάμπους,ΑΡΜΕΝΑΚΗΣ ΜΑΡΚΟΣ του Νικολάου,ΚΑΠΑΝΤΑΪΔΑΚΗ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΤΙΣΤΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΕΡΟΥΛΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΖΙΚΑ ΕΛΕΝΗ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΟΥΝΔΟΥΡΑΚΗΣ ΜΑΡΙΟΣ του Γεωργίου,ΠΕΔΙΑΔΙΤΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΣΙΑΓΚΑ ΕΥΑΓΓΕΛΙΑ του Σταμάτη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΝΕΙΑΤΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΞΕΡΑΚΗ ΠΑΡΘΕΝΑ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΔΕΛΟΓΚΟΣ ΘΕΟΔΩΡΟΣ του Ευστρατίου,ΠΑΞΙΜΑΔΑΚΗ ΚΑΛΛΙΟΠΗ του Επαμεινώνδα,Μ-Λ Κ.Κ.Ε.,ΚΟΡΝΑΡΟΣ ΜΙΛΤΙΑΔΗΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΕΥΑΓΓΕΛΙΔΑΚΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΚΟΥΤΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΜΑΥΡΙΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Λαϊκή Ενότητα,ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Συμεών,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ ΚΑΛΛΙΟΠΗ (ΚΑΛΗ) του Χρήστου,ΜέΡΑ25,ΖΩΓΡΑΦΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΜΠΟΥΡΛΑΚΗ - ΚΥΡΟΥΔΗ ΝΕΦΕΛΗ του Παράσχου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΔΡΟΥΛΙΔΑΚΗΣ ΜΑΤΘΑΙΟΣ του Γεωργίου,ΜΑΥΡΟΥ ΕΛΕΝΗ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΡΥΣΤΑΛΑΝΤΟΥ ΠΟΛΥΞΕΝΗ του Αναστασίου
56 - Λασιθίου,1 E.T. Δήμου Αγίου Νικολάου,499,389,7,3,10,379,115,96,1,3,0,139,5,21,6,84,4,2,0,62,13,1,38,1,6,2,0,0,2,3,1,0,1,0,0,2,0,0,10,1,2,6,0,15,8,1,1,1,0,0,0,6,1,3,0,1,2,1,0,11,6,0,1,1,0,2,2
56 - Λασιθίου,2 E.T. Δήμου Αγίου Νικολάου,525,320,5,3,8,312,109,88,1,6,1,116,1,22,4,78,5,0,0,40,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,2,0,0,1,0
56 - Λασιθίου,3 E.T. Δήμου Αγίου Νικολάου,522,339,5,1,6,333,108,70,2,7,2,114,3,14,4,73,8,4,4,43,14,0,25,0,9,2,2,0,2,7,1,1,1,0,0,2,0,1,4,0,1,3,0,12,12,0,1,1,0,0,0,3,0,0,0,3,5,4,0,13,6,0,1,1,0,3,0
56 - Λασιθίου,4 E.T. Δήμου Αγίου Νικολάου,523,319,10,0,10,309,97,73,6,6,1,132,11,26,5,76,7,0,0,34,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0
56 - Λασιθίου,5 E.T. Δήμου Αγίου Νικολάου,524,341,8,5,13,328,111,87,4,12,2,104,3,21,5,65,6,2,3,35,7,8,15,1,18,6,2,1,4,2,0,1,0,0,0,1,0,0,6,0,3,3,0,9,7,1,0,0,0,0,0,6,2,2,0,0,6,6,0,14,7,0,6,3,1,4,4
56 - Λασιθίου,6 E.T. Δήμου Αγίου Νικολάου,504,332,6,6,12,320,98,72,5,4,3,119,1,27,4,70,5,2,2,47,11,0,32,2,10,4,0,0,2,4,0,3,1,0,0,1,0,1,7,0,2,5,0,14,11,0,0,0,0,0,0,2,0,2,0,0,0,0,0,11,5,0,1,0,0,1,1
56 - Λασιθίου,7 E.T. Δήμου Αγίου Νικολάου,531,333,3,7,10,323,125,90,2,4,2,101,6,13,4,64,6,4,0,49,7,1,30,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,4,0,0,1,9,8,0,0,0,0,0,0,6,1,2,0,2,2,1,0,6,2,2,9,2,2,1,1
56 - Λασιθίου,8 E.T. Δήμου Αγίου Νικολάου,525,336,8,6,14,322,124,93,4,8,1,109,2,14,5,82,11,7,4,34,4,0,4,3,6,2,1,1,1,8,1,1,2,0,0,2,1,1,3,0,2,1,0,7,7,0,4,3,0,0,0,9,0,2,0,6,1,1,0,3,2,1,1,0,1,0,0
56 - Λασιθίου,9 E.T. Δήμου Αγίου Νικολάου,528,351,7,6,13,338,108,76,5,7,5,125,4,15,3,86,5,4,0,43,11,0,29,1,13,4,0,0,2,5,1,0,0,0,0,0,0,0,7,2,1,4,0,6,6,0,0,0,0,0,0,4,0,1,1,2,8,7,0,8,2,2,2,1,0,4,2
56 - Λασιθίου,10 E.T. Δήμου Αγίου Νικολάου,537,288,3,3,6,282,103,70,6,5,3,96,2,25,4,59,2,1,0,32,7,0,20,1,12,3,3,0,2,3,0,1,0,0,0,0,0,0,4,0,3,1,0,13,9,2,0,0,0,0,0,4,0,0,0,4,2,2,0,7,4,1,3,2,0,1,0
56 - Λασιθίου,11 E.T. Δήμου Αγίου Νικολάου,513,327,8,3,11,316,131,90,6,4,2,94,4,12,2,62,4,1,0,40,10,0,22,6,8,0,1,0,3,2,1,0,0,0,0,1,1,0,6,0,1,5,0,9,6,3,2,0,2,0,0,6,0,3,0,3,2,1,0,7,2,2,1,0,0,3,3
56 - Λασιθίου,12 E.T. Δήμου Αγίου Νικολάου,529,354,7,1,8,346,116,80,7,6,2,124,6,14,6,84,5,0,0,50,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,14,0,0,5,0,0,1,0
56 - Λασιθίου,13 E.T. Δήμου Αγίου Νικολάου,524,324,5,1,6,318,122,78,5,13,1,114,3,22,5,66,3,0,0,29,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,3,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,8,0,0,2,0,0,3,0
56 - Λασιθίου,14 E.T. Δήμου Αγίου Νικολάου,531,341,3,1,4,337,111,83,1,9,4,117,2,23,8,70,5,0,0,43,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,2,0,0,16,0,0,5,0,0,4,0
56 - Λασιθίου,15 E.T. Δήμου Αγίου Νικολάου,523,337,3,5,8,329,107,79,3,10,5,108,3,13,6,77,6,2,2,50,18,1,30,0,9,3,1,1,1,3,0,0,0,0,0,3,0,1,2,1,1,0,0,11,8,1,2,0,1,0,0,3,0,0,0,3,7,6,0,11,4,5,4,0,1,3,2
56 - Λασιθίου,16 E.T. Δήμου Αγίου Νικολάου,518,334,8,3,11,323,131,103,2,5,2,108,2,15,5,72,6,2,2,25,7,0,17,0,11,5,1,0,3,2,0,0,0,0,0,0,0,0,5,1,0,3,1,7,6,0,2,2,0,0,0,5,0,4,0,1,2,2,0,9,4,3,5,0,4,5,1
