ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΔΡΕΑΔΕΛΛΗ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΖΕΡΒΟΥ-ΤΕΝΤΟΜΑ ΜΑΡΙΑ του Σταύρου,ΚΟΤΣΑΛΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΠΟΥΡΝΟΥΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΛΛΗΣ ΓΕΩΡΓΙΟΣ του Ευστρατίου,Νέα Δημοκρατία,ΑΘΑΝΑΣΙΟΥ ΧΑΡΑΛΑΜΠΟΣ του Χριστόφα,ΒΑΛΣΑΜΙΔΗΣ ΘΕΟΔΩΡΟΣ του Σπυρίδωνος,ΓΟΜΟΣ ΔΗΜΗΤΡΙΟΣ του Ευστρατίου -  Παντελεήμονα,ΜΑΚΡΗ ΕΛΕΝΗ του Φωτίου,ΧΡΥΣΑΦΗ ΜΑΡΙΑ του Μόσχου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗ ΜΑΡΙΑ του Ιωάννη,ΓΥΛΑΡΗ ΑΝΑΣΤΑΣΙΑ του Μόσχου,ΧΑΡΑΛΑΜΠΗΣ ΜΑΡΙΟΣ του Παναγιώτη,Κίνημα Αλλαγής,ΓΙΑΚΑΛΗΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,ΓΙΑΝΝΟΥΛΕΛΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΡΟΜΜΥΔΑ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΜΗΛΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΧΟΧΛΑΚΑ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Θεοδώρου,Κ.Κ.Ε.,ΖΑΦΕΙΡΙΟΥ ΙΩΑΝΝΗΣ του Παναγιώτη,ΚΑΚΝΑΒΑΤΟΥ ΖΗΝΟΒΙΑ του Στυλιανού,ΚΛΙΟΜΙΔΙΩΤΗΣ ΘΕΜΙΣΤΟΚΛΗΣ του Ευστρατίου,ΚΟΜΝΗΝΑΚΑ ΜΑΡΙΑ του Αποστόλου,ΠΛΑΝΤΖΟΣ ΣΠΥΡΙΔΩΝ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΑΝΔΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Σάββα,ΖΟΥΡΕΛΗ ΧΑΡΙΚΛΕΙΑ του Βασιλείου,ΣΥΚΗ ΠΑΝΑΓΙΩΤΑ του Γρηγορίου,Ο.Κ.Δ.Ε.,ΜΑΝΩΛΙΑ ΕΛΕΝΗ του Ιγνατίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΖΑΜΠΡΑΣ ΧΡΗΣΤΟΣ -  ΑΛΕΞΑΝΔΡΟΣ του Ελευθερίου,ΖΩΓΡΑΦΙΣΤΟΥ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,ΚΛΕΙΔΩΝΑ ΙΣΜΗΝΗ του Ιωάννη,ΜΑΝΑΒΗΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,Ελλήνων Συνέλευσις,ΕΛΕΥΘΕΡΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΕΛΕΥΘΕΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΧΕΛΑ ΕΛΙΣΣΑΒΕΤ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΜΒΕΤΣΟΥ ΜΑΡΙΑΝΘΗ του Ευστρατίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΡΟΖΑΝΑ του Κωνσταντίνου,ΠΑΠΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Αγγέλου,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΟΥΛΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΧΟΥΒΑΡΔΑ ΙΩΑΝΝΑ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΛΕΟΝΤΗ ΑΝΑΣΤΑΣΙΑ του Ιπποκράτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΙΝΙΚΛΗ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΤΣΙΑΡΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΠΕΤΡΙΤΖΙΚΛΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Νικολάου,ΤΕΡΖΟΓΛΟΥ ΑΚΥΛΑΣ του Ηλία,Λαϊκή Ενότητα,ΖΕΡΔΕΛΗΣ ΙΩΑΝΝΗΣ του Χριστόφορου,ΚΟΥΤΛΗ ΠΑΠΑΔΟΥΛΑ του Γεωργίου,ΦΟΥΣΚΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΙΩΑΝΝΙΔΟΥ ΕΛΕΝΗ του Ιωάννη,ΚΟΛΙΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Ακριβάκη,ΜΠΟΥΡΛΑΚΗΣ ΠΑΡΑΣΧΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΧΤΣΑΒΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,ΛΕΩΝΙΔΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΤΣΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΙΑΜΑΝΤΖΙΟΥΡΑΣ ΣΤΑΥΡΟΣ (ΑΚΗΣ) του Δημητρίου
48 - Λέσβου,1 E.T. Δήμου Δυτικής Λέσβου,583,245,4,1,5,240,46,7,4,0,16,7,122,104,10,2,5,0,7,3,0,2,5,1,1,1,1,1,46,2,2,1,38,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
48 - Λέσβου,2 E.T. Δήμου Δυτικής Λέσβου,583,331,6,3,9,322,54,13,6,2,11,7,160,127,17,4,2,1,21,10,1,4,15,3,2,0,3,3,52,3,0,0,42,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,5,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,6,5
48 - Λέσβου,3 E.T. Δήμου Δυτικής Λέσβου,584,269,6,0,6,263,52,12,4,1,14,13,141,114,11,4,8,0,7,2,0,1,11,8,0,0,1,2,39,7,1,1,30,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,2,1,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0
48 - Λέσβου,4 E.T. Δήμου Δυτικής Λέσβου,584,257,1,2,3,254,45,4,4,3,13,13,143,117,16,1,5,0,6,3,1,1,10,6,0,0,0,2,39,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0
48 - Λέσβου,5 E.T. Δήμου Δυτικής Λέσβου,585,244,0,1,1,243,45,10,5,1,7,11,134,109,12,4,3,0,9,5,0,3,5,2,0,0,1,0,35,1,1,0,32,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,5,0
48 - Λέσβου,6 E.T. Δήμου Δυτικής Λέσβου,391,164,0,1,1,163,36,5,1,3,2,8,97,80,7,4,2,0,6,1,0,2,9,2,0,0,3,3,8,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48 - Λέσβου,7 E.T. Δήμου Μυτιλήνης,525,233,4,4,8,225,70,17,2,2,27,5,68,24,34,4,1,0,8,0,1,5,18,6,1,0,1,8,48,4,1,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,2
48 - Λέσβου,8 E.T. Δήμου Μυτιλήνης,524,245,3,1,4,241,63,11,2,3,28,9,92,38,31,5,11,0,12,2,1,1,9,3,0,0,1,4,45,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,2,1,0,0,0,0,0,0,0,0,6,3,0,0,6,1,2,1,0,0,0,0,1,1
48 - Λέσβου,9 E.T. Δήμου Μυτιλήνης,536,279,6,0,6,273,96,15,5,1,49,11,78,27,39,1,6,2,4,0,0,2,21,7,2,0,0,6,58,4,2,0,47,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,5,0,1,0,1,0,0,0,2,1
48 - Λέσβου,10 E.T. Δήμου Μυτιλήνης,535,252,2,1,3,249,61,8,3,3,23,12,88,42,32,4,5,0,8,5,0,1,19,7,2,0,0,8,67,2,2,1,53,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48 - Λέσβου,11 E.T. Δήμου Μυτιλήνης,539,218,4,1,5,213,70,5,4,2,34,8,67,24,37,0,4,0,7,2,0,2,17,7,0,0,0,7,34,4,3,0,22,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,5,2,0,0,1,0,0,0,1,0
48 - Λέσβου,12 E.T. Δήμου Μυτιλήνης,529,226,4,0,4,222,61,10,4,2,26,6,76,40,26,1,2,1,12,2,2,3,14,4,0,0,1,6,52,6,3,2,32,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48 - Λέσβου,13 E.T. Δήμου Μυτιλήνης,524,254,2,2,4,250,81,9,8,1,32,11,90,45,20,2,3,1,12,4,1,5,16,3,1,1,1,9,33,3,3,1,22,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,8,3,1,4,0,0,0,0,2,1
48 - Λέσβου,14 E.T. Δήμου Μυτιλήνης,593,294,4,2,6,288,82,13,3,1,25,16,90,43,20,6,6,0,6,1,0,3,24,10,2,0,2,6,56,28,3,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,3,1,0,0,1,0,5,3,0,0,0,3,2,0,0,2,1,0,0,1,1,0,0,5,5
48 - Λέσβου,15 E.T. Δήμου Μυτιλήνης,593,264,4,3,7,257,57,14,4,0,10,16,90,50,27,2,5,1,16,8,0,2,25,11,4,0,3,1,41,20,3,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,2,0,0,0,0,0,4,3,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,8,5
48 - Λέσβου,16 E.T. Δήμου Μυτιλήνης,404,260,3,4,7,253,63,8,1,0,17,20,125,88,21,5,6,1,6,3,0,0,19,4,3,0,4,5,20,7,2,0,2,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,0,1,0,0,0,1,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,1
