ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΑΚΟΝΤΑΕΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΚΑΤΩΠΟΔΗ ΖΩΗ (ΖΕΤΑ) του Αγγέλου,ΣΤΑΥΡΑΚΑ ΜΑΥΡΕΤΑ του Ιωάννη,Νέα Δημοκρατία,ΑΥΓΕΡΙΝΟΥ ΓΕΩΡΓΙΑ του Βησσαρίωνος,ΚΑΒΒΑΔΑΣ ΑΘΑΝΑΣΙΟΣ του Ιωάννη,ΚΑΤΩΠΟΔΗ ΑΡΓΥΡΗ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΛΟΓΓΙΟΣ ΧΡΗΣΤΟΣ του Διονυσίου,Κίνημα Αλλαγής,ΚΩΝΣΤΑΝΤΙΝΙΔΗ - ΡΕΚΑΤΣΙΝΑ ΣΕΒΑΣΤΗ του Αλεξάνδρου,ΛΟΥΒΡΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σπυροφάνη,ΡΑΠΤΗΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνος,Κ.Κ.Ε.,ΒΕΡΓΙΝΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΒΕΡΟΙΩΤΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΛΑ ΚΑΡΥΔΗ ΔΑΝΑΗ του Έκτορα - Ευγένιου,Ένωση Κεντρώων,ΓΑΛΛΟΥ ΠΑΝΑΓΙΩΤΑ του Αδάμ,ΛΟΥΚΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΓΟΥΤΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΣΤΑΥΡΟΥΛΑΚΗΣ ΑΝΑΡΓΥΡΟΣ του Μιχαήλ,ΦΕΡΕΝΤΙΝΟΥ ΑΝΑΣΤΑΣΙΑ (ΤΑΣΙΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΣΤΗ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΚΤΕΝΑΣ ΓΕΩΡΓΙΟΣ του Παντελή,Κ.Κ.Ε. (μ-λ),ΕΥΘΥΜΙΟΥ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΜΑΚΡΙΔΗΣ ΙΩΑΝΝΗΣ του Χρήστου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΛΟΓΟΘΕΤΗ ΕΛΕΝΗ του Δημητρίου,Λαϊκή Ενότητα,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Λάμπρου,ΜέΡΑ25,ΧΑΡΚΙΟΛΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου
27 - Λευκάδας,1 E.T. Δήμου Λευκάδας,281,122,0,2,2,120,22,9,5,5,72,11,49,11,4,2,0,0,0,0,6,1,4,0,1,1,0,0,0,0,0,0,4,0,2,1,0,1,1,0,0,0,0,9,3,0,0,0,0
27 - Λευκάδας,2 E.T. Δήμου Λευκάδας,472,161,3,0,3,158,41,27,2,3,72,5,49,14,4,2,26,6,0,19,5,1,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,3,2,0,0,3,1
27 - Λευκάδας,3 E.T. Δήμου Λευκάδας,529,203,2,1,3,200,32,12,5,6,113,9,72,23,12,2,19,3,3,11,5,0,0,4,2,0,0,0,0,2,2,0,3,0,2,0,0,0,0,0,0,0,0,8,2,2,1,2,0
27 - Λευκάδας,4 E.T. Δήμου Λευκάδας,371,153,3,0,3,150,33,19,7,3,56,5,42,8,6,1,28,11,0,10,15,2,1,4,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,1,0,0,3,1,0,0,2,0
27 - Λευκάδας,5 E.T. Δήμου Λευκάδας,284,142,3,4,7,135,25,11,3,3,81,4,52,18,5,4,9,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1,0,0,2,0,2,1,5,3
27 - Λευκάδας,6 E.T. Δήμου Λευκάδας,308,150,2,0,2,148,31,12,4,5,90,8,64,14,6,2,7,3,0,3,4,1,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1
27 - Λευκάδας,7 E.T. Δήμου Λευκάδας,303,144,2,1,3,141,31,11,5,6,87,6,47,28,4,2,9,1,0,7,3,0,1,1,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0
27 - Λευκάδας,8 E.T. Δήμου Λευκάδας,227,66,0,0,0,66,5,3,0,1,48,2,34,12,0,0,10,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
27 - Λευκάδας,9 E.T. Δήμου Λευκάδας,361,147,1,0,1,146,56,37,9,4,59,1,46,12,3,3,7,1,0,6,5,1,1,1,0,0,0,0,0,0,0,0,5,0,4,1,1,0,0,1,1,2,2,4,2,0,0,3,3
27 - Λευκάδας,10 E.T. Δήμου Λευκάδας,148,41,0,0,0,41,20,8,4,1,16,0,15,1,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27 - Λευκάδας,11 E.T. Δήμου Λευκάδας,382,158,9,2,11,147,28,18,2,3,89,1,61,26,5,3,11,0,0,9,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,2,1,3,1
27 - Λευκάδας,12 E.T. Δήμου Λευκάδας,265,101,0,1,1,100,32,10,0,6,43,10,29,3,6,5,8,3,0,5,2,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,1,1,0,0,2,1
27 - Λευκάδας,13 E.T. Δήμου Λευκάδας,315,137,7,2,9,128,27,8,3,8,80,2,49,20,4,2,9,0,0,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,0,0,0
27 - Λευκάδας,14 E.T. Δήμου Λευκάδας,242,111,2,1,3,108,17,11,2,1,56,6,34,12,3,2,0,0,0,0,23,4,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3
