ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΕΥΑΓΓΕΛΟΣ (ΑΚΗΣ) του Αθανασίου,ΚΑΡΑΠΑΤΑΚΗΣ ΗΛΙΑΣ του Κωνσταντίνου,ΚΟΚΚΙΝΑΚΗ ΦΩΤΕΙΝΗ του Δημητρίου,ΚΟΥΤΣΙΦΕΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜΕΪΚΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΜΠΑΛΛΗΣ ΣΥΜΕΩΝ (ΜΑΚΗΣ) του Γεωργίου,ΠΑΠΑΝΑΤΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Στεργίου,ΧΡΥΣΟΒΕΛΩΝΗ ΜΑΡΙΝΑ του Γεωργίου,Νέα Δημοκρατία,ΑΝΑΓΝΩΣΤΟΥ ΖΑΦΕΙΡΟΥΛΑ του Χαράλαμπου,ΚΑΛΤΣΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΛΙΟΥΠΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΜΑΚΡΗ ΖΩΗ (ΖΕΤΤΑ) του Μιχαήλ,ΜΑΡΑΒΕΓΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αριστοτέλη,ΜΠΟΥΚΩΡΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΠΑΤΣΟΓΙΑΝΝΗ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΤΡΙΑΝΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΛΑΧΑΚΗ ΜΑΡΙΑ του Χρήστου,ΗΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΚΑΛΟΥΤΣΑΣ ΑΡΤΕΜΙΟΣ του Ματθαίου,ΚΩΣΤΟΠΟΥΛΟΥ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΙΦΙΓΕΝΕΙΑ (ΕΦΗ) του Αθανασίου,ΠΕΤΡΟΥΛΙΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ (ΑΚΗΣ ) του Ιωάννη,ΣΥΡΟΣ ΓΕΩΡΓΙΟΣ του Χρίστου,ΣΥΡΤΑΔΙΩΤΗΣ ΘΕΟΔΩΡΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΙΩΑΝΝΗΣ του Ιωάννη,ΜΠΕΛΤΖΕΝΙΤΗ ΜΑΓΔΑΛΗΝΗ (Μάνια) του Χρήστου,ΠΛΑΣΤΑΡΑΣ ΤΡΥΦΩΝ του Ευσταθίου,ΣΑΚΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΦΟΡΤΟΥΝΑ ΕΛΕΝΗ του Νικολάου,ΧΑΤΖΗΔΗΜΗΤΡΙΟΥ ΦΩΤΙΟΣ του Ιωάννη,ΧΑΥΤΟΥΡΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΧΡΙΣΤΟΔΟΥΛΙΑ ΕΛΕΝΗ του Κωνσταντίνου,Κ.Κ.Ε.,ΑΚΡΙΒΟΥ ΜΥΡΤΩ του Αποστόλου,ΡΗΓΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Αποστόλου,ΡΙΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Δημητρίου,ΡΟΥΣΗ - ΚΩΤΗ ΑΓΟΡΗ (ΡΙΤΣΑ) του Γεωργίου,ΡΟΥΣΣΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΣΤΕΡΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ελευθερίου,ΤΖΙΟΥΜΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΤΣΑΛΟΥΧΑΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ένωση Κεντρώων,ΒΟΥΛΓΑΡΗ ΕΙΡΗΝΗ-ΧΡΥΣΟΒΑΛΑΝΤΟΥ του Εμμανουήλ,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Τρύφωνα,ΚΑΒΑΔΕΛΛΑ ΑΘΗΝΑ του Κωνσταντίνου,ΜΠΟΓΟΣΙΑΝ ΑΡΑΜ του Χραντ,ΠΕΤΣΗΣ ΙΩΑΝΝΗΣ του Ευρυπίδη,ΧΡΙΣΤΟΠΟΥΛΟΥ ΕΥΤΥΧΙΑ του Σπυρίδωνα,Ο.Κ.Δ.Ε.,ΣΓΟΥΡΑΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΓΓΙΝΑ ΗΡΩ του Θεοδοσίου,ΠΑΠΑΕΥΣΤΑΘΙΟΥ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΣΚΟΥΦΟΓΛΟΥ ΕΜΜΑΝΟΥΗΛ - ΣΤΥΛΙΑΝΟΣ του Παναγιώτη,ΣΤΕΦΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΧΟΥΛΙΑΡΑ ΓΡΑΜΜΑΤΟΥΛΑ (ΜΑΤΙΝΑ) του Βασιλείου,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΔΗΜΗΤΡΙΟΣ του Ευαγγέλου,ΚΑΜΠΟΥΡΗ ΕΥΑΓΓΕΛΙΑ του Σπυρίδωνα-Εμμανουήλ,ΚΑΤΣΑΜΠΑΣ ΒΑΪΟΣ του Γεωργίου,ΠΑΝΑΓΙΩΤΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ευαγγέλου,ΡΟΪΔΗ ΙΩΑΝΝΑ-ΜΑΡΙΑ του Βασιλείου,ΣΑΜΑΡΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Ιωάννη,ΧΑΤΖΟΠΟΥΛΟΥ ΕΛΕΝΗ χήρα Γεωργίου,ΧΛΕΜΠΟΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΜΗΛΙΟΡΔΟΥ ΕΛΕΝΗ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΜΕΝΤΖΙΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΓΙΑΝΝΙΤΣΑΚΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΜΑΡΚΑΚΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΜΑΡΚΑΤΑ ΑΘΑΝΑΣΙΑ του Ευθυμίου,ΜΠΕΝΟΥ ΑΝΘΟΥΛΑ-ΕΙΡΗΝΗ του Θεοδώρου,ΠΑΡΑΠΑΡΕΚΗ ΜΑΓΔΑΛΗΝΗ του Νικολάου,ΠΛΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Λεωνίδα,ΤΣΑΚΑΝΙΚΑΣ ΑΠΟΣΤΟΛΟΣ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΕΑΤΟΣ ΓΡΗΓΟΡΙΟΣ του Γερασίμου,ΒΛΑΧΟΣΤΑΜΑΤΗΣ ΕΜΜΑΝΟΥΗΛ του Παντελή,ΚΟΥΤΣΙΜΠΟΥ ΕΛΕΝΗ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΑΒΤΖΗΑΣΛΑΝ ΑΠΟΣΤΟΛΟΣ του Φανουρίου,ΜΑΡΚΟΒΗ ΜΑΡΙΑ του Σταύρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΙΡΙΣ - ΑΣΗΜΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Αριστοτέλη,ΒΛΑΣΣΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΓΚΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ του Ευσταθίου,ΚΑΡΑΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ του Χρήστου,ΚΟΥΜΠΑΡΕΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΑΥΡΟΜΜΑΤΗ ΚΑΙΡΟΥ του Παναγιώτου,Λαϊκή Ενότητα,ΑΥΓΕΡΙΝΟΥ-ΚΟΥΝΑΤΙΔΗ ΕΛΕΝΗ του Ηλία,ΓΙΑΝΚΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜΠΑΛΛΑ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΠΕΦΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΜέΡΑ25,ΑΓΓΕΛΟΥΣΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΒΛΑΧΟΣ ΙΩΑΝΝΗΣ του Μιλτιάδη,ΕΥΑΓΓΕΛΑΚΗΣ ΑΠΟΣΤΟΛΟΣ-ΗΛΙΑΣ του Ιωάννη,ΚΑΡΑΔΗΜΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΙΡΜΙΖΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΑΝΝΑ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΕΛΛΙΟΥ ΜΑΡΙΑ του Βλασίου,ΓΕΩΡΓΟΥΔΗΣ ΔΙΑΝΕΛΟΣ του Γεωργίου,ΠΑΠΑΠΟΣΤΟΛΟΥ ΗΛΙΑΣ του Μιχαήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΪΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΚΟΥΒΙΝΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΠΑΤΣΙΑΝΤΑΣ ΜΑΡΓΑΡΙΤΗΣ του Ρήγα
23 - Μαγνησίας,1 E.T. Δήμου Αλμυρού,567,354,4,6,10,344,78,6,2,1,3,14,2,50,22,170,5,20,37,22,30,120,7,27,13,7,7,2,0,0,0,4,0,23,3,0,1,0,1,21,2,1,21,16,0,0,1,0,9,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,12,2,1,5,2,2,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13,4,1,1,5,3,0,3,0,2,2,4,1,1,1
23 - Μαγνησίας,2 E.T. Δήμου Αλμυρού,565,365,6,2,8,357,99,6,3,5,6,20,8,60,23,172,2,9,36,21,51,107,11,27,17,5,11,2,1,1,1,4,0,28,4,2,2,4,1,20,2,1,10,10,0,1,0,0,6,0,0,4,2,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0,12,1,0,0,5,1,4,1,0,0,0,3,0,1,1
23 - Μαγνησίας,3 E.T. Δήμου Αλμυρού,553,365,4,1,5,360,99,15,8,4,5,17,3,55,28,154,3,16,26,24,34,109,10,27,12,1,8,3,0,0,0,4,1,33,8,2,8,0,0,24,5,0,17,13,3,0,0,1,6,1,1,5,3,1,0,1,0,3,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,2,0,0,0,0,18,3,5,1,6,3,5,0,0,0,0,8,4,4,3
23 - Μαγνησίας,4 E.T. Δήμου Αλμυρού,569,356,8,4,12,344,71,22,16,4,2,8,2,41,18,173,1,17,38,27,32,124,4,31,14,4,8,0,0,0,0,4,1,28,0,0,2,2,1,23,5,0,15,7,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,15,2,1,5,2,1,1,2,1,0,0,0,0,0,0,0,4,0,0,1,1,1,0,1,1,1,0,0,13,3,0,1,5,2,3,2,0,1,1,4,2,2,1
23 - Μαγνησίας,5 E.T. Δήμου Αλμυρού,566,356,3,7,10,346,94,5,8,4,2,13,6,59,23,170,0,33,38,53,36,120,6,46,11,1,6,1,1,0,0,5,2,19,1,2,1,1,0,12,3,1,20,16,0,2,1,0,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,7,4,0,3,1,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,4,0,1,0,0,0,0,2,1,1,0
23 - Μαγνησίας,6 E.T. Δήμου Αλμυρού,543,358,8,3,11,347,89,5,7,3,3,10,0,47,26,190,1,24,42,44,31,100,6,44,8,1,6,2,0,0,0,2,0,22,1,0,0,3,0,16,4,1,7,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,8,1,1,0,5,0,1,1,0,0,0,8,0,1,1
23 - Μαγνησίας,7 E.T. Δήμου Αλμυρού,558,349,4,2,6,343,85,3,7,0,3,11,3,54,19,135,1,9,41,28,31,82,4,23,12,0,9,1,1,2,0,6,0,49,7,2,8,5,3,34,10,1,19,16,2,0,1,0,9,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,9,2,1,3,2,1,1,1,0,2,1,0,0,0,0,0,6,1,1,1,1,2,3,2,0,0,1,1,11,3,3,0,3,1,0,3,1,0,0,7,1,1,1
23 - Μαγνησίας,8 E.T. Δήμου Αλμυρού,563,385,2,4,6,379,84,0,7,9,2,17,2,61,24,197,1,29,66,32,32,121,7,30,18,2,7,1,0,0,0,4,1,29,0,0,1,1,1,21,3,4,8,7,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,1,0,2,1,1,0,2,1,1,0,0,0,0,3,1,0,0,2,2,1,0,0,0,0,0,10,1,2,1,2,0,2,5,2,1,1,10,2,2,1
23 - Μαγνησίας,9 E.T. Δήμου Αλμυρού,564,373,7,1,8,365,86,1,0,3,1,13,1,59,20,193,2,14,37,39,26,123,11,0,13,1,7,1,1,0,0,5,1,41,0,0,6,1,2,34,6,2,5,4,0,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,7,0,0,1,3,1,0,2,0,0,0,7,1,0,0
23 - Μαγνησίας,10 E.T. Δήμου Αλμυρού,544,344,3,0,3,341,77,4,8,7,1,13,2,50,19,192,6,22,57,37,33,109,10,34,6,0,4,2,1,0,0,0,0,19,1,0,1,4,0,16,2,1,19,12,0,1,0,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,1,4,5,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,8,4,1,0,2,2,3,0,0,0,0,3,1,0,1
23 - Μαγνησίας,11 E.T. Δήμου Αλμυρού,554,356,4,2,6,350,77,6,6,4,1,16,1,55,25,166,2,22,49,27,27,89,8,38,24,2,13,1,1,1,2,8,2,28,7,1,7,0,0,18,1,3,19,12,2,1,0,0,12,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,1,1,0,1,1,9,2,2,2,2,2,0,0,1,0,0,0,0,1,0,0,7,1,0,0,2,2,1,1,1,1,0,0,7,1,2,0,2,0,0,1,0,0,0,3,1,1,0
23 - Μαγνησίας,12 E.T. Δήμου Αλμυρού,560,376,6,2,8,368,76,6,6,3,3,13,4,40,12,211,2,19,45,49,50,118,9,31,11,3,8,0,2,0,1,4,2,28,0,0,5,1,1,21,3,1,11,5,0,0,1,2,4,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,2,1,3,1,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,1,1,0,0,0,0,0,10,2,1,1,4,1,3,1,1,1,0,4,1,2,1
23 - Μαγνησίας,13 E.T. Δήμου Αλμυρού,562,364,4,5,9,355,100,7,4,4,5,20,5,64,32,160,8,15,27,27,50,84,14,30,13,0,8,2,0,0,3,5,0,30,1,0,3,2,3,26,2,2,17,11,0,2,3,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,3,4,0,0,3,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,9,1,1,0,6,1,0,6,2,2,0,4,0,4,2
23 - Μαγνησίας,14 E.T. Δήμου Αλμυρού,198,150,0,1,1,149,13,1,1,0,0,3,0,8,5,113,0,8,69,7,13,75,3,25,6,1,5,1,0,0,0,3,0,4,0,0,1,0,0,3,0,0,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,15 E.T. Δήμου Αλμυρού,139,79,2,0,2,77,17,4,2,5,2,0,0,5,2,22,0,0,4,1,3,17,0,7,2,0,1,0,0,0,1,0,0,27,1,0,1,0,0,27,1,0,6,4,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,16 E.T. Δήμου Αλμυρού,189,105,1,1,2,103,25,1,3,2,1,1,1,12,8,44,1,0,10,10,11,25,4,11,2,0,1,0,0,0,1,0,0,24,0,0,0,0,1,24,0,0,5,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,17 E.T. Δήμου Αλμυρού,317,219,2,1,3,216,65,2,5,3,1,6,0,38,15,91,0,4,13,9,20,36,12,45,5,3,3,1,0,0,0,0,0,23,1,0,2,2,1,18,3,2,11,7,1,2,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,1,1,1,2,1,1,0,0,0,0,2,0,0,1
23 - Μαγνησίας,18 E.T. Δήμου Αλμυρού,502,358,5,4,9,349,83,7,3,6,4,4,3,50,25,190,0,17,63,23,39,115,1,58,17,4,9,1,1,1,0,5,0,24,1,0,5,0,0,23,0,1,10,6,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,6,0,1,1,0,0,0,3,0,1,1
23 - Μαγνησίας,19 E.T. Δήμου Αλμυρού,511,348,10,3,13,335,60,1,3,7,1,12,1,39,15,185,0,9,42,48,43,98,4,41,14,0,10,4,1,0,0,4,0,39,6,0,1,4,2,34,6,1,8,4,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,3,1,5,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,1,2,2,1,0,0,0,0,0,0,0
