ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΖΑΧΑΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Αντωνίου,ΚΕΛΕΠΟΥΡΗ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΚΟΖΟΜΠΟΛΗ - ΑΜΑΝΑΤΙΔΗ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΙΝΕΑΣ ΠΕΤΡΟΣ του Νικολάου,ΠΑΤΣΑΡΙΝΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΧΑΡΙΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΞΗΣ) του Βύρωνα,Νέα Δημοκρατία,ΚΟΥΜΑΝΤΟΥ ΠΑΝΑΓΙΩΤΑ (ΠΙΠΙΝΑ) του Παναγή,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΣΑ) του Κυριάκου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΜΑΝΤΑΣ ΠΕΡΙΚΛΗΣ του Παντελή,ΝΤΙΝΤΑ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΣΑΜΑΡΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΡΥΣΟΜΑΛΛΗΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Παναγιώτη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΟΙΜΟΝΟΣ ΒΑΣΙΛΗΣ του Ιωάννη,ΚΕΤΣΕΑ ΦΡΙΝΤΑ του Θρασύβουλου,ΞΕΝΟΥΛΗ ΔΕΣΠΟΙΝΑ του Σπυρίδωνος,ΠΑΝΟΥΣΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Δημητρίου,ΡΟΥΣΣΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κίνημα Αλλαγής,ΑΛΕΥΡΑΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΑΝΤΩΝΟΠΟΥΛΟΣ ΑΓΓΕΛΟΣ του Νικολάου,ΒΑΡΕΛΑ ΒΑΣΙΛΙΚΗ του Νικήτα,ΓΕΡΟΝΙΚΟΛΟΣ ΜΕΝΕΛΑΟΣ του Κωνσταντίνου,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΝΤΟΥΡΑΤΖΗ (ΜΠΛΑΝΑ) ΑΘΗΝΑ του Αθανασίου,ΠΙΕΡΡΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,Κ.Κ.Ε.,ΚΑΝΤΖΙΛΙΕΡΗ ΧΡΙΣΤΙΝΑ - ΕΛΕΥΘΕΡΙΑ του Παναγιώτη,ΚΟΥΤΟΥΜΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σαράντου,ΚΟΥΦΑΛΑΚΟΥ ΕΥΑΓΓΕΛΙΑ του Παναγιώτη,ΛΑΜΠΡΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΜΥΡΝΗΣ ΑΡΓΥΡΙΟΣ του Αντωνίου,ΧΡΗΣΤΕΑ ΣΤΕΛΛΑ του Νικολάου,Ένωση Κεντρώων,ΑΡΓΥΡΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΚΑΡΥΔΗ ΕΥΔΟΚΙΑ - ΑΘΑΝΑΣΟΥΛΑ του Αντωνίου,ΜΠΑΚΑΣ ΦΩΤΙΟΣ του Αθανασίου,ΡΗΓΑ ΑΝΑΣΤΑΣΙΑ του Αντωνίου,ΧΡΙΣΤΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ισαάκ - Ευάγγελου,Ο.Κ.Δ.Ε.,ΠΑΠΑΘΑΝΑΣΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΡΑΝΤΖΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ηλία,ΚΑΠΕΤΑΝΑΚΗ ΓΑΡΥΦΑΛΛΙΑ του Αποστόλου,ΚΑΤΣΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΠΕΤΡΑΚΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαράλαμπου,Ελλήνων Συνέλευσις,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΗΛΙΑΣ του Σπήλιου,ΑΛΕΞΟΠΟΥΛΟΥ ΜΑΡΙΑ του Αθανασίου,ΓΕΩΡΓΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΚΑΤΣΙΡΕΑΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΑΜΨΩΝΑ ΑΘΗΝΑ του Σπυρίδωνος,ΣΩΦΡΟΝΑ ΜΑΡΙΑ του Χρήστου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΡΑΤΑΣΗ ΘΕΟΔΩΡΑ του Αδάμ,ΚΑΝΙΩΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδωνος,ΚΑΡΑΜΠΙΝΗΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΥΣΤΑΘΙΟΣ του Βασιλείου,ΣΠΑΘΗ ΜΑΡΙΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΒΑΡΣΟΥ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΥΓΕΝΙΟΣ του Ευσταθίου,Μ-Λ Κ.Κ.Ε.,ΚΑΤΣΑΦΑΔΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Παναγιώτη,Λαϊκή Ενότητα,ΔΕΤΑΣ ΠΟΥΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ - ΑΝΤΩΝΙΟΣ του Σπυρίδωνος,ΔΟΥΛΑΜΗ ΠΕΤΡΟΥΛΑ του Χαράλαμπου,ΜΗΤΣΗ ΜΑΡΙΑ του Δημητρίου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Ιωάννη,ΜέΡΑ25,ΑΛΕΞΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΑΚΑΒΑΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Στυλιανού,ΚΥΒΕΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΑΝΩΛΑΚΑΚΗ ΕΛΕΝΗ του Ιωάννη,ΣΑΡΔΕΛΗ ΜΑΡΙΑ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΔΑΡΑΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΚΑΣΙΜΑΤΗ ΕΛΕΥΘΕΡΙΑ του Χαράλαμπου,ΛΙΒΑΣ ΠΕΡΙΚΛΗΣ του Βασιλείου,ΤΣΑΝΤΟΥΛΗ ΗΛΕΚΤΡΑ του Γεωργίου,ΧΑΡΜΠΙΛΑΣ ΒΑΣΙΛΕΙΟΣ του Περικλή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΑΛΛΗΣ ΑΘΑΝΑΣΙΟΣ-ΓΕΩΡΓΙΟΣ (ΑΚΗΣ) του Νικολάου
46 - Μεσσηνίας,1 E.T. Δήμου Δυτικής Μάνης,313,208,1,4,5,203,69,1,5,59,7,5,1,26,101,13,15,53,8,12,0,36,9,5,4,0,1,1,5,4,0,1,1,1,0,0,6,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,2 E.T. Δήμου Δυτικής Μάνης,318,196,4,1,5,191,77,4,9,59,8,5,4,19,84,7,22,44,8,5,0,38,7,5,3,2,0,0,4,1,0,1,2,0,2,1,7,1,5,2,0,0,0,5,2,1,2,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,3 E.T. Δήμου Δυτικής Μάνης,469,302,6,2,8,294,85,4,6,58,17,7,4,38,149,17,46,58,22,12,0,63,14,4,3,1,1,4,11,7,1,3,0,0,1,4,8,4,1,1,1,0,0,2,2,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,8,4,1,3,2,2,0,0,0,0,0,1,0,2,2,2,0,0,0,6,0,1,0,2,3,0,0,0,0,0,0,6,4
46 - Μεσσηνίας,4 E.T. Δήμου Δυτικής Μάνης,87,60,0,1,1,59,17,0,1,10,3,3,0,5,36,7,4,16,4,7,0,11,4,2,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,5 E.T. Δήμου Δυτικής Μάνης,461,282,2,8,10,272,68,7,3,29,15,9,3,36,139,27,20,61,32,20,0,40,7,2,1,0,0,3,10,3,1,1,7,0,1,1,14,3,5,2,1,0,0,11,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,15,6,1,4,3,0,0,0,0,1,1,1,0,2,0,0,0,0,0,7,2,0,4,1,2,0,0,0,0,0,0,6,3
46 - Μεσσηνίας,6 E.T. Δήμου Δυτικής Μάνης,291,164,2,0,2,162,44,0,1,15,16,0,0,19,73,4,18,26,12,18,0,18,4,1,0,1,0,0,27,15,0,2,15,2,7,1,5,0,4,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,7 E.T. Δήμου Δυτικής Μάνης,205,86,1,1,2,84,20,7,2,1,10,0,1,5,45,5,12,26,6,3,8,14,6,4,0,1,0,3,5,2,0,1,3,1,3,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,8 E.T. Δήμου Δυτικής Μάνης,522,324,7,2,9,315,92,5,10,45,15,9,2,43,142,19,19,85,10,16,0,40,10,1,1,1,2,4,19,4,0,0,10,0,1,0,15,1,4,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,1,9,1,1,1,0,1,0,0,0,6,3
46 - Μεσσηνίας,9 E.T. Δήμου Δυτικής Μάνης,306,179,3,1,4,175,60,0,7,31,13,6,3,25,71,13,3,45,6,7,0,10,3,2,0,0,0,1,14,10,1,1,1,0,1,0,12,2,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,6,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,0,2,2
46 - Μεσσηνίας,10 E.T. Δήμου Δυτικής Μάνης,549,331,6,2,8,323,75,6,24,23,19,9,2,27,143,40,18,80,17,2,0,37,2,0,0,0,0,0,28,12,1,0,12,9,1,2,36,6,12,0,4,0,0,29,3,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,13,5,0,5,1,3,0,0,0,0,0,5,1,2,0,0,0,0,0,11,1,0,6,2,2,1,0,0,0,0,0,3,1
46 - Μεσσηνίας,11 E.T. Δήμου Δυτικής Μάνης,532,275,3,0,3,272,73,6,40,16,14,7,3,26,142,17,24,42,23,15,18,89,6,4,1,1,1,2,5,4,1,1,2,0,0,2,13,3,4,2,0,1,0,10,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,6,1,2,1,0,0,1,0,2,2,2,2,2,0,0,0,12,4,0,10,3,3,2,0,0,0,0,1,2,0
46 - Μεσσηνίας,12 E.T. Δήμου Δυτικής Μάνης,157,61,0,0,0,61,16,3,2,4,11,0,1,4,34,3,8,7,12,3,3,18,2,2,2,0,0,0,1,0,0,1,0,0,0,0,4,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2
46 - Μεσσηνίας,13 E.T. Δήμου Δυτικής Μάνης,512,204,1,2,3,201,75,6,25,16,16,14,1,27,66,10,19,15,2,2,12,45,2,1,0,0,0,0,7,5,0,1,1,2,1,0,28,7,9,7,1,0,1,10,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,6,1,0,3,0,0,1,0,1,0,0,0,3,3
46 - Μεσσηνίας,14 E.T. Δήμου Δυτικής Μάνης,258,108,0,4,4,104,27,2,0,4,11,3,2,6,54,8,8,22,3,8,11,33,5,2,3,3,0,0,6,3,1,0,1,2,0,0,3,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1,0,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,15 E.T. Δήμου Δυτικής Μάνης,385,157,1,1,2,155,34,1,17,13,7,2,1,13,98,6,5,59,8,10,0,40,3,1,1,0,0,0,3,1,0,0,1,0,0,0,6,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1
46 - Μεσσηνίας,16 E.T. Δήμου Δυτικής Μάνης,118,43,0,0,0,43,3,0,0,3,3,0,0,0,31,3,10,9,0,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,1,0,1,0,0,0,0,0
46 - Μεσσηνίας,17 E.T. Δήμου Δυτικής Μάνης,253,96,1,0,1,95,29,0,10,13,16,3,1,8,38,10,1,17,2,0,9,19,1,1,0,0,0,1,5,4,0,0,0,1,0,0,5,2,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,1,9,0,0,8,3,0,1,0,1,0,1,0,0,0
46 - Μεσσηνίας,18 E.T. Δήμου Δυτικής Μάνης,456,138,2,1,3,135,31,1,14,6,11,3,3,5,65,20,5,29,8,1,7,25,5,3,3,1,2,0,14,8,1,2,5,1,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,5,0,4,1,1,0,1,0,1,0,0,2,2,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,0,0,0,1,0
