ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΛΕΝΤΖΑΣ ΣΠΥΡΙΔΩΝ του Σωτηρίου,ΚΡΙΤΣΙΜΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΜΠΑΡΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοφάνη,ΜΠΟΤΖΙΟΥ ΓΕΩΡΓΙΑ του Μιλτιάδη,Νέα Δημοκρατία,ΓΙΑΝΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,ΚΟΝΤΑΞΗ-ΝΑΣΗ ΣΕΒΑΣΤΗ (ΣΕΒΗ) του Ιωάννη,ΚΥΡΙΑΚΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΡΑΒΑΝΟΥ ΔΗΜΗΤΡΑ του Ιωάννη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΑΚΟΥΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΝΤΡΙΚΟΥ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΤΕΦΑΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΚΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΠΑΠΠΑ ΑΙΚΑΤΕΡΙΝΗ του Αδάμ,ΠΕΠΟΝΗΣ ΧΡΗΣΤΟΣ του Θωμά,Κ.Κ.Ε.,ΚΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωσήφ,ΜΑΛΕΖΑ ΖΗΝΟΒΙΑ του Ευσταθίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΕΙΡΗΝΗ του Δημητρίου,ΠΟΥΜΠΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Ένωση Κεντρώων,ΚΟΥΤΣΟΧΡΗΣΤΟΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,ΛΙΑΣΚΟΥ ΣΩΤΗΡΙΑ του Ξενοφώντος,Ο.Κ.Δ.Ε.,ΖΑΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΟΥΡΕΚΑΣ ΘΕΟΔΩΡΟΣ του Κωνσταντίνου,ΓΙΑΡΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΝΑΝΟΣ ΕΥΑΓΓΕΛΟΣ του Σωτηρίου,Ελλήνων Συνέλευσις,ΣΑΚΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΣΙΛΙΚΑΡΗ ΑΡΕΤΗ του Γεωργίου,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΝΟΥΣΙΑΣ ΟΡΕΣΤΗΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΝΤΟΥΣΚΟΣ ΠΕΤΡΟΣ του Οδυσσέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΣΙΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΛΑΪΝΑ ΠΑΡΘΕΝΙΑ του Νικολάου,ΛΙΒΙΕΡΑΤΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΜέΡΑ25,ΝΙΚΟΥ ΕΡΩΤΟΚΡΙΤΟΣ του Διονυσίου,ΝΤΟΒΑ ΔΗΜΗΤΡΑ του Θεολόγου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΚΩΣΤΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΟΥΜΕΛΙΩΤΗΣ ΣΤΕΦΑΝΟΣ του Ανδρέα
21 - Πρέβεζας,1 E.T. Δήμου Ζηρού,315,170,3,0,3,167,23,2,1,13,0,129,51,14,51,5,3,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5,2
21 - Πρέβεζας,2 E.T. Δήμου Ζηρού,339,203,4,4,8,195,43,6,6,16,0,121,57,2,53,3,3,2,0,1,7,5,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,1,0,1,1,1,0,1,0,1,10,1,9,1,1
21 - Πρέβεζας,3 E.T. Δήμου Ζηρού,305,143,3,1,4,139,25,0,2,12,2,96,40,7,36,6,1,0,0,1,5,3,1,0,0,1,0,0,0,0,3,1,1,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0
21 - Πρέβεζας,4 E.T. Δήμου Ζηρού,431,235,3,0,3,232,54,2,3,31,1,136,67,6,49,1,4,1,1,1,11,8,2,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,17,0,16,0,0
21 - Πρέβεζας,5 E.T. Δήμου Ζηρού,172,81,0,1,1,80,24,1,1,20,1,38,13,3,15,2,0,0,0,0,13,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,1
21 - Πρέβεζας,6 E.T. Δήμου Ζηρού,433,236,2,0,2,234,84,14,4,41,2,97,34,4,43,7,4,0,1,0,24,9,5,0,4,12,5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,1,3,1,0,0,2,1
21 - Πρέβεζας,7 E.T. Δήμου Ζηρού,422,272,2,0,2,270,91,16,6,49,3,117,48,14,38,4,3,3,0,0,24,7,2,2,11,17,7,0,1,3,1,0,0,1,1,2,0,2,0,0,0,5,1,0,1,1,0,0,1,0,1,2,2,0,3,1,1,2,2,0,0,0
21 - Πρέβεζας,8 E.T. Δήμου Ζηρού,453,272,0,1,1,271,79,25,13,24,3,130,44,11,48,9,3,3,0,0,18,2,6,0,5,20,7,0,3,5,1,1,0,1,0,1,0,0,0,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,5,5
21 - Πρέβεζας,9 E.T. Δήμου Ζηρού,431,259,4,0,4,255,89,19,2,38,4,101,25,7,55,4,0,0,0,0,18,6,1,0,7,26,7,1,3,4,1,1,0,1,1,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,1,1,0,10,3,2,0,0,0,3,1
21 - Πρέβεζας,10 E.T. Δήμου Ζηρού,321,152,0,0,0,152,40,3,4,30,2,79,26,16,25,0,8,4,1,0,8,1,4,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0
21 - Πρέβεζας,11 E.T. Δήμου Ζηρού,270,166,0,1,1,165,41,7,6,19,1,83,27,11,23,2,3,0,0,1,17,5,2,1,6,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,8,0,5,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0
21 - Πρέβεζας,12 E.T. Δήμου Ζηρού,225,127,2,1,3,124,49,1,7,28,0,49,27,4,11,4,3,2,0,0,11,3,0,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0
21 - Πρέβεζας,13 E.T. Δήμου Ζηρού,184,128,1,1,2,126,60,8,6,32,0,33,17,3,9,2,2,2,0,0,12,5,7,0,0,6,4,1,0,1,1,0,0,0,0,1,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,2,1
21 - Πρέβεζας,14 E.T. Δήμου Ζηρού,340,204,4,0,4,200,53,7,3,36,0,101,36,6,44,6,31,0,0,0,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0
