ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΡΑ ΓΙΟΥΣΟΥΦ ΑΪΧΑΝ του Μεμέτ,ΜΑΡΚΟΥ ΣΤΑΥΡΟΥΛΑ του Γεωργίου,ΤΣΙΟΥΜΑΚΑ (ΤΣΑΤΣΑΡΙΔΟΥ) ΜΑΓΔΑΛΗΝΗ του Ζαχαρία,ΦΕΡΧΑΤ ΟΖΓΚΙΟΥΡ του Ναζήφ,ΧΑΡΙΤΟΥ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αθανασίου,Νέα Δημοκρατία,ΑΛΗ ΟΓΛΟΥ  ΦΕΡΑΛ του Ιμπράμ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Πολέμαρχου,ΙΑΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΚΑΤΡΑΝΤΖΗ ΜΟΥΣΤΑΦΑ του Χασάν,ΣΤΥΛΙΑΝΙΔΗΣ ΕΥΡΙΠΙΔΗΣ του Στυλιανού,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΙΟΥ ΧΡΗΣΤΟΣ του Βασιλείου,ΝΑΣΟΥΔΗΣ ΕΥΡΙΠΙΔΗΣ του Αθανασίου,ΤΣΟΥΡΝΑΚΑΚΗ ΓΕΩΡΓΙΑ του Νικολάου,Κίνημα Αλλαγής,ΑΧΜΕΤ ΙΛΧΑΝ του Σαμπρή,ΓΟΛΓΑΚΗ ΚΥΡΙΑΚΗ του Βασιλείου,ΜΑΝΑΝΑΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΟΣΜΑΝ ΟΓΛΟΥ ΣΙΠΕΛ του Ζεκή,ΤΣΙΤΗΡΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σάββα,Κ.Κ.Ε.,ΑΡΝΑΟΥΤ ΜΟΥΣΤΑΦΑ ΜΟΥΜΙΝ ΤΖΕΛΑΕΤΙΝ του Μουχαρέμ,ΚΑΣΑΠΑΝΤΩΝΙΟΥ ΑΜΑΛΙΑ του Γεωργίου,ΤΑΞΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Παναγιώτη,ΦΑΚΙΡΙΔΗΣ ΝΙΚΟΛΑΟΣ του Σπύρου,ΧΑΤΣΗ ΑΛΗ ΑΛΗ του Καμπέρ,Ένωση Κεντρώων,ΚΑΣΤΡΙΝΗΣ ΛΕΩΝΙΔΑΣ του Γρηγορίου,ΜΠΑΡΔΑ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Ιωάννη,ΧΑΤΖΗ ΧΟΥΣΕΪΝ ΑΛΗΜ του Μουμίν,Ο.Κ.Δ.Ε.,ΓΚΙΩΡΓΚΑΣ ΔΗΜΗΤΡΙΟΣ του Σταύρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΤΖΙΑΡΑΣ ΘΡΑΣΥΒΟΥΛΟΣ του Χρήσιμου,Ελλήνων Συνέλευσις,ΓΙΑΔΑΝΟΥ ΕΥΑΓΓΕΛΙΑ του Βασιλείου,ΦΑΡΑΣΟΠΟΥΛΟΣ ΓΑΒΡΙΗΛ του Ευθυμίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΟΡΟΚΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΑΜΙΑΝΙΔΗΣ ΚΩΣΤΑΣ του Μιχαήλ,ΠΟΥΡΤΣΙΔΗΣ ΝΙΚΟΛΑΟΣ του Στεφάνου,ΣΑΚΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΥ ΜΑΡΙΑ του Αντωνίου,ΜΟΥΣΤΑΦΑ ΕΡΧΑΝ του Αλή,Μ-Λ Κ.Κ.Ε.,ΜΑΤΘΑΙΟΠΟΥΛΟΣ ΘΕΟΦΙΛΟΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΛΟΓΙΑΝΝΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,Λαϊκή Ενότητα,ΚΑΛΑΜΠΟΥΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΜέΡΑ25,ΚΡΙΘΑΡΙΔΗ ΒΑΛΕΝΤΙΝΑ του Ιβάν,ΜΙΜΙΡΙΝΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΑΝΩΛΑΤΟΣ ΣΠΥΡΙΔΩΝ του Διονυσίου,ΜΑΡΚΟΥ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΣΤΥΛΙΔΟΥ ΟΛΓΑ του Ανέστη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΜΟΥΛΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου
2 - Ροδόπης,1 E.T. Δήμου Αρριανών,567,357,0,5,5,352,46,17,0,0,20,1,85,6,5,5,57,7,0,0,0,0,201,193,0,0,5,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2 - Ροδόπης,2 E.T. Δήμου Αρριανών,567,303,3,1,4,299,61,21,0,0,26,1,57,6,6,1,39,2,0,0,0,0,167,162,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,3 E.T. Δήμου Αρριανών,222,167,0,2,2,165,24,9,0,0,12,1,65,9,0,0,32,20,0,0,0,0,68,65,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,4 E.T. Δήμου Αρριανών,293,197,6,0,6,191,25,6,0,0,15,0,61,1,0,0,56,2,1,0,1,0,97,96,0,1,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 - Ροδόπης,5 E.T. Δήμου Αρριανών,354,219,0,3,3,216,46,4,0,0,39,0,77,2,0,0,72,3,1,1,0,0,79,79,0,0,0,0,10,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,6 E.T. Δήμου Αρριανών,279,187,1,6,7,180,20,12,0,0,3,2,66,1,0,0,65,0,0,0,0,0,92,91,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,7 E.T. Δήμου Αρριανών,183,117,3,2,5,112,26,11,0,1,14,0,14,1,0,0,12,0,0,0,0,0,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,8 E.T. Δήμου Αρριανών,490,284,1,1,2,282,75,31,1,0,21,9,54,12,3,5,19,13,1,0,0,1,131,125,3,0,0,0,14,1,0,0,0,11,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0
2 - Ροδόπης,9 E.T. Δήμου Αρριανών,537,313,3,4,7,306,87,40,2,0,24,3,53,9,1,4,27,6,2,0,0,0,154,150,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0
2 - Ροδόπης,10 E.T. Δήμου Αρριανών,285,139,1,0,1,138,35,6,1,0,12,5,26,4,0,0,22,0,0,0,0,0,66,65,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2 - Ροδόπης,11 E.T. Δήμου Αρριανών,286,156,0,0,0,156,48,7,0,0,23,4,36,10,0,0,20,1,0,0,0,0,56,56,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1
2 - Ροδόπης,12 E.T. Δήμου Αρριανών,477,286,0,9,9,277,72,6,0,0,57,1,39,0,1,1,34,1,0,0,0,0,144,143,0,0,0,0,13,0,0,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0
2 - Ροδόπης,13 E.T. Δήμου Αρριανών,221,166,1,3,4,162,14,2,0,0,11,0,38,3,0,0,29,3,0,0,0,0,103,101,0,0,0,1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,14 E.T. Δήμου Αρριανών,112,72,1,2,3,69,14,5,0,0,5,1,14,0,0,0,9,5,1,0,0,0,39,38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,15 E.T. Δήμου Αρριανών,307,200,0,2,2,198,26,10,0,0,15,0,37,3,0,0,34,0,0,0,0,0,122,122,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2 - Ροδόπης,16 E.T. Δήμου Αρριανών,396,232,2,1,3,229,78,25,1,0,45,2,26,3,0,2,16,4,0,0,0,0,113,112,0,0,0,0,11,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
