ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΓΛΙΑ ΕΙΡΗΝΗ του Νικολάου,ΚΑΚΛΑΜΑΝΗΣ ΝΙΚΟΛΑΟΣ του Σταματίου,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Νέα Δημοκρατία,ΚΑΡΑΓΙΑΝΝΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΣΤΕΦΑΝΑΔΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Ισίδωρου,ΣΤΕΦΑΝΗΣ ΝΙΚΟΛΑΟΣ του Αριστόδημου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΑΒΙΤΣΑΝΟΣ ΒΑΣΙΛΕΙΟΣ του Ζώη,Κίνημα Αλλαγής,ΒΟΥΛΓΑΡΗ ΝΙΚΗ του Ευαγγέλου,ΓΑΪΤΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αβέρκιου,ΚΟΥΜΑΣ ΕΛΕΥΘΕΡΙΟΣ του Χριστόδουλου,Κ.Κ.Ε.,ΒΡΥΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΚΑΡΟΥΤΣΟΣ ΦΑΝΟΥΡΙΟΣ του Θεοδώρου,ΠΕΡΡΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,Ένωση Κεντρώων,ΜΑΣΤΡΑΠΑ ΑΓΑΘΗ του Αθανασίου,ΠΑΛΤΑΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΛΑΓΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΛΟΥΚΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,Ελλήνων Συνέλευσις,ΔΟΜΑΝΗ ΕΥΔΟΚΙΑ του Αριστείδη - Ευάγγελου,ΣΤΑΜΑΤΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Κωνσταντίνου,ΤΣΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΙΑΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σπυρίδωνος,ΚΟΥΤΖΑΣ ΑΝΔΡΕΑΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΚΕΛΕΣΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΝΙΚΟΛΑΟΥ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,ΠΑΠΑΚΩΣΤΑ ΜΥΡΤΩ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΟΡΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παντελή,Λαϊκή Ενότητα,ΚΡΑΤΣΑ ΕΥΓΕΝΙΑ του Δημητρίου,ΜΠΟΥΣΟΥΛΑΣ ΖΑΧΑΡΙΑΣ του Θεοδώρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ - ΣΤΑΘΑΚΙΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΑΝΔΡΕΟΥ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΤΡΥΠΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΞΕΝΑΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ
50 - Σάμου,1 E.T. Δήμου Ικαρίας,389,295,11,4,15,280,98,48,15,9,81,16,38,9,12,6,13,6,3,0,39,2,19,5,6,2,0,1,0,1,0,0,0,0,0,9,3,1,0,0,0,0,1,0,1,1,2,0,0,0,9,5,2,2,5,2
50 - Σάμου,2 E.T. Δήμου Ικαρίας,475,258,8,0,8,250,89,53,7,8,59,8,42,1,8,6,10,5,1,0,52,2,32,8,3,0,0,0,0,1,0,0,0,0,0,14,6,4,1,0,1,0,2,1,1,1,1,1,0,0,4,3,2,1,3,3
50 - Σάμου,3 E.T. Δήμου Ικαρίας,499,246,5,1,6,240,75,41,7,6,78,9,61,5,1,0,5,4,0,1,56,1,32,11,2,1,0,0,0,1,0,0,0,0,0,10,4,3,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,3,1
50 - Σάμου,4 E.T. Δήμου Ικαρίας,490,227,3,0,3,224,82,43,5,6,50,10,29,1,4,0,9,2,1,0,55,1,33,9,4,0,0,0,0,1,0,1,0,0,1,4,1,1,2,0,0,0,2,1,1,0,1,1,0,0,4,0,0,0,4,1
50 - Σάμου,5 E.T. Δήμου Ικαρίας,495,232,0,1,1,231,80,47,7,6,56,6,47,0,7,6,14,8,0,3,57,1,27,4,2,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,3,1
50 - Σάμου,6 E.T. Δήμου Ικαρίας,499,241,5,1,6,235,74,40,3,5,77,10,52,3,3,0,6,3,0,0,53,1,28,9,0,0,0,0,0,1,0,0,0,0,0,5,2,1,1,0,0,0,2,2,1,1,0,0,0,0,2,0,0,0,10,5
50 - Σάμου,7 E.T. Δήμου Ικαρίας,498,212,3,3,6,206,73,43,7,4,62,9,45,2,0,0,19,7,1,0,43,2,26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,2,0
50 - Σάμου,8 E.T. Δήμου Ικαρίας,337,122,0,1,1,121,43,23,2,6,20,1,2,5,0,0,5,2,0,0,35,0,22,0,1,0,1,0,0,1,0,1,0,0,1,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0,0,2,1
50 - Σάμου,9 E.T. Δήμου Ικαρίας,425,170,0,1,1,169,67,28,6,9,36,4,17,10,0,0,3,0,1,0,50,2,32,7,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,2,0,0,2,1
50 - Σάμου,10 E.T. Δήμου Ικαρίας,501,215,2,0,2,213,81,61,1,2,55,2,40,3,1,0,9,5,1,1,57,2,32,12,2,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0
50 - Σάμου,11 E.T. Δήμου Ικαρίας,238,122,3,1,4,118,23,0,17,1,12,4,7,0,0,0,0,0,0,0,58,0,37,13,0,0,0,0,0,1,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,4,2
50 - Σάμου,12 E.T. Δήμου Ικαρίας,360,206,2,2,4,202,68,47,1,1,36,2,28,0,0,0,7,3,1,0,64,0,49,5,3,1,0,0,0,0,0,1,0,0,1,7,2,1,1,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,8,3
50 - Σάμου,13 E.T. Δήμου Ικαρίας,425,244,0,3,3,241,104,66,8,2,33,0,29,1,4,2,13,4,0,2,70,3,56,2,1,0,0,0,0,1,1,1,0,0,1,7,4,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,0,0,1,0
50 - Σάμου,14 E.T. Δήμου Ικαρίας,496,288,3,2,5,283,105,58,6,21,64,4,57,0,2,1,10,6,2,1,77,3,48,10,0,0,0,1,0,3,1,2,0,0,2,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,7,3,0,0,7,5
50 - Σάμου,15 E.T. Δήμου Ικαρίας,405,242,2,4,6,236,95,54,2,17,49,1,43,1,8,4,16,10,1,0,46,4,35,4,2,0,1,0,0,2,0,4,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,4,2
50 - Σάμου,16 E.T. Δήμου Ικαρίας,309,184,2,0,2,182,52,24,4,1,20,5,11,1,1,1,7,5,0,0,79,2,56,4,2,1,0,0,0,1,0,1,0,0,1,5,3,1,1,0,1,0,3,1,0,0,1,0,0,0,9,6,0,0,0,0
50 - Σάμου,17 E.T. Δήμου Ικαρίας,417,229,2,0,2,227,61,32,3,3,14,0,11,1,2,0,18,12,1,1,108,4,84,2,1,1,0,0,0,1,0,2,0,0,2,3,2,0,0,0,0,0,4,2,0,0,1,0,0,0,10,2,0,0,2,1
50 - Σάμου,18 E.T. Δήμου Ικαρίας,322,143,5,1,6,137,55,41,3,3,24,6,13,0,4,4,12,6,2,3,26,0,19,6,2,1,1,0,0,0,0,0,0,0,0,6,6,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,4,3
50 - Σάμου,19 E.T. Δήμου Ικαρίας,343,201,4,3,7,194,46,32,1,2,20,0,17,0,1,0,13,3,0,4,101,2,88,2,0,0,0,0,0,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,2
50 - Σάμου,20 E.T. Δήμου Ικαρίας,397,244,2,2,4,240,82,49,1,1,19,2,10,2,2,1,5,2,0,0,103,2,82,3,0,0,0,0,0,3,3,1,0,0,1,9,2,3,0,0,0,0,0,0,1,0,0,0,0,0,7,4,0,0,8,4
50 - Σάμου,21 E.T. Δήμου Ικαρίας,513,294,1,3,4,290,110,69,5,3,48,8,25,2,2,0,9,1,1,0,77,1,59,6,1,0,1,0,0,5,3,1,0,0,0,6,2,3,0,0,0,0,0,0,0,0,8,6,0,0,14,5,0,0,9,2
50 - Σάμου,22 E.T. Δήμου Ικαρίας,527,305,8,0,8,297,117,69,5,11,38,3,26,2,2,1,7,4,0,1,96,2,62,3,1,0,0,0,0,2,0,1,0,0,1,12,4,5,0,0,0,0,0,0,1,0,4,2,1,0,11,2,2,1,3,1
50 - Σάμου,23 E.T. Δήμου Ικαρίας,505,291,3,0,3,288,128,81,9,5,38,5,28,2,5,4,1,0,0,0,87,2,47,9,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,15,7,2,0,6,2
