ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΤΣΗΣ ΜΑΡΙΟΣ του Σπυρίδωνος,ΚΟΤΖΑΠΑΝΑΓΙΩΤΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδωνος,ΠΡΟΒΙΔΑΚΗ ΑΓΓΕΛΙΚΗ-ΑΘΗΝΑ-ΕΛΕΝΗ του Νικολάου,ΤΣΑΚΙΡΗ ΑΣΤΥΡΟΠΗ του Αθανασίου,Νέα Δημοκρατία,ΓΙΟΓΙΑΚΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΑΠΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Λαμπρινού,ΠΑΡΘΕΝΙΟΥ ΟΛΓΑ του Δημητρίου,ΦΙΛΗ-ΠΑΣΧΑΛΗ ΑΝΤΙΓΟΝΗ-ΒΑΣΙΛΙΚΗ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΜΙΓΚΟΥ ΕΛΕΝΗ του Θωμά,ΜΠΑΓΕΩΡΓΟΣ ΧΡΙΣΤΟΦΟΡΟΣ του Θεόφιλου,Κίνημα Αλλαγής,ΔΑΛΛΑ ΣΤΑΜΑΤΙΑ του Δημητρίου,ΜΠΟΤΟΣ ΣΠΥΡΙΔΩΝ του Γρηγορίου,ΠΑΣΧΟΣ ΑΛΕΞΑΝΔΡΟΣ (Αλέκος) του Χρήστου,ΣΑΜΙΟΥ ΜΑΡΙΑ του Γεωργίου,Κ.Κ.Ε.,ΓΚΙΚΑΣ ΣΩΤΗΡΙΟΣ του Δημητρίου,ΜΠΡΕΣΤΑΣ ΝΙΚΟΛΑΟΣ - ΟΡΕΣΤΗΣ του Θεοδώρου,ΡΕΠΑΝΗ-ΡΕΓΚΑ ΝΙΚΟΛΕΤΑ του Αθανασίου,ΤΣΟΥΡΑ ΜΑΡΙΑ του Χρήστου,Ένωση Κεντρώων,ΖΑΦΕΙΡΑΣ ΖΑΦΕΙΡΙΟΣ του Χρήστου,ΤΣΙΜΠΡΙΜΑΝΗ ΣΟΦΙΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΕΥΘΥΜΙΟΥ ΔΗΜΗΤΡΑ του Χρήστου,ΧΕΚΙΜΟΓΛΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΝΙΝΑ) του Νικολάου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΒΑΣΙΛΕΙΟΣ του Φιλίππου,ΤΣΙΡΩΝΗΣ ΣΥΜΕΩΝ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΙΑΝΝΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Ιωάννη,ΜΙΧΑΗΛ ΑΣΗΜΙΝΑ του Μιχαήλ,ΜΠΙΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΙΟΥ ΧΡΙΣΤΙΝΑ του Θωμά,ΜΟΥΚΑ ΘΕΟΔΩΡΑ του Βασιλείου,ΝΕΙΛΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΡΑΠΤΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Λεωνίδα,Μ-Λ Κ.Κ.Ε.,ΧΟΒΟΛΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΗΜΗΤΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΤΣΙΜΠΟΥΛΗ ΚΑΤΙΝΑ του Δονάτου,Λαϊκή Ενότητα,ΜΑΡΚΑΤΣΕΛΗΣ ΓΕΩΡΓΙΟΣ του Αριστείδη,ΜέΡΑ25,ΚΑΤΣΟΥΚΗ ΔΗΜΗΤΡΑ του Ευαγγέλου,ΠΑΠΠΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΙΓΚΟΥ ΠΑΝΑΓΙΩΤΑ-ΛΗΤΩ του Θωμά,ΠΑΝΤΑΣ ΠΑΝΤΕΛΗΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΦΙΛΙΠΠΟΠΟΥΛΟΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη
20 - Θεσπρωτίας,1 E.T. Δήμου Ηγουμενίτσας,270,170,1,1,2,168,56,31,14,1,2,69,55,2,1,3,4,1,0,12,0,0,9,2,7,0,1,0,1,0,0,0,0,0,1,0,0,7,1,6,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,6,2,0,0,0,0,1,1
20 - Θεσπρωτίας,2 E.T. Δήμου Ηγουμενίτσας,336,236,4,1,5,231,65,30,19,0,3,117,90,9,4,9,4,3,1,32,1,1,7,22,3,0,2,1,0,2,0,1,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0
20 - Θεσπρωτίας,3 E.T. Δήμου Ηγουμενίτσας,562,285,3,0,3,282,121,95,15,1,0,86,70,2,10,0,6,4,0,29,0,2,14,9,18,8,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,3,3,0,0,0,1,1
20 - Θεσπρωτίας,4 E.T. Δήμου Ηγουμενίτσας,401,252,3,1,4,248,80,55,7,2,2,103,87,2,4,4,6,1,1,33,0,1,17,12,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,12,2,4,1,1,0,2,1
20 - Θεσπρωτίας,5 E.T. Δήμου Ηγουμενίτσας,346,221,4,2,6,215,82,55,13,2,3,90,60,12,1,2,0,0,0,19,0,3,6,7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,1,1,2,2,0,1,1,10,0,4,0,0,0,2,0
20 - Θεσπρωτίας,6 E.T. Δήμου Ηγουμενίτσας,381,238,2,1,3,235,80,61,8,3,1,78,62,4,3,2,3,1,0,49,0,1,28,17,2,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,1,5,4,2,1,1,0
20 - Θεσπρωτίας,7 E.T. Δήμου Ηγουμενίτσας,560,336,4,0,4,332,107,53,30,4,4,145,109,18,4,4,3,0,1,44,1,4,15,21,5,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,3,0,0,1,0,0,1,0,3,2,3,3,0,1,0,12,1,7,1,0,1,1,0
20 - Θεσπρωτίας,8 E.T. Δήμου Ηγουμενίτσας,530,264,5,4,9,255,78,43,9,4,3,116,101,1,4,5,2,2,0,20,0,8,9,2,5,2,1,0,0,1,0,1,1,1,4,0,3,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,3,2,0,0,0,13,2,5,4,0,2,2,1
20 - Θεσπρωτίας,9 E.T. Δήμου Ηγουμενίτσας,534,356,6,1,7,349,97,48,30,2,0,162,137,6,5,6,4,1,0,43,1,6,14,17,8,2,0,2,0,2,0,0,0,0,2,1,1,0,0,0,0,8,2,1,0,2,0,0,2,0,1,1,7,7,0,0,0,9,1,3,2,0,0,2,0
20 - Θεσπρωτίας,10 E.T. Δήμου Ηγουμενίτσας,552,282,3,1,4,278,81,45,17,4,1,112,93,2,4,9,8,2,3,35,2,0,19,11,9,4,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,11,7,1,0,2,0,0,1,0,0,0,1,1,0,1,0,11,3,5,2,0,1,2,1
20 - Θεσπρωτίας,11 E.T. Δήμου Ηγουμενίτσας,544,279,3,3,6,273,98,46,25,3,3,106,81,5,4,3,2,0,0,37,0,2,16,19,7,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,5,0,0,0,12,2,4,0,0,0,2,1
20 - Θεσπρωτίας,12 E.T. Δήμου Ηγουμενίτσας,553,321,3,3,6,315,66,34,14,2,2,158,87,38,6,7,1,0,0,44,0,2,21,15,5,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,9,4,2,0,0,0,0,0,0,0,0,6,5,0,0,0,21,5,5,0,0,0,2,1
20 - Θεσπρωτίας,13 E.T. Δήμου Ηγουμενίτσας,567,321,4,3,7,314,92,48,23,1,3,131,98,10,3,6,4,2,0,38,0,4,12,18,10,2,1,2,1,4,0,1,0,0,1,0,0,0,0,0,0,7,3,1,0,2,0,1,1,0,1,1,6,5,1,0,0,15,2,3,1,0,0,2,0
20 - Θεσπρωτίας,14 E.T. Δήμου Ηγουμενίτσας,530,302,5,4,9,293,95,41,20,2,5,105,89,8,5,2,4,1,1,41,0,6,17,15,9,1,2,3,1,2,0,1,0,0,2,0,0,0,0,0,0,7,4,0,0,1,0,0,1,0,0,0,4,4,0,0,0,13,2,1,5,3,1,5,2
