ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΞΑΦΟΣ ΑΘΑΝΑΣΙΟΣ του Αγγελου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενέλαου,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΓΑΛΛΟΥ-ΔΑΛΚΑΦΟΥΚΗ ΧΡΥΣΑΝΘΗ του Αθανασίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέως,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΩΣΤΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΜΙΣΙΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΜΠΑΜΠΟΥΡΔΑ ΠΑΝΑΓΙΩΤΑ του Αγγελή,ΠΑΡΔΑΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,ΤΣΕΚΟΥΡΑ ΑΓΓΕΛΙΚΗ του Νικολάου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΦΩΤΕΙΝΗ του Θεόφιλου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΝΤΙΝΤΗ ΧΡΙΣΤΟΥΛΑ (ΧΡΥΣΑ) του Κωνσταντίνου,ΠΑΠΑΕΥΘΥΜΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΦΑΜΙΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σωτηρίου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΠΕΤΡΑΚΗ ΕΙΡΗΝΗ του Αντωνίου,Ένωση Κεντρώων,ΑΚΡΙΒΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΕΚΟΥΤΣΙΔΗ ΜΑΡΙΑ του Σαββελίου,ΜΑΝΤΖΑΝΑ ΒΑΣΙΛΙΚΗ του Αχιλλέα,ΜΗΤΣΙΟΣ ΜΑΡΙΟΣ του Ναπολέοντος,ΣΑΡΤΑΜΠΑΚΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΔΡΑΓΟΥΤΑ ΜΑΡΙΑ του Παύλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΣΑΒΒΟΥΛΙΔΗ ΣΟΥΛΤΑΝΑ του Ευαγγέλου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,ΤΣΟΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΓΚΟΥΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΑΝΑΓΟΥ ΚΩΝΣΤΑΝΤΙΑ του Στυλιανού,ΠΙΝΙΑΡΑ ΑΓΓΕΛΙΚΗ του Αθανασίου,ΣΒΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΣΤΑΣΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΖΑΝΑΚΗΣ ΦΙΛΙΠΠΟΣ του Ιωάννη,ΚΑΝΤΑΚΟΥ ΑΝΔΡΟΜΑΧΗ του Φωτίου,Λαϊκή Ενότητα,ΧΟΝΔΡΟΥΛΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΠΑΝΤΑΖΩΝΗ ΦΩΤΕΙΝΗ (ΦΕΝΙΑ) του Φωκίωνος,ΤΡΙΑΝΤΑΦΥΛΛΟΣ ΝΙΚΟΛΑΟΣ του Θαλή,ΧΟΥΤΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΜΠΑΡΤΖΙΩΚΑΣ ΑΘΑΝΑΣΙΟΣ του Γρηγορίου,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,1 E.T. Δήμου Μετεώρων,214,121,0,1,1,120,36,17,8,13,10,0,4,56,15,4,37,10,21,1,0,0,0,0,0,0,11,0,3,0,0,7,3,6,2,4,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
24 - Τρικάλων,2 E.T. Δήμου Μετεώρων,295,158,0,3,3,155,39,14,1,17,19,2,4,101,33,4,32,10,62,26,1,1,0,0,0,0,3,0,0,0,0,1,0,4,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
24 - Τρικάλων,3 E.T. Δήμου Μετεώρων,317,187,2,1,3,184,40,12,1,16,16,3,2,102,26,6,15,26,61,20,2,0,0,0,0,0,20,16,3,0,4,4,0,7,5,4,1,0,1,0,2,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,6,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
24 - Τρικάλων,4 E.T. Δήμου Μετεώρων,470,270,0,1,1,269,65,17,5,31,21,2,9,154,36,5,63,45,72,32,1,1,1,0,0,0,16,6,6,1,2,4,3,10,2,5,0,1,3,0,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,2,2,1,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,2,0,2,0,0,2,0,5,3
24 - Τρικάλων,5 E.T. Δήμου Μετεώρων,462,224,3,1,4,220,68,17,4,29,27,3,11,105,15,2,25,43,63,21,6,3,3,0,0,0,16,6,2,4,1,6,3,9,1,3,2,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,1,2,0,0,0,0,0,2,1
24 - Τρικάλων,6 E.T. Δήμου Μετεώρων,466,198,1,0,1,197,50,13,6,20,11,1,8,114,22,2,29,22,73,28,2,0,1,0,0,1,18,5,10,0,1,8,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,1,0,0
24 - Τρικάλων,7 E.T. Δήμου Μετεώρων,518,265,3,4,7,258,77,21,2,30,29,7,20,77,24,6,19,28,29,15,4,0,2,0,0,1,27,4,3,3,6,11,9,8,2,4,1,0,1,1,4,0,1,2,0,0,0,0,2,1,0,0,2,0,0,0,47,2,3,3,5,43,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,2,3,1,1,2,0,1,1,0,2,1
24 - Τρικάλων,8 E.T. Δήμου Μετεώρων,538,267,5,4,9,258,86,22,5,36,27,6,25,66,15,5,13,20,32,8,2,0,1,0,0,1,36,4,5,1,5,12,14,11,4,6,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,2,0,2,2,35,0,2,0,0,0,0,0,0,0,1,1,1,0,0,9,3,0,2,3,1,0,0,0,0,2,0
24 - Τρικάλων,9 E.T. Δήμου Μετεώρων,512,235,3,0,3,232,81,19,2,26,10,4,12,71,15,3,21,21,34,11,2,0,0,0,0,0,21,2,1,1,4,12,7,11,5,5,2,0,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,1,2,2,34,1,1,0,0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,2,1,0,0,0,0,0,0
24 - Τρικάλων,10 E.T. Δήμου Μετεώρων,512,261,5,1,6,255,86,26,9,33,33,7,19,77,23,4,13,18,46,16,4,1,2,0,1,2,27,6,4,0,8,10,11,8,5,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,2,7,4,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,2,2,0,1,0,0,0
24 - Τρικάλων,11 E.T. Δήμου Μετεώρων,331,186,0,1,1,185,60,20,3,15,16,3,13,60,14,3,11,13,27,10,11,2,4,0,1,0,17,2,4,0,3,10,11,9,7,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18,3,0,1,12,14,1,0,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,0,1,1,1,1,0,0,2,1
24 - Τρικάλων,12 E.T. Δήμου Μετεώρων,392,234,1,1,2,232,74,25,4,23,19,2,23,84,12,6,28,19,41,27,4,1,1,1,0,1,30,2,8,1,9,14,18,17,14,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,4,2,0,0,0,0,0,0,0,0,0,7,4,4,0,0,4,1,2,1,3,2,2,1,1,0,3,0
24 - Τρικάλων,13 E.T. Δήμου Μετεώρων,230,153,0,3,3,150,41,23,1,8,6,1,8,78,22,0,15,37,45,17,2,0,1,0,1,1,18,1,0,2,2,2,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0
24 - Τρικάλων,14 E.T. Δήμου Μετεώρων,555,352,1,1,2,350,88,39,1,17,19,2,44,167,34,9,35,51,100,37,3,1,1,0,0,0,30,2,9,0,7,2,19,28,25,23,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2,3,2,1,1,1,0,0,1,1,0,0,0,2,2,1,0,0,12,4,3,3,5,2,0,0,0,0,3,2
24 - Τρικάλων,15 E.T. Δήμου Μετεώρων,548,356,2,6,8,348,106,17,8,13,10,0,4,167,15,4,37,10,21,1,7,0,0,0,0,0,30,0,3,0,0,7,3,5,2,4,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,3,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,9,0,0,0,0,2,0,0,1,0,5,0
24 - Τρικάλων,16 E.T. Δήμου Μετεώρων,549,335,5,3,8,327,109,52,7,20,22,4,50,131,26,5,27,54,78,29,7,3,4,2,1,1,29,4,7,0,4,10,19,15,8,7,0,1,1,1,5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9,4,1,4,1,2,0,2,0,1,0,1,2,0,0,0,0,0,2,1,10,2,3,0,1,3,0,1,2,0,4,3
24 - Τρικάλων,17 E.T. Δήμου Μετεώρων,530,302,0,3,3,299,111,44,6,28,17,4,38,111,17,11,15,47,66,20,8,3,4,0,0,4,27,3,9,1,6,1,21,15,6,7,1,0,1,1,3,2,0,1,1,0,0,0,2,1,0,0,1,0,0,0,12,1,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,2,2,1,0,0,0,4,1
