ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΙΓΓΛΕΖΗ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΜΑΛΑΜΑ ΚΥΡΙΑΚΗ του Ιωάννη,ΠΑΝΟΣ ΙΩΑΚΕΙΜ του Χρήστου,ΣΑΚΚΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΟΣΚΑΣ ΛΑΖΑΡΟΣ του Ηλία,Νέα Δημοκρατία,ΒΑΓΙΩΝΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΑΡΑΝΑΣΙΟΣ ΕΥΘΥΜΙΟΣ του Βασιλείου,ΣΟΦΙΟΥ ΜΑΓΔΑΛΗΝΗ του Ευαγγέλου,ΤΑΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Γεωργίου,ΧΑΤΖΗΣΤΑΜΑΤΙΟΥ-ΛΕΜΟΝΙΑΔΟΥ ΕΛΕΥΘΕΡΙΑ (ΡΙΤΣΑ) του Ηλία,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΑΪΝΔΕΡΛΗ ΕΥΡΥΚΛΕΙΑ του Δημητρίου,ΒΛΑΧΟΥ ΣΩΤΗΡΙΑ του Ιωάννη,ΖΑΜΠΙΔΗΣ ΠΡΟΔΡΟΜΟΣ του Χαραλάμπους,ΜΑΝΩΛΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Γρηγορίου,ΧΑΣΑΠΗΣ ΑΣΤΕΡΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΒΛΑΧΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Αστερίου,ΕΥΤΑΤΟΓΛΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΖΕΠΠΟΥ ΜΑΡΘΑ του Ιωάννη,ΚΑΝΕΛΗΣ ΑΡΙΣΤΕΙΔΗΣ του Δημητρίου,ΠΑΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,Κ.Κ.Ε.,ΖΑΧΑΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Γερασίμου,ΛΥΡΤΖΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΩΥΣΙΑΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΠΑΝΤΕΛΗΣ ΛΑΖΑΡΟΣ του Αστερίου,ΧΡΙΣΤΙΑΝΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΣΑΚΟΛΕΒΑ ΜΑΡΙΑ του Σωτηρίου,ΤΣΑΟΥΡΕΛΟΣ ΘΕΟΔΩΡΟΣ του Στυλιανού,Ο.Κ.Δ.Ε.,ΑΝΤΩΝΙΟΥ ΣΤΕΡΓΙΑΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΖΑΦΕΙΡΟΥΛΗ ΒΡΕΤΟΥ ΦΑΝΗ του Βασιλείου,ΡΗΓΟΠΟΥΛΟΣ ΦΡΑΓΚΙΣΚΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΛΕΥΡΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΑΜΠΟΥΡΗΣ ΑΝΤΩΝΙΟΣ του Χρήστου,ΜΟΥΣΤΑΚΑ ΜΑΡΙΑ του Παναγιώτη,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΑΛΚΗΣ του Χρήστου,ΧΑΡΙΤΟΥ ΜΑΡΓΑΡΙΤΑ του Αποστόλου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΖΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΛΙΟΔΩΡΟΥ ΝΙΚΟΛΑΟΣ του Στυλιανού,ΜΠΑΒΕΛΗ ΘΕΟΔΩΡΑ του Ζαρίφη,ΟΙΚΟΝΟΜΟΥ ΑΡΙΣΤΕΙΔΗΣ του Νικολάου,ΠΙΤΟΥΛΑΣ ΕΛΕΥΘΕΡΙΟΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΓΕΩΡΓΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΑΝΔΕΛΕΝΑΚΗ ΖΩΗ του Ηλία,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΑΥΡΟΥΔΗΣ ΛΑΜΠΡΟΣ του Αναστασίου,ΣΙΔΗΡΟΠΟΥΛΟΥ ΚΥΡΙΑΚΟΥΛΑ του Κωνσταντίνου,ΤΣΟΜΑΚΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκή Ενότητα,ΑΜΑΝΑΤΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοφίλου,ΓΡΑΣΣΟΥ ΚΑΛΙΡΡΟΗ του Γεωργίου,ΔΕΡΓΙΑΔΕ-ΚΑΝΤΑΡΑ ΜΑΡΙΑ του Λεωνίδα,ΠΑΣΧΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αντωνίου,ΜέΡΑ25,ΜΠΑΡΜΠΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΟΦΤΣΗ ΜΑΡΙΑ του Βασιλείου,ΧΟΥΧΟΥΤΑΣ ΝΙΚΗΤΑΣ του Αθανασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΓΓΛΗΣ ΑΣΤΕΡΙΟΣ (ΣΤΕΡΓΙΟΣ) του Αγγέλου,ΚΛΗΜΑΤΣΙΔΑ ΣΩΣΑΝΝΑ του Αστερίου,ΣΑΚΕΛΛΑΡΗΣ ΣΩΤΗΡΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΕΥΣΤΑΘΙΟΥ ΓΕΡΑΚΙΝΑ του Χριστοδούλου,ΚΥΠΡΑΙΟΥ ΕΛΕΝΗ του Βασιλείου,ΤΡΕΝΤΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου
9 - Χαλκιδικής,1 E.T. Δήμου Αριστοτέλη,487,322,1,1,2,320,33,6,7,5,0,3,200,107,35,0,29,7,14,3,1,1,4,0,23,0,3,2,0,10,6,1,1,0,0,2,4,3,1,0,0,0,1,0,1,0,2,1,0,0,1,0,10,2,0,2,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,14,2,4,0,4,3,0,0,7,4,1,0
9 - Χαλκιδικής,2 E.T. Δήμου Αριστοτέλη,509,359,4,2,6,353,41,9,11,3,0,9,214,120,39,5,17,13,36,1,8,1,19,5,19,3,8,0,1,5,12,2,4,1,0,3,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,1,1,0,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,3,0,0,0
9 - Χαλκιδικής,3 E.T. Δήμου Αριστοτέλη,484,309,4,3,7,302,65,11,14,5,3,14,150,77,18,3,24,10,22,0,1,0,14,1,17,1,3,1,1,5,8,1,0,1,1,2,6,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,15,2,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,1,2,1,1,0,6,1,1,0
9 - Χαλκιδικής,4 E.T. Δήμου Αριστοτέλη,487,349,4,5,9,340,49,8,16,1,4,2,201,112,26,4,18,14,8,0,0,0,7,0,14,5,1,0,2,4,15,0,2,4,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,3,2,4,0,0,0,6,0,0,0
9 - Χαλκιδικής,5 E.T. Δήμου Αριστοτέλη,501,331,5,3,8,323,45,3,16,5,4,9,180,99,25,10,18,11,25,0,3,0,9,10,13,2,2,0,0,4,12,1,1,0,0,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,2,1,0,2,10,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,1,2,2,0,0,0,4,0,0,0
9 - Χαλκιδικής,6 E.T. Δήμου Αριστοτέλη,356,232,1,3,4,228,33,3,13,0,2,1,127,84,12,6,13,1,4,0,1,1,0,2,19,6,2,1,1,6,7,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,14,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,4,0,0,0,7,0,0,0
9 - Χαλκιδικής,7 E.T. Δήμου Αριστοτέλη,461,319,1,5,6,313,36,5,8,1,3,5,204,101,34,3,31,3,10,0,1,1,2,3,15,6,2,1,1,1,6,0,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,3,0,1,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0,0,3,0,0,0,6,0,0,0
9 - Χαλκιδικής,8 E.T. Δήμου Αριστοτέλη,545,353,6,5,11,342,53,7,3,0,7,13,198,77,74,5,15,5,10,1,1,0,4,0,31,4,4,0,2,18,13,2,0,0,1,2,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,11,2,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,14,5,2,3,2,0,0,0,2,0,0,0
9 - Χαλκιδικής,9 E.T. Δήμου Αριστοτέλη,501,317,1,0,1,316,78,16,17,1,7,23,140,46,41,5,19,3,8,1,0,1,3,0,39,10,4,0,0,18,5,1,0,0,0,3,4,1,0,0,0,0,2,2,0,0,3,0,0,1,1,0,14,1,0,0,2,5,0,0,1,0,0,0,0,0,1,0,0,1,0,7,0,0,4,4,2,0,2,10,2,1,0
9 - Χαλκιδικής,10 E.T. Δήμου Αριστοτέλη,407,270,3,1,4,266,43,14,10,1,3,7,166,71,47,6,10,9,2,0,1,0,1,0,8,2,1,1,1,3,11,1,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,8,0,0,0
9 - Χαλκιδικής,11 E.T. Δήμου Αριστοτέλη,468,268,8,4,12,256,27,4,6,2,2,4,145,56,42,6,14,8,14,1,2,1,6,0,23,2,4,1,0,7,7,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,5,0,3,0,0,0,4,0,0,0
9 - Χαλκιδικής,12 E.T. Δήμου Αριστοτέλη,413,278,1,5,6,272,54,8,15,2,9,14,131,61,40,5,11,0,24,0,5,1,9,1,19,0,3,2,1,8,13,1,1,1,0,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,2,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,3,0,0,0,2,0,0,0
9 - Χαλκιδικής,13 E.T. Δήμου Αριστοτέλη,423,279,6,3,9,270,27,7,7,0,2,6,159,59,33,3,19,9,24,1,2,0,11,3,14,2,1,0,1,4,7,2,0,0,1,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,16,5,3,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1,3,1,0,0,0,0,6,0,0,0
9 - Χαλκιδικής,14 E.T. Δήμου Αριστοτέλη,512,354,7,4,11,343,55,17,9,1,0,11,195,67,79,3,17,12,12,1,2,1,3,0,18,6,1,1,0,7,15,4,2,1,0,1,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,4,1,1,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,0,1,2,0,0,0,2,0,0,0
9 - Χαλκιδικής,15 E.T. Δήμου Αριστοτέλη,445,310,6,6,12,298,55,14,11,1,2,10,150,57,39,1,15,17,15,1,0,2,6,1,26,5,0,6,2,10,7,0,0,0,0,0,14,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,12,2,0,1,2,4,0,0,0,0,2,0,0,0,3,2,0,0,0,8,2,1,2,1,0,1,0,4,2,0,0
9 - Χαλκιδικής,16 E.T. Δήμου Αριστοτέλη,308,189,3,0,3,186,57,17,11,1,6,17,70,21,12,5,12,15,13,0,1,0,7,3,14,4,3,2,0,1,10,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,1,3,1,0,0,0,0,2,0,0,0
