ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΡΥΔΑΚΗ-ΓΡΙΜΑΝΗ ΚΙΚΗ του Θεοδώρου,ΚΟΝΤΟΝΗΣ ΧΑΡΑΛΑΜΠΟΣ-ΣΤΑΥΡΟΣ του Νικολάου,ΜΑΡΚΟΥΤΣΑΣ ΧΑΡΙΛΑΟΣ (ΧΑΡΗΣ) του Διονυσίου,Νέα Δημοκρατία,ΑΚΤΥΠΗΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΚΑΛΟΦΩΝΟΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη,ΤΕΤΡΑΔΗ ΧΡΙΣΤΙΝΑ του Σπυρίδωνος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΡΦΙΑΤΗΣ ΦΙΛΙΠΠΟΣ- ΔΙΟΝΥΣΙΟΣ του Ιωάννη,Κίνημα Αλλαγής,ΚΑΡΤΣΑΚΑΣ ΑΠΟΣΤΟΛΟΣ του Σωτηρίου,ΛΑΖΕΝΗ ΒΑΡΒΑΡΑ-ΒΕΡΑ του Βασιλείου,ΜΠΟΤΩΝΗΣ ΔΙΟΝΥΣΙΟΣ του Αθανασίου,Κ.Κ.Ε.,ΒΡΥΩΝΗΣ ΑΝΤΩΝΙΟΣ του Διονυσίου,ΚΑΛΟΓΕΡΙΑ ΜΑΡΙΑ του Σπυρίδωνος,ΚΩΝΣΤΑΝΤΙΝΟΥ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Ένωση Κεντρώων,ΜΠΑΚΑΣ ΑΘΑΝΑΣΙΟΣ του Φωτίου,ΠΑΠΑΓΙΑΝΝΟΥ - ΠΑΝΑΓΙΩΤΟΥ ΛΕΜΟΝΙΑ του Στέργιου,Ο.Κ.Δ.Ε.,ΚΟΤΟΥΔΗ ΚΥΡΙΑΚΗ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΛΑΔΗΣ ΔΙΟΝΥΣΙΟΣ του Παναγιώτη,ΛΑΧΑΝΙΩΤΗ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,Ελλήνων Συνέλευσις,ΠΑΡΑΣΧΗΣ ΝΙΚΟΛΑΟΣ του Γερασίμου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΗΛΕΣΗ- ΚΑΚΟΥΛΗ ΑΘΗΝΑ του Αντωνίου,ΤΣΙΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ- ΔΙΟΝΥΣΙΟΣ του Φωτίου,Κ.Κ.Ε. (μ-λ),ΡΟΥΚΑΝΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΤΣΟΥΚΑΛΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΑΡΟΥΔΑΣ ΠΑΝΑΓΙΩΤΗΣ- ΣΙΓΟΥΡΟΣ του Παύλου,Λαϊκή Ενότητα,ΠΕΤΤΑΣ ΔΗΜΗΤΡΙΟΣ του Δημητρίου,ΜέΡΑ25,ΚΑΡΔΑΡΗΣ ΔΙΟΝΥΣΙΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΠΑΠΑΔΑΤΟΣ ΗΛΙΑΣ του Αντωνίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΝΤΟΖΗΣ ΙΩΑΝΝΗΣ του Διονυσίου
29 - Ζακύνθου,1 E.T. Δήμου Ζακύνθου,314,152,0,0,0,152,53,2,33,6,49,23,9,15,2,0,8,1,1,6,31,8,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,2,0,1,0,0,0,1,1
29 - Ζακύνθου,2 E.T. Δήμου Ζακύνθου,400,233,1,1,2,231,65,4,35,8,77,40,23,11,10,6,10,3,1,2,52,20,5,10,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,3,3,5,0,1,0,1,0
29 - Ζακύνθου,3 E.T. Δήμου Ζακύνθου,338,177,5,3,8,169,38,2,22,1,60,28,5,18,23,5,19,3,1,11,8,1,1,1,1,1,0,0,0,1,1,0,1,0,6,1,1,1,0,0,0,5,0,0,0,4,2,2,0,0,0
29 - Ζακύνθου,4 E.T. Δήμου Ζακύνθου,322,171,2,0,2,169,51,6,30,2,61,32,7,17,3,1,7,1,0,4,19,10,0,2,3,0,1,1,0,0,0,0,12,10,1,0,1,0,0,0,0,4,0,1,0,3,2,0,0,3,0
29 - Ζακύνθου,5 E.T. Δήμου Ζακύνθου,424,253,4,1,5,248,59,4,33,6,121,72,7,39,13,7,11,2,2,3,30,16,4,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,4,3,0,0,4,3
29 - Ζακύνθου,6 E.T. Δήμου Ζακύνθου,288,187,2,1,3,184,59,5,30,10,92,68,4,17,1,1,7,1,2,2,14,5,2,5,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,7,1,0,0,2,0
29 - Ζακύνθου,7 E.T. Δήμου Ζακύνθου,461,209,1,1,2,207,57,5,34,1,99,56,15,25,1,1,19,4,3,4,10,1,4,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,12,0,2,1,1,0
29 - Ζακύνθου,8 E.T. Δήμου Ζακύνθου,422,203,2,0,2,201,64,6,33,5,78,39,11,26,9,4,13,0,2,5,5,0,1,2,1,1,0,0,0,1,0,0,0,0,11,4,2,0,0,0,0,1,0,2,1,9,5,1,0,6,1
29 - Ζακύνθου,9 E.T. Δήμου Ζακύνθου,421,185,0,1,1,184,68,7,34,8,56,24,10,19,4,2,21,3,4,5,11,5,0,3,3,0,0,4,1,0,0,0,1,1,7,3,3,0,0,0,0,0,0,1,1,5,5,2,1,1,1
29 - Ζακύνθου,10 E.T. Δήμου Ζακύνθου,437,191,1,1,2,189,50,2,34,6,86,53,6,24,6,0,16,4,2,6,12,6,1,4,0,0,0,1,0,1,0,0,0,0,9,3,3,0,0,0,0,1,1,0,0,7,3,0,0,0,0
29 - Ζακύνθου,11 E.T. Δήμου Ζακύνθου,373,222,1,1,2,220,76,4,34,16,68,31,9,25,4,4,4,4,0,0,41,20,7,3,1,1,0,0,0,0,0,0,18,14,3,1,1,0,0,1,0,0,0,0,0,1,1,1,1,2,0
29 - Ζακύνθου,12 E.T. Δήμου Ζακύνθου,407,267,4,3,7,260,90,13,46,5,92,45,8,32,8,2,16,5,3,4,31,15,3,2,4,2,0,0,0,1,0,0,0,0,4,2,1,1,0,1,0,2,1,0,0,6,0,2,0,2,0
29 - Ζακύνθου,13 E.T. Δήμου Ζακύνθου,305,128,1,2,3,125,23,3,5,6,69,28,13,22,8,4,8,3,0,2,7,2,1,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0
29 - Ζακύνθου,14 E.T. Δήμου Ζακύνθου,279,105,0,0,0,105,30,2,17,2,47,26,4,14,0,0,16,6,2,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,4,4,0,0,2,0
29 - Ζακύνθου,15 E.T. Δήμου Ζακύνθου,330,168,5,3,8,160,67,3,48,13,35,28,2,4,2,1,13,4,2,5,23,12,1,1,0,0,0,0,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,10,5,2,1,1,1
