"ΠΕΡΙΦΕΡΕΙΑ","ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ","ΕΓΓΕΓΡΑΜΜΕΝΟΙ","ΨΗΦΙΣΑΝΤΕΣ","ΑΚΥΡΑ","ΛΕΥΚΑ","ΑΚΥΡΑ & ΛΕΥΚΑ","ΕΓΚΥΡΑ","ΣΥΡΙΖΑ","ΑΓΑΘΟΠΟΥΛΟΥ ΕΙΡΗΝΗ-ΕΛΕΝΗ του Δημητρίου","ΚΑΠΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη","ΠΕΡΠΕΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου","ΦΟΥΡΑΣ ΠΕΤΡΟΣ του Γεωργίου","ΨΑΡΡΑ ΣΟΦΙΑ του Θεοδώρου","Νέα Δημοκρατία","ΑΝΑΝΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Σολομώντος","ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου","ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου","ΞΟΠΛΙΔΟΥ ΑΜΑΛΙΑ του Δημητρίου","ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου","Λαϊκός Σύνδεσμος - Χρυσή Αυγή","ΗΛΙΑΔΟΥ ΧΡΙΣΤΙΝΑ (ΜΠΑΚΑ) του Γεωργίου","ΚΑΛΟΜΟΙΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου","ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ (ΤΟΝΗΣ) του Σάββα","ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣΗ του Μωϋσή ","ΧΑΤΖΗΣΑΒΒΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου","Κίνημα Αλλαγής","ΑΝΑΣΤΑΣΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου","ΜΠΑΝΤΡΑ ΚΑΛΙΡΟΗ του Κωνσταντίνου","ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου","ΣΤΕΦΑΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Ιωάννη","ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου","Κ.Κ.Ε.","ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη","ΣΙΔΗΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου","ΦΑΧΟΥΡΙΔΗΣ ΙΩΑΝΝΗΣ του Αριστοτέλη","ΧΑΤΖΗ ΕΙΡΗΝΗ του Αρέθα","Ένωση Κεντρώων","ΑΝΔΡΙΩΤΗ ΕΥΣΤΡΑΤΙΑ του Γαβριήλ","ΕΛΕΥΘΕΡΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου","ΝΙΚΟΛΑΟΥ ΧΡΗΣΤΟΣ του Χαράλαμπου","Ο.Κ.Δ.Ε.","ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΑΝΤ.ΑΡ.ΣΥ.Α.","ΜΑΛΓΑΡΙΝΟΥ ΒΑΣΙΛΙΚΗ του Νικολάου","Ελλήνων Συνέλευσις","ΒΑΡΥΤΙΜΙΔΗΣ ΘΕΟΦΙΛΟΣ του Σάββα","ΜΑΚΕΝΑΤΖΗ ΜΑΡΓΑΡΙΤΑ του Ιωσήφ","ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΣΑΦΑΡΙΔΟΥ ΖΩΓΙΑ του Γεωργίου","ΣΥΓΚΟΥ ΜΑΛΑΜΑΤΗ του Δημητρίου","Ελληνική Λύση - Κ. Βελόπουλος","ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου","ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ του Ιωάννη","ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου","Κ.Κ.Ε. (μ-λ)","ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ηλία","Μ-Λ Κ.Κ.Ε.","ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευαγγέλου","Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ","ΔΗΜΟΛΑΪΔΗΣ ΟΔΥΣΣΕΥΣ του Θεοδώρου","ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη","ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σταύρου","Λαϊκή Ενότητα","ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου","ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου","ΣΑΜΑΡΑ ΑΡΙΑΔΝΗ του Στεφάνου","ΜέΡΑ25","ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Αλεξίου","ΚΑΣΚΑΡΙΔΟΥ ΜΑΡΙΑ του ΟΔΥΣΣΕΑ","ΚΩΤΣΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου","ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου","Δημιουργία ξανά - Θ. Τζήμερος","ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου","ΜΠΡΟΒΑΣ ΤΗΛΕΜΑΧΟΣ του Αθανασίου","ΠΑΠΑΡΙΖΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου","Πλεύση Ελευθερίας - Ζωή Κωνστ.","ΡΑΦΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου"
"10 - Κιλκίς","1 E.T. Δήμου Κιλκίς","0425","0238","0004","0002","0006","0232","0080","0017","0003","0007","0027","0005","0062","0004","0026","0015","0000","0009","0011","0000","0001","0000","0000","0005","0028","0003","0000","0006","0001","0016","0014","0001","0008","0000","0001","0001","0004","0000","0002","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0020","0012","0002","0000","0000","0000","0000","0000","0000","0001","0000","0000","0000","0001","0000","0000","0000","0005","0000","0001","0000","0000","0001","0000","0000","0000","0005","0000"
"10 - Κιλκίς","2 E.T. Δήμου Κιλκίς","0459","0239","0004","0000","0004","0235","0048","0015","0006","0006","0010","0004","0116","0021","0036","0032","0005","0010","0006","0000","0000","0001","0000","0002","0021","0002","0000","0003","0001","0015","0009","0000","0004","0002","0000","0000","0001","0001","0000","0000","0000","0000","0001","0000","0002","0000","0000","0000","0000","0000","0010","0002","0000","0005","0000","0002","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0011","0002","0001","0001","0000","0002","0000","0000","0000","0005","0000"
"10 - Κιλκίς","3 E.T. Δήμου Κιλκίς","0437","0225","0001","0002","0003","0222","0058","0007","0008","0008","0016","0001","0076","0010","0016","0035","0006","0006","0013","0004","0000","0001","0001","0004","0016","0005","0000","0004","0000","0007","0019","0003","0010","0000","0002","0000","0003","0000","0000","0000","0000","0000","0001","0001","0000","0000","0000","0000","0000","0000","0023","0011","0001","0004","0000","0001","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0007","0003","0001","0000","0000","0001","0000","0000","0000","0004","0001"
"10 - Κιλκίς","4 E.T. Δήμου Κιλκίς","0475","0235","0000","0003","0003","0232","0054","0012","0003","0005","0013","0004","0075","0008","0021","0026","0000","0010","0006","0000","0000","0003","0000","0003","0029","0002","0000","0011","0002","0011","0018","0002","0004","0001","0006","0000","0002","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0020","0003","0000","0008","0000","0000","0000","0000","0000","0000","0000","0000","0000","0001","0000","0001","0000","0013","0003","0000","0000","0000","0002","0000","0000","0000","0011","0008"
"10 - Κιλκίς","5 E.T. Δήμου Κιλκίς","0366","0193","0006","0006","0012","0181","0068","0023","0001","0007","0010","0004","0056","0007","0009","0020","0015","0002","0016","0003","0003","0001","0000","0006","0018","0001","0000","0002","0001","0011","0006","0000","0001","0000","0003","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0009","0004","0000","0003","0001","0000","0000","0000","0000","0000","0000","0000","0000","0001","0000","0000","0000","0005","0001","0000","0000","0001","0001","0000","0000","0000","0001","0001"
"10 - Κιλκίς","6 E.T. Δήμου Κιλκίς","0367","0222","0006","0005","0011","0211","0043","0015","0003","0007","0001","0006","0082","0004","0020","0020","0023","0005","0014","0000","0001","0008","0000","0004","0023","0006","0000","0006","0000","0009","0010","0001","0004","0000","0000","0000","0005","0001","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0017","0005","0000","0008","0000","0000","0000","0000","0000","0001","0001","0000","0000","0000","0000","0000","0000","0010","0001","0004","0000","0000","0004","0000","0000","0001","0002","0001"
"10 - Κιλκίς","7 E.T. Δήμου Κιλκίς","0421","0205","0004","0005","0009","0196","0034","0017","0004","0002","0003","0001","0074","0009","0018","0015","0021","0007","0017","0001","0000","0011","0000","0002","0030","0006","0000","0007","0003","0012","0006","0000","0003","0000","0001","0000","0003","0001","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0022","0009","0000","0012","0001","0000","0000","0000","0000","0003","0000","0001","0000","0000","0000","0000","0000","0004","0000","0001","0000","0001","0002","0000","0001","0000","0001","0001"
"10 - Κιλκίς","8 E.T. Δήμου Κιλκίς","0289","0194","0006","0002","0008","0186","0048","0028","0000","0004","0002","0002","0065","0006","0021","0014","0004","0010","0010","0002","0000","0001","0000","0005","0023","0004","0000","0009","0004","0005","0006","0002","0000","0000","0001","0000","0001","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0017","0002","0000","0013","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0006","0001","0000","0001","0000","0004","0000","0000","0000","0004","0000"
"10 - Κιλκίς","9 E.T. Δήμου Κιλκίς","0371","0231","0002","0003","0005","0226","0065","0023","0005","0008","0003","0003","0083","0006","0031","0011","0003","0011","0009","0001","0000","0001","0000","0005","0027","0005","0001","0010","0002","0007","0007","0000","0001","0000","0003","0002","0002","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0012","0002","0000","0010","0000","0000","0000","0000","0000","0002","0000","0000","0000","0000","0000","0000","0000","0011","0001","0000","0002","0002","0001","0000","0000","0000","0006","0000"
"10 - Κιλκίς","10 E.T. Δήμου Κιλκίς","0521","0352","0008","0006","0014","0338","0083","0029","0009","0016","0007","0005","0132","0027","0044","0040","0002","0009","0021","0000","0003","0011","0000","0005","0032","0007","0000","0009","0003","0011","0013","0004","0006","0000","0001","0000","0007","0000","0000","0000","0000","0000","0000","0000","0002","0000","0000","0000","0000","0000","0020","0008","0000","0006","0001","0000","0000","0001","0000","0001","0000","0000","0000","0000","0000","0000","0000","0014","0004","0004","0000","0000","0001","0000","0000","0000","0011","0000"
"10 - Κιλκίς","11 E.T. Δήμου Κιλκίς","0520","0289","0006","0002","0008","0281","0100","0035","0007","0016","0005","0001","0092","0021","0023","0030","0000","0005","0017","0000","0000","0005","0000","0006","0013","0005","0001","0001","0003","0002","0020","0001","0013","0000","0001","0002","0007","0000","0000","0000","0000","0000","0001","0000","0001","0000","0000","0000","0000","0000","0016","0006","0000","0004","0000","0000","0000","0000","0000","0000","0000","0000","0000","0001","0000","0000","0000","0006","0003","0000","0001","0001","0004","0000","0000","0000","0003","0000"
"10 - Κιλκίς","12 E.T. Δήμου Κιλκίς","0533","0291","0004","0002","0006","0285","0088","0039","0005","0011","0006","0004","0094","0020","0025","0031","0005","0003","0005","0001","0000","0001","0000","0002","0016","0002","0001","0006","0001","0005","0034","0000","0020","0003","0002","0001","0004","0002","0001","0000","0000","0000","0001","0001","0002","0000","0000","0000","0001","0000","0015","0006","0001","0005","0000","0000","0000","0000","0000","0000","0000","0000","0000","0001","0000","0001","0000","0014","0003","0000","0000","0001","0003","0000","0000","0001","0008","0003"
